净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.719,1.719,-2.50%,开放申购,开放赎回,
2022-03-29,1.763,1.763,1.38%,开放申购,开放赎回,
2022-03-28,1.739,1.739,2.54%,开放申购,开放赎回,
2022-03-25,1.696,1.696,-0.64%,开放申购,开放赎回,
2022-03-24,1.707,1.707,0.89%,开放申购,开放赎回,
2022-03-23,1.692,1.692,-0.47%,开放申购,开放赎回,
2022-03-22,1.7,1.7,2.91%,开放申购,开放赎回,
2022-03-21,1.652,1.652,2.42%,开放申购,开放赎回,
2022-03-18,1.613,1.613,4.40%,开放申购,开放赎回,
2022-03-17,1.545,1.545,1.85%,开放申购,开放赎回,
2022-03-16,1.517,1.517,2.22%,开放申购,开放赎回,
2022-03-15,1.484,1.484,-7.48%,开放申购,开放赎回,
2022-03-14,1.604,1.604,-3.49%,开放申购,开放赎回,
2022-03-11,1.662,1.662,0.00%,开放申购,开放赎回,
2022-03-10,1.662,1.662,0.36%,开放申购,开放赎回,
2022-03-09,1.656,1.656,1.91%,开放申购,开放赎回,
2022-03-08,1.625,1.625,-5.14%,开放申购,开放赎回,
2022-03-07,1.713,1.713,0.00%,开放申购,开放赎回,
2022-03-04,1.713,1.713,0.29%,开放申购,开放赎回,
2022-03-03,1.708,1.708,2.40%,开放申购,开放赎回,
2021-12-28,1.476,1.476,-3.02%,开放申购,开放赎回,
2021-12-27,1.522,1.522,0.53%,开放申购,开放赎回,
2021-12-24,1.514,1.514,-1.82%,开放申购,开放赎回,
2021-12-23,1.542,1.542,2.46%,开放申购,开放赎回,
2021-12-22,1.505,1.505,0.40%,开放申购,开放赎回,
2021-12-21,1.499,1.499,1.28%,开放申购,开放赎回,
2021-12-20,1.48,1.48,-2.25%,开放申购,开放赎回,
2021-12-17,1.514,1.514,-1.94%,开放申购,开放赎回,
2021-12-16,1.544,1.544,5.90%,开放申购,开放赎回,
2021-12-15,1.458,1.458,1.46%,开放申购,开放赎回,
2021-12-14,1.437,1.437,-2.11%,开放申购,开放赎回,
2021-12-13,1.468,1.468,1.73%,开放申购,开放赎回,
2021-12-10,1.443,1.443,-1.43%,开放申购,开放赎回,
2021-12-09,1.464,1.464,-0.54%,开放申购,开放赎回,
2021-12-08,1.472,1.472,-0.47%,开放申购,开放赎回,
2021-12-07,1.479,1.479,0.96%,开放申购,开放赎回,
2021-12-06,1.465,1.465,-1.01%,开放申购,开放赎回,
2021-12-03,1.48,1.48,3.79%,开放申购,开放赎回,
2021-12-02,1.426,1.426,1.21%,开放申购,开放赎回,
2021-12-01,1.409,1.409,3.30%,开放申购,开放赎回,
2021-11-30,1.364,1.364,0.07%,开放申购,开放赎回,
2021-11-29,1.363,1.363,-0.94%,开放申购,开放赎回,
2021-11-26,1.376,1.376,-2.13%,开放申购,开放赎回,
2021-11-25,1.406,1.406,-1.40%,开放申购,开放赎回,
