FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.6800,1.6800,,,1,0.18,开放申购,开放赎回,,,,
2022-04-28,1.6770,1.6770,,,1,4.68,开放申购,开放赎回,,,,
2022-04-27,1.6020,1.6020,,,1,4.16,开放申购,开放赎回,,,,
2022-04-26,1.5380,1.5380,,,1,-4.23,开放申购,开放赎回,,,,
2022-04-25,1.6060,1.6060,,,1,-6.25,开放申购,开放赎回,,,,
2022-04-22,1.7130,1.7130,,,1,0.65,开放申购,开放赎回,,,,
2022-04-21,1.7020,1.7020,,,1,-1.73,开放申购,开放赎回,,,,
2022-04-20,1.7320,1.7320,,,1,-4.94,开放申购,开放赎回,,,,
2022-04-19,1.8220,1.8220,,,1,2.36,开放申购,开放赎回,,,,
2022-04-18,1.7800,1.7800,,,1,-3.37,开放申购,开放赎回,,,,
2022-04-15,1.8420,1.8420,,,1,-1.92,开放申购,开放赎回,,,,
2022-04-14,1.8780,1.8780,,,1,4.57,开放申购,开放赎回,,,,
2022-04-13,1.7960,1.7960,,,1,3.70,开放申购,开放赎回,,,,
2022-04-12,1.7320,1.7320,,,1,0.58,开放申购,开放赎回,,,,
2022-04-11,1.7220,1.7220,,,1,-1.82,开放申购,开放赎回,,,,
2022-04-08,1.7540,1.7540,,,1,1.33,开放申购,开放赎回,,,,
2022-04-07,1.7310,1.7310,,,1,0.35,开放申购,开放赎回,,,,
2022-04-06,1.7250,1.7250,,,1,-1.15,开放申购,开放赎回,,,,
2022-04-01,1.7450,1.7450,,,1,-0.34,开放申购,开放赎回,,,,
2022-03-31,1.7510,1.7510,,,1,1.86,开放申购,开放赎回,,,,
2022-03-30,1.7190,1.7190,,,1,-2.50,开放申购,开放赎回,,,,
2022-03-29,1.7630,1.7630,,,1,1.38,开放申购,开放赎回,,,,
2022-03-28,1.7390,1.7390,,,1,2.54,开放申购,开放赎回,,,,
2022-03-25,1.6960,1.6960,,,1,-0.64,开放申购,开放赎回,,,,
2022-03-24,1.7070,1.7070,,,1,0.89,开放申购,开放赎回,,,,
2022-03-23,1.6920,1.6920,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-22,1.7000,1.7000,,,1,2.91,开放申购,开放赎回,,,,
2022-03-21,1.6520,1.6520,,,1,2.42,开放申购,开放赎回,,,,
2022-03-18,1.6130,1.6130,,,1,4.40,开放申购,开放赎回,,,,
2022-03-17,1.5450,1.5450,,,1,1.85,开放申购,开放赎回,,,,
2022-03-16,1.5170,1.5170,,,1,2.22,开放申购,开放赎回,,,,
