FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.5462,1.5462,,,1,1.66,开放申购,开放赎回,,,,
2022-04-28,1.5209,1.5209,,,1,2.05,开放申购,开放赎回,,,,
2022-04-27,1.4903,1.4903,,,1,0.74,开放申购,开放赎回,,,,
2022-04-26,1.4794,1.4794,,,1,-0.72,开放申购,开放赎回,,,,
2022-04-25,1.4902,1.4902,,,1,-3.76,开放申购,开放赎回,,,,
2022-04-22,1.5485,1.5485,,,1,1.78,开放申购,开放赎回,,,,
2022-04-21,1.5214,1.5214,,,1,-1.66,开放申购,开放赎回,,,,
2022-04-20,1.5471,1.5471,,,1,-2.44,开放申购,开放赎回,,,,
2022-04-19,1.5858,1.5858,,,1,1.15,开放申购,开放赎回,,,,
2022-04-18,1.5677,1.5677,,,1,-1.35,开放申购,开放赎回,,,,
2022-04-15,1.5892,1.5892,,,1,-0.48,开放申购,开放赎回,,,,
2022-04-14,1.5968,1.5968,,,1,1.80,开放申购,开放赎回,,,,
2022-04-13,1.5685,1.5685,,,1,-0.60,开放申购,开放赎回,,,,
2022-04-12,1.5780,1.5780,,,1,-0.03,开放申购,开放赎回,,,,
2022-04-11,1.5784,1.5784,,,1,-1.49,开放申购,开放赎回,,,,
2022-04-08,1.6023,1.6023,,,1,1.18,开放申购,开放赎回,,,,
2022-04-07,1.5836,1.5836,,,1,-1.63,开放申购,开放赎回,,,,
2022-04-06,1.6099,1.6099,,,1,1.65,开放申购,开放赎回,,,,
2022-04-01,1.5838,1.5838,,,1,1.71,开放申购,开放赎回,,,,
2022-03-31,1.5572,1.5572,,,1,1.06,开放申购,开放赎回,,,,
2022-03-30,1.5408,1.5408,,,1,1.53,开放申购,开放赎回,,,,
2022-03-29,1.5176,1.5176,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-28,1.5229,1.5229,,,1,2.00,开放申购,开放赎回,,,,
2022-03-25,1.4930,1.4930,,,1,0.19,开放申购,开放赎回,,,,
2022-03-24,1.4902,1.4902,,,1,-0.56,开放申购,开放赎回,,,,
2022-03-23,1.4986,1.4986,,,1,0.01,开放申购,开放赎回,,,,
2022-03-22,1.4985,1.4985,,,1,1.85,开放申购,开放赎回,,,,
2022-03-21,1.4713,1.4713,,,1,-0.39,开放申购,开放赎回,,,,
2022-03-18,1.4771,1.4771,,,1,2.48,开放申购,开放赎回,,,,
2022-03-17,1.4413,1.4413,,,1,1.19,开放申购,开放赎回,,,,
2022-03-16,1.4244,1.4244,,,1,2.34,开放申购,开放赎回,,,,
2022-03-15,1.3918,1.3918,,,1,-5.43,开放申购,开放赎回,,,,
2022-03-14,1.4717,1.4717,,,1,-1.83,开放申购,开放赎回,,,,
2022-03-11,1.4991,1.4991,,,1,0.49,开放申购,开放赎回,,,,
2022-03-10,1.4918,1.4918,,,1,0.80,开放申购,开放赎回,,,,
2022-03-09,1.4800,1.4800,,,1,-0.95,开放申购,开放赎回,,,,
2022-03-08,1.4942,1.4942,,,1,-3.01,开放申购,开放赎回,,,,
2022-03-07,1.5405,1.5405,,,1,-0.84,开放申购,开放赎回,,,,
2022-03-04,1.5536,1.5536,,,1,-0.75,开放申购,开放赎回,,,,
2022-03-03,1.5653,1.5653,,,1,1.37,开放申购,开放赎回,,,,
2022-03-02,1.5441,1.5441,,,1,0.80,开放申购,开放赎回,,,,
2022-03-01,1.5319,1.5319,,,1,0.93,开放申购,开放赎回,,,,
2022-02-28,1.5178,1.5178,,,1,0.04,开放申购,开放赎回,,,,
2022-02-25,1.5172,1.5172,,,1,-0.12,开放申购,开放赎回,,,,
2022-02-24,1.5190,1.5190,,,1,-1.78,开放申购,开放赎回,,,,
2022-02-23,1.5466,1.5466,,,1,-0.94,开放申购,开放赎回,,,,
2022-02-22,1.5613,1.5613,,,1,-0.87,开放申购,开放赎回,,,,
2022-02-21,1.5750,1.5750,,,1,0.24,开放申购,开放赎回,,,,
2022-02-18,1.5712,1.5712,,,1,2.03,开放申购,开放赎回,,,,
2022-02-17,1.5400,1.5400,,,1,-0.41,开放申购,开放赎回,,,,
2022-02-16,1.5463,1.5463,,,1,1.05,开放申购,开放赎回,,,,
2022-02-15,1.5302,1.5302,,,1,-0.76,开放申购,开放赎回,,,,
2022-02-14,1.5419,1.5419,,,1,-1.87,开放申购,开放赎回,,,,
2022-02-11,1.5713,1.5713,,,1,0.26,开放申购,开放赎回,,,,
2022-02-10,1.5673,1.5673,,,1,1.33,开放申购,开放赎回,,,,
2022-02-09,1.5467,1.5467,,,1,0.47,开放申购,开放赎回,,,,
2022-02-08,1.5395,1.5395,,,1,2.09,开放申购,开放赎回,,,,
2022-02-07,1.5080,1.5080,,,1,2.71,开放申购,开放赎回,,,,
2022-01-28,1.4682,1.4682,,,1,-0.99,开放申购,开放赎回,,,,
2022-01-27,1.4829,1.4829,,,1,-0.90,开放申购,开放赎回,,,,
2022-01-26,1.4964,1.4964,,,1,0.77,开放申购,开放赎回,,,,
2022-01-25,1.4850,1.4850,,,1,-2.72,开放申购,开放赎回,,,,
2022-01-24,1.5265,1.5265,,,1,0.14,开放申购,开放赎回,,,,
2022-01-21,1.5243,1.5243,,,1,-0.86,开放申购,开放赎回,,,,
2022-01-20,1.5376,1.5376,,,1,-0.25,开放申购,开放赎回,,,,
2022-01-19,1.5415,1.5415,,,1,1.05,开放申购,开放赎回,,,,
2022-01-18,1.5255,1.5255,,,1,1.14,开放申购,开放赎回,,,,
2022-01-17,1.5083,1.5083,,,1,0.34,开放申购,开放赎回,,,,
2022-01-14,1.5032,1.5032,,,1,-1.67,开放申购,开放赎回,,,,
2022-01-13,1.5287,1.5287,,,1,-0.47,开放申购,开放赎回,,,,
2022-01-12,1.5359,1.5359,,,1,-0.46,开放申购,开放赎回,,,,
2022-01-11,1.5430,1.5430,,,1,0.12,开放申购,开放赎回,,,,
2022-01-10,1.5412,1.5412,,,1,0.63,开放申购,开放赎回,,,,
2022-01-07,1.5315,1.5315,,,1,1.00,开放申购,开放赎回,,,,
2022-01-06,1.5164,1.5164,,,1,0.45,开放申购,开放赎回,,,,
2022-01-05,1.5096,1.5096,,,1,0.47,开放申购,开放赎回,,,,
2022-01-04,1.5026,1.5026,,,1,1.47,开放申购,开放赎回,,,,
2021-12-31,1.4808,1.4808,,,1,0.69,开放申购,开放赎回,,,,
2021-12-30,1.4707,1.4707,,,1,0.33,开放申购,开放赎回,,,,
2021-12-29,1.4659,1.4659,,,1,-0.45,开放申购,开放赎回,,,,
2021-12-28,1.4725,1.4725,,,1,-0.75,开放申购,开放赎回,,,,
2021-12-27,1.4837,1.4837,,,1,0.45,开放申购,开放赎回,,,,
2021-12-24,1.4771,1.4771,,,1,-0.64,开放申购,开放赎回,,,,
2021-12-23,1.4866,1.4866,,,1,0.36,开放申购,开放赎回,,,,
2021-12-22,1.4812,1.4812,,,1,-0.30,开放申购,开放赎回,,,,
2021-12-21,1.4856,1.4856,,,1,1.66,开放申购,开放赎回,,,,
2021-12-20,1.4614,1.4614,,,1,-0.36,开放申购,开放赎回,,,,
2021-12-17,1.4667,1.4667,,,1,-0.02,开放申购,开放赎回,,,,
2021-12-16,1.4670,1.4670,,,1,1.62,开放申购,开放赎回,,,,
2021-12-15,1.4436,1.4436,,,1,0.82,开放申购,开放赎回,,,,
2021-12-14,1.4318,1.4318,,,1,-1.03,开放申购,开放赎回,,,,
2021-12-13,1.4467,1.4467,,,1,-0.35,开放申购,开放赎回,,,,
2021-12-10,1.4518,1.4518,,,1,-0.75,开放申购,开放赎回,,,,
2021-12-09,1.4628,1.4628,,,1,0.38,开放申购,开放赎回,,,,
2021-12-08,1.4573,1.4573,,,1,0.04,开放申购,开放赎回,,,,
2021-12-07,1.4567,1.4567,,,1,1.41,开放申购,开放赎回,,,,
2021-12-06,1.4364,1.4364,,,1,-0.42,开放申购,开放赎回,,,,
2021-12-03,1.4424,1.4424,,,1,1.54,开放申购,开放赎回,,,,
2021-12-02,1.4205,1.4205,,,1,0.35,开放申购,开放赎回,,,,
2021-12-01,1.4156,1.4156,,,1,1.58,开放申购,开放赎回,,,,
2021-11-30,1.3936,1.3936,,,1,-0.19,开放申购,开放赎回,,,,
2021-11-29,1.3962,1.3962,,,1,-0.82,开放申购,开放赎回,,,,
2021-11-26,1.4078,1.4078,,,1,-1.15,开放申购,开放赎回,,,,
2021-11-25,1.4242,1.4242,,,1,-0.19,开放申购,开放赎回,,,,
2021-11-24,1.4269,1.4269,,,1,1.16,开放申购,开放赎回,,,,
2021-11-23,1.4105,1.4105,,,1,0.95,开放申购,开放赎回,,,,
2021-11-22,1.3972,1.3972,,,1,-0.11,开放申购,开放赎回,,,,
2021-11-19,1.3987,1.3987,,,1,1.36,开放申购,开放赎回,,,,
2021-11-18,1.3800,1.3800,,,1,-0.01,开放申购,开放赎回,,,,
2021-11-17,1.3801,1.3801,,,1,-0.16,开放申购,开放赎回,,,,
2021-11-16,1.3823,1.3823,,,1,-0.74,开放申购,开放赎回,,,,
2021-11-15,1.3926,1.3926,,,1,-0.18,开放申购,开放赎回,,,,
2021-11-12,1.3951,1.3951,,,1,-0.59,开放申购,开放赎回,,,,
2021-11-11,1.4034,1.4034,,,1,2.13,开放申购,开放赎回,,,,
2021-11-10,1.3741,1.3741,,,1,-0.28,开放申购,开放赎回,,,,
2021-11-09,1.3780,1.3780,,,1,-0.33,开放申购,开放赎回,,,,
2021-11-08,1.3825,1.3825,,,1,0.37,开放申购,开放赎回,,,,
2021-11-05,1.3774,1.3774,,,1,-2.03,开放申购,开放赎回,,,,
2021-11-04,1.4060,1.4060,,,1,-0.19,开放申购,开放赎回,,,,
2021-11-03,1.4087,1.4087,,,1,1.89,开放申购,开放赎回,,,,
2021-11-02,1.3826,1.3826,,,1,-2.35,开放申购,开放赎回,,,,
2021-11-01,1.4159,1.4159,,,1,1.13,开放申购,开放赎回,,,,
2021-10-29,1.4001,1.4001,,,1,-0.41,开放申购,开放赎回,,,,
2021-10-28,1.4059,1.4059,,,1,-2.65,开放申购,开放赎回,,,,
2021-10-27,1.4441,1.4441,,,1,-1.80,开放申购,开放赎回,,,,
2021-10-26,1.4706,1.4706,,,1,-0.62,开放申购,开放赎回,,,,
2021-10-25,1.4798,1.4798,,,1,0.24,开放申购,开放赎回,,,,
2021-10-22,1.4763,1.4763,,,1,-2.02,开放申购,开放赎回,,,,
2021-10-21,1.5067,1.5067,,,1,1.19,开放申购,开放赎回,,,,
2021-10-20,1.4890,1.4890,,,1,-1.76,开放申购,开放赎回,,,,
2021-10-19,1.5157,1.5157,,,1,0.01,开放申购,开放赎回,,,,
2021-10-18,1.5156,1.5156,,,1,1.91,开放申购,开放赎回,,,,
2021-10-15,1.4872,1.4872,,,1,0.70,开放申购,开放赎回,,,,
2021-10-14,1.4769,1.4769,,,1,-0.95,开放申购,开放赎回,,,,
2021-10-13,1.4910,1.4910,,,1,-1.58,开放申购,开放赎回,,,,
2021-10-12,1.5149,1.5149,,,1,-0.53,开放申购,开放赎回,,,,
2021-10-11,1.5229,1.5229,,,1,0.92,开放申购,开放赎回,,,,
2021-10-08,1.5090,1.5090,,,1,-0.77,开放申购,开放赎回,,,,
2021-09-30,1.5207,1.5207,,,1,1.17,开放申购,开放赎回,,,,
2021-09-29,1.5031,1.5031,,,1,-2.98,开放申购,开放赎回,,,,
