FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.9262,1.9262,,,1,2.86,开放申购,开放赎回,,,,
2022-04-28,1.8727,1.8727,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-27,1.8729,1.8729,,,1,2.53,开放申购,开放赎回,,,,
2022-04-26,1.8267,1.8267,,,1,-0.24,开放申购,开放赎回,,,,
2022-04-25,1.8311,1.8311,,,1,-3.80,开放申购,开放赎回,,,,
2022-04-22,1.9034,1.9034,,,1,-1.91,开放申购,开放赎回,,,,
2022-04-21,1.9404,1.9404,,,1,-2.30,开放申购,开放赎回,,,,
2022-04-20,1.9861,1.9861,,,1,-1.59,开放申购,开放赎回,,,,
2022-04-19,2.0181,2.0181,,,1,-0.56,开放申购,开放赎回,,,,
2022-04-18,2.0294,2.0294,,,1,-1.33,开放申购,开放赎回,,,,
2022-04-15,2.0568,2.0568,,,1,-0.59,开放申购,开放赎回,,,,
2022-04-14,2.0691,2.0691,,,1,1.41,开放申购,开放赎回,,,,
2022-04-13,2.0403,2.0403,,,1,-3.12,开放申购,开放赎回,,,,
2022-04-12,2.1059,2.1059,,,1,0.79,开放申购,开放赎回,,,,
2022-04-11,2.0894,2.0894,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-08,2.0992,2.0992,,,1,-2.34,开放申购,开放赎回,,,,
2022-04-07,2.1494,2.1494,,,1,-1.16,开放申购,开放赎回,,,,
2022-04-06,2.1747,2.1747,,,1,0.21,开放申购,开放赎回,,,,
2022-04-01,2.1701,2.1701,,,1,-1.83,开放申购,开放赎回,,,,
2022-03-31,2.2105,2.2105,,,1,1.36,开放申购,开放赎回,,,,
2022-03-30,2.1809,2.1809,,,1,0.39,开放申购,开放赎回,,,,
2022-03-29,2.1724,2.1724,,,1,2.00,开放申购,开放赎回,,,,
2022-03-28,2.1297,2.1297,,,1,0.44,开放申购,开放赎回,,,,
2022-03-25,2.1204,2.1204,,,1,-1.40,开放申购,开放赎回,,,,
2022-03-24,2.1504,2.1504,,,1,-0.28,开放申购,开放赎回,,,,
2022-03-23,2.1565,2.1565,,,1,2.83,开放申购,开放赎回,,,,
2022-03-22,2.0971,2.0971,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-21,2.0987,2.0987,,,1,1.47,开放申购,开放赎回,,,,
2022-03-18,2.0683,2.0683,,,1,1.46,开放申购,开放赎回,,,,
2022-03-17,2.0385,2.0385,,,1,2.85,开放申购,开放赎回,,,,
2022-03-16,1.9821,1.9821,,,1,1.63,开放申购,开放赎回,,,,
2022-03-15,1.9503,1.9503,,,1,-4.63,开放申购,开放赎回,,,,
2022-03-14,2.0450,2.0450,,,1,-0.76,开放申购,开放赎回,,,,
2022-03-11,2.0606,2.0606,,,1,3.10,开放申购,开放赎回,,,,
2022-03-10,1.9987,1.9987,,,1,3.82,开放申购,开放赎回,,,,
2022-03-09,1.9251,1.9251,,,1,-2.10,开放申购,开放赎回,,,,
2022-03-08,1.9663,1.9663,,,1,-6.35,开放申购,开放赎回,,,,
2022-03-07,2.0996,2.0996,,,1,-1.59,开放申购,开放赎回,,,,
2022-03-04,2.1336,2.1336,,,1,-0.77,开放申购,开放赎回,,,,
2022-03-03,2.1502,2.1502,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-02,2.1578,2.1578,,,1,2.39,开放申购,开放赎回,,,,
2022-03-01,2.1074,2.1074,,,1,-0.78,开放申购,开放赎回,,,,
2022-02-28,2.1240,2.1240,,,1,0.39,开放申购,开放赎回,,,,
2022-02-25,2.1157,2.1157,,,1,1.47,开放申购,开放赎回,,,,
2022-02-24,2.0851,2.0851,,,1,-0.22,开放申购,开放赎回,,,,
2022-02-23,2.0897,2.0897,,,1,0.72,开放申购,开放赎回,,,,
2022-02-22,2.0748,2.0748,,,1,-1.55,开放申购,开放赎回,,,,
2022-02-21,2.1075,2.1075,,,1,1.01,开放申购,开放赎回,,,,
2022-02-18,2.0865,2.0865,,,1,0.25,开放申购,开放赎回,,,,
2022-02-17,2.0813,2.0813,,,1,-0.70,开放申购,开放赎回,,,,
2022-02-16,2.0959,2.0959,,,1,-1.05,开放申购,开放赎回,,,,
2022-02-15,2.1181,2.1181,,,1,3.36,开放申购,开放赎回,,,,
2022-02-14,2.0492,2.0492,,,1,-0.76,开放申购,开放赎回,,,,
2022-02-11,2.0649,2.0649,,,1,-4.93,开放申购,开放赎回,,,,
2022-02-10,2.1720,2.1720,,,1,0.70,开放申购,开放赎回,,,,
2022-02-09,2.1569,2.1569,,,1,4.96,开放申购,开放赎回,,,,
2022-02-08,2.0549,2.0549,,,1,0.06,开放申购,开放赎回,,,,
2022-02-07,2.0537,2.0537,,,1,1.32,开放申购,开放赎回,,,,
2022-01-28,2.0270,2.0270,,,1,-0.37,开放申购,开放赎回,,,,
2022-01-27,2.0345,2.0345,,,1,-1.73,开放申购,开放赎回,,,,
2022-01-26,2.0703,2.0703,,,1,-0.71,开放申购,开放赎回,,,,
2022-01-25,2.0850,2.0850,,,1,-3.92,开放申购,开放赎回,,,,
2022-01-24,2.1700,2.1700,,,1,-0.01,开放申购,开放赎回,,,,
2022-01-21,2.1703,2.1703,,,1,-3.53,开放申购,开放赎回,,,,
2022-01-20,2.2496,2.2496,,,1,-0.42,开放申购,开放赎回,,,,
2022-01-19,2.2592,2.2592,,,1,-1.77,开放申购,开放赎回,,,,
2022-01-18,2.2999,2.2999,,,1,-0.60,开放申购,开放赎回,,,,
2022-01-17,2.3138,2.3138,,,1,0.18,开放申购,开放赎回,,,,
2022-01-14,2.3096,2.3096,,,1,1.91,开放申购,开放赎回,,,,
2022-01-13,2.2664,2.2664,,,1,-3.90,开放申购,开放赎回,,,,
2022-01-12,2.3583,2.3583,,,1,-1.89,开放申购,开放赎回,,,,
2022-01-11,2.4038,2.4038,,,1,2.20,开放申购,开放赎回,,,,
2022-01-10,2.3520,2.3520,,,1,1.49,开放申购,开放赎回,,,,
2022-01-07,2.3174,2.3174,,,1,-2.07,开放申购,开放赎回,,,,
2022-01-06,2.3663,2.3663,,,1,2.78,开放申购,开放赎回,,,,
2022-01-05,2.3024,2.3024,,,1,-3.33,开放申购,开放赎回,,,,
2022-01-04,2.3816,2.3816,,,1,3.48,开放申购,开放赎回,,,,
2021-12-31,2.3014,2.3014,,,1,5.79,开放申购,开放赎回,,,,
2021-12-30,2.1755,2.1755,,,1,1.52,开放申购,开放赎回,,,,
2021-12-29,2.1429,2.1429,,,1,-2.91,开放申购,开放赎回,,,,
2021-12-28,2.2072,2.2072,,,1,-1.81,开放申购,开放赎回,,,,
2021-12-27,2.2478,2.2478,,,1,1.61,开放申购,开放赎回,,,,
2021-12-24,2.2122,2.2122,,,1,3.15,开放申购,开放赎回,,,,
2021-12-23,2.1446,2.1446,,,1,-0.43,开放申购,开放赎回,,,,
2021-12-22,2.1539,2.1539,,,1,3.75,开放申购,开放赎回,,,,
2021-12-21,2.0760,2.0760,,,1,-0.17,开放申购,开放赎回,,,,
2021-12-20,2.0795,2.0795,,,1,3.23,开放申购,开放赎回,,,,
2021-12-17,2.0145,2.0145,,,1,0.40,开放申购,开放赎回,,,,
2021-12-16,2.0064,2.0064,,,1,0.50,开放申购,开放赎回,,,,
2021-12-15,1.9964,1.9964,,,1,-0.85,开放申购,开放赎回,,,,
2021-12-14,2.0136,2.0136,,,1,0.54,开放申购,开放赎回,,,,
2021-12-13,2.0028,2.0028,,,1,0.31,开放申购,开放赎回,,,,
2021-12-10,1.9967,1.9967,,,1,-1.10,开放申购,开放赎回,,,,
2021-12-09,2.0190,2.0190,,,1,1.38,开放申购,开放赎回,,,,
2021-12-08,1.9915,1.9915,,,1,0.72,开放申购,开放赎回,,,,
2021-12-07,1.9772,1.9772,,,1,0.96,开放申购,开放赎回,,,,
2021-12-06,1.9584,1.9584,,,1,-0.60,开放申购,开放赎回,,,,
2021-12-03,1.9703,1.9703,,,1,0.53,开放申购,开放赎回,,,,
