FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.9119,1.9119,,,1,2.86,开放申购,开放赎回,,,,
2022-04-28,1.8588,1.8588,,,1,-0.02,开放申购,开放赎回,,,,
2022-04-27,1.8591,1.8591,,,1,2.53,开放申购,开放赎回,,,,
2022-04-26,1.8132,1.8132,,,1,-0.24,开放申购,开放赎回,,,,
2022-04-25,1.8176,1.8176,,,1,-3.80,开放申购,开放赎回,,,,
2022-04-22,1.8894,1.8894,,,1,-1.91,开放申购,开放赎回,,,,
2022-04-21,1.9261,1.9261,,,1,-2.31,开放申购,开放赎回,,,,
2022-04-20,1.9716,1.9716,,,1,-1.58,开放申购,开放赎回,,,,
2022-04-19,2.0033,2.0033,,,1,-0.56,开放申购,开放赎回,,,,
2022-04-18,2.0146,2.0146,,,1,-1.33,开放申购,开放赎回,,,,
2022-04-15,2.0417,2.0417,,,1,-0.60,开放申购,开放赎回,,,,
2022-04-14,2.0540,2.0540,,,1,1.41,开放申购,开放赎回,,,,
2022-04-13,2.0254,2.0254,,,1,-3.12,开放申购,开放赎回,,,,
2022-04-12,2.0906,2.0906,,,1,0.79,开放申购,开放赎回,,,,
2022-04-11,2.0742,2.0742,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-08,2.0840,2.0840,,,1,-2.33,开放申购,开放赎回,,,,
2022-04-07,2.1338,2.1338,,,1,-1.16,开放申购,开放赎回,,,,
2022-04-06,2.1589,2.1589,,,1,0.21,开放申购,开放赎回,,,,
2022-04-01,2.1544,2.1544,,,1,-1.83,开放申购,开放赎回,,,,
2022-03-31,2.1945,2.1945,,,1,1.36,开放申购,开放赎回,,,,
2022-03-30,2.1651,2.1651,,,1,0.38,开放申购,开放赎回,,,,
2022-03-29,2.1568,2.1568,,,1,2.01,开放申购,开放赎回,,,,
2022-03-28,2.1144,2.1144,,,1,0.44,开放申购,开放赎回,,,,
2022-03-25,2.1052,2.1052,,,1,-1.40,开放申购,开放赎回,,,,
2022-03-24,2.1350,2.1350,,,1,-0.28,开放申购,开放赎回,,,,
2022-03-23,2.1411,2.1411,,,1,2.83,开放申购,开放赎回,,,,
2022-03-22,2.0821,2.0821,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-21,2.0837,2.0837,,,1,1.47,开放申购,开放赎回,,,,
2022-03-18,2.0535,2.0535,,,1,1.46,开放申购,开放赎回,,,,
2022-03-17,2.0240,2.0240,,,1,2.85,开放申购,开放赎回,,,,
2022-03-16,1.9680,1.9680,,,1,1.63,开放申购,开放赎回,,,,
2022-03-15,1.9364,1.9364,,,1,-4.63,开放申购,开放赎回,,,,
2022-03-14,2.0305,2.0305,,,1,-0.76,开放申购,开放赎回,,,,
2022-03-11,2.0461,2.0461,,,1,3.10,开放申购,开放赎回,,,,
2022-03-10,1.9846,1.9846,,,1,3.82,开放申购,开放赎回,,,,
2022-03-09,1.9115,1.9115,,,1,-2.09,开放申购,开放赎回,,,,
2022-03-08,1.9524,1.9524,,,1,-6.35,开放申购,开放赎回,,,,
2022-03-07,2.0848,2.0848,,,1,-1.60,开放申购,开放赎回,,,,
2022-03-04,2.1186,2.1186,,,1,-0.77,开放申购,开放赎回,,,,
2022-03-03,2.1351,2.1351,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-02,2.1427,2.1427,,,1,2.39,开放申购,开放赎回,,,,
2022-03-01,2.0926,2.0926,,,1,-0.78,开放申购,开放赎回,,,,
2022-02-28,2.1091,2.1091,,,1,0.39,开放申购,开放赎回,,,,
2022-02-25,2.1010,2.1010,,,1,1.47,开放申购,开放赎回,,,,
2022-02-24,2.0705,2.0705,,,1,-0.22,开放申购,开放赎回,,,,
2022-02-23,2.0751,2.0751,,,1,0.71,开放申购,开放赎回,,,,
2022-02-22,2.0604,2.0604,,,1,-1.55,开放申购,开放赎回,,,,
2022-02-21,2.0929,2.0929,,,1,1.00,开放申购,开放赎回,,,,
2022-02-18,2.0721,2.0721,,,1,0.25,开放申购,开放赎回,,,,
2022-02-17,2.0669,2.0669,,,1,-0.70,开放申购,开放赎回,,,,
2022-02-16,2.0814,2.0814,,,1,-1.05,开放申购,开放赎回,,,,
2022-02-15,2.1035,2.1035,,,1,3.37,开放申购,开放赎回,,,,
2022-02-14,2.0350,2.0350,,,1,-0.76,开放申购,开放赎回,,,,
2022-02-11,2.0506,2.0506,,,1,-4.94,开放申购,开放赎回,,,,
2022-02-10,2.1571,2.1571,,,1,0.70,开放申购,开放赎回,,,,
2022-02-09,2.1421,2.1421,,,1,4.96,开放申购,开放赎回,,,,
2022-02-08,2.0408,2.0408,,,1,0.06,开放申购,开放赎回,,,,
2022-02-07,2.0396,2.0396,,,1,1.31,开放申购,开放赎回,,,,
2022-01-28,2.0132,2.0132,,,1,-0.37,开放申购,开放赎回,,,,
2022-01-27,2.0207,2.0207,,,1,-1.73,开放申购,开放赎回,,,,
2022-01-26,2.0563,2.0563,,,1,-0.71,开放申购,开放赎回,,,,
2022-01-25,2.0709,2.0709,,,1,-3.92,开放申购,开放赎回,,,,
2022-01-24,2.1554,2.1554,,,1,-0.01,开放申购,开放赎回,,,,
2022-01-21,2.1557,2.1557,,,1,-3.53,开放申购,开放赎回,,,,
2022-01-20,2.2345,2.2345,,,1,-0.42,开放申购,开放赎回,,,,
2022-01-19,2.2440,2.2440,,,1,-1.77,开放申购,开放赎回,,,,
2022-01-18,2.2845,2.2845,,,1,-0.60,开放申购,开放赎回,,,,
2022-01-17,2.2983,2.2983,,,1,0.18,开放申购,开放赎回,,,,
2022-01-14,2.2942,2.2942,,,1,1.91,开放申购,开放赎回,,,,
2022-01-13,2.2512,2.2512,,,1,-3.90,开放申购,开放赎回,,,,
2022-01-12,2.3426,2.3426,,,1,-1.89,开放申购,开放赎回,,,,
2022-01-11,2.3878,2.3878,,,1,2.20,开放申购,开放赎回,,,,
2022-01-10,2.3363,2.3363,,,1,1.49,开放申购,开放赎回,,,,
2022-01-07,2.3020,2.3020,,,1,-2.07,开放申购,开放赎回,,,,
2022-01-06,2.3506,2.3506,,,1,2.78,开放申购,开放赎回,,,,
2022-01-05,2.2871,2.2871,,,1,-3.33,开放申购,开放赎回,,,,
2022-01-04,2.3658,2.3658,,,1,3.48,开放申购,开放赎回,,,,
2021-12-31,2.2863,2.2863,,,1,5.79,开放申购,开放赎回,,,,
2021-12-30,2.1612,2.1612,,,1,1.52,开放申购,开放赎回,,,,
2021-12-29,2.1288,2.1288,,,1,-2.91,开放申购,开放赎回,,,,
2021-12-28,2.1927,2.1927,,,1,-1.80,开放申购,开放赎回,,,,
2021-12-27,2.2330,2.2330,,,1,1.61,开放申购,开放赎回,,,,
2021-12-24,2.1977,2.1977,,,1,3.15,开放申购,开放赎回,,,,
