净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.041,1.041,5.12%,开放申购,开放赎回,
2022-03-29,0.9903,0.9903,-1.64%,开放申购,开放赎回,
2022-03-28,1.0068,1.0068,1.88%,开放申购,开放赎回,
2022-03-25,0.9882,0.9882,0.28%,开放申购,开放赎回,
2022-03-24,0.9854,0.9854,-1.39%,开放申购,开放赎回,
2022-03-23,0.9993,0.9993,1.88%,开放申购,开放赎回,
2022-03-22,0.9809,0.9809,3.41%,开放申购,开放赎回,
2022-03-21,0.9486,0.9486,0.11%,开放申购,开放赎回,
2022-03-18,0.9476,0.9476,4.17%,开放申购,开放赎回,
2022-03-17,0.9097,0.9097,3.73%,开放申购,开放赎回,
2022-03-16,0.877,0.877,3.04%,开放申购,开放赎回,
2022-03-15,0.8511,0.8511,-6.86%,开放申购,开放赎回,
2022-03-14,0.9138,0.9138,-1.88%,开放申购,开放赎回,
2022-03-11,0.9313,0.9313,0.40%,开放申购,开放赎回,
2022-03-10,0.9276,0.9276,1.01%,开放申购,开放赎回,
2022-03-09,0.9183,0.9183,-3.00%,开放申购,开放赎回,
2022-03-08,0.9467,0.9467,-3.05%,开放申购,开放赎回,
2022-03-07,0.9765,0.9765,-0.14%,开放申购,开放赎回,
2022-03-04,0.9779,0.9779,-0.99%,开放申购,开放赎回,
2022-03-03,0.9877,0.9877,1.67%,开放申购,开放赎回,
2021-12-28,0.9654,0.9654,-0.22%,开放申购,开放赎回,
2021-12-27,0.9675,0.9675,0.62%,开放申购,开放赎回,
2021-12-24,0.9615,0.9615,-1.07%,开放申购,开放赎回,
2021-12-23,0.9719,0.9719,-1.27%,开放申购,开放赎回,
2021-12-22,0.9844,0.9844,-1.50%,开放申购,开放赎回,
2021-12-21,0.9994,0.9994,4.49%,开放申购,开放赎回,
2021-12-20,0.9565,0.9565,0.57%,开放申购,开放赎回,
2021-12-17,0.9511,0.9511,-0.08%,开放申购,开放赎回,
2021-12-16,0.9519,0.9519,0.51%,开放申购,开放赎回,
2021-12-15,0.9471,0.9471,0.63%,开放申购,开放赎回,
2021-12-14,0.9412,0.9412,-0.93%,开放申购,开放赎回,
2021-12-13,0.95,0.95,-0.54%,开放申购,开放赎回,
2021-12-10,0.9552,0.9552,-0.86%,开放申购,开放赎回,
2021-12-09,0.9635,0.9635,1.65%,开放申购,开放赎回,
2021-12-08,0.9479,0.9479,0.01%,开放申购,开放赎回,
2021-12-07,0.9478,0.9478,0.96%,开放申购,开放赎回,
2021-12-06,0.9388,0.9388,0.07%,开放申购,开放赎回,
2021-12-03,0.9381,0.9381,1.14%,开放申购,开放赎回,
2021-12-02,0.9275,0.9275,0.40%,开放申购,开放赎回,
2021-12-01,0.9238,0.9238,1.16%,开放申购,开放赎回,
2021-11-30,0.9132,0.9132,-0.20%,开放申购,开放赎回,
2021-11-29,0.915,0.915,-0.96%,开放申购,开放赎回,
2021-11-26,0.9239,0.9239,-0.70%,开放申购,开放赎回,
2021-11-25,0.9304,0.9304,-0.30%,开放申购,开放赎回,
2021-11-24,0.9332,0.9332,0.66%,开放申购,开放赎回,
2021-11-23,0.9271,0.9271,0.64%,开放申购,开放赎回,
2021-11-22,0.9212,0.9212,-1.45%,开放申购,开放赎回,
2021-11-19,0.9348,0.9348,2.84%,开放申购,开放赎回,
2021-11-18,0.909,0.909,-1.02%,开放申购,开放赎回,
2021-11-17,0.9184,0.9184,0.24%,开放申购,开放赎回,
2021-11-16,0.9162,0.9162,-0.72%,开放申购,开放赎回,
2021-11-15,0.9228,0.9228,-0.77%,开放申购,开放赎回,
2021-11-12,0.93,0.93,-0.83%,开放申购,开放赎回,
2021-11-11,0.9378,0.9378,4.96%,开放申购,开放赎回,
2021-11-10,0.8935,0.8935,2.42%,开放申购,开放赎回,
2021-11-09,0.8724,0.8724,0.18%,开放申购,开放赎回,
2021-11-08,0.8708,0.8708,0.72%,开放申购,开放赎回,
2021-11-05,0.8646,0.8646,-2.00%,开放申购,开放赎回,
2021-11-04,0.8822,0.8822,-0.07%,开放申购,开放赎回,
2021-11-03,0.8828,0.8828,1.22%,开放申购,开放赎回,
2021-09-28,0.9682,0.9682,3.29%,开放申购,开放赎回,
2021-09-27,0.9374,0.9374,-3.11%,开放申购,开放赎回,
2021-09-24,0.9675,0.9675,-0.68%,开放申购,开放赎回,
2021-09-23,0.9741,0.9741,1.70%,开放申购,开放赎回,
2021-09-22,0.9578,0.9578,2.48%,开放申购,开放赎回,
2021-09-17,0.9346,0.9346,0.85%,开放申购,开放赎回,
2021-09-16,0.9267,0.9267,-2.28%,开放申购,开放赎回,
2021-09-15,0.9483,0.9483,-0.77%,开放申购,开放赎回,
2021-09-14,0.9557,0.9557,-2.31%,开放申购,开放赎回,
2021-09-13,0.9783,0.9783,1.91%,开放申购,开放赎回,
2021-09-10,0.96,0.96,0.44%,开放申购,开放赎回,
