FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9657,0.9657,,,1,3.48,开放申购,开放赎回,,,,
2022-04-28,0.9332,0.9332,,,1,2.76,开放申购,开放赎回,,,,
2022-04-27,0.9081,0.9081,,,1,-1.52,开放申购,开放赎回,,,,
2022-04-26,0.9221,0.9221,,,1,0.12,开放申购,开放赎回,,,,
2022-04-25,0.9210,0.9210,,,1,-5.41,开放申购,开放赎回,,,,
2022-04-22,0.9737,0.9737,,,1,0.95,开放申购,开放赎回,,,,
2022-04-21,0.9645,0.9645,,,1,-2.66,开放申购,开放赎回,,,,
2022-04-20,0.9909,0.9909,,,1,-4.61,开放申购,开放赎回,,,,
2022-04-19,1.0388,1.0388,,,1,0.57,开放申购,开放赎回,,,,
2022-04-18,1.0329,1.0329,,,1,-3.02,开放申购,开放赎回,,,,
2022-04-15,1.0651,1.0651,,,1,0.24,开放申购,开放赎回,,,,
2022-04-14,1.0626,1.0626,,,1,3.49,开放申购,开放赎回,,,,
2022-04-13,1.0268,1.0268,,,1,-1.17,开放申购,开放赎回,,,,
2022-04-12,1.0390,1.0390,,,1,-2.03,开放申购,开放赎回,,,,
2022-04-11,1.0605,1.0605,,,1,-3.63,开放申购,开放赎回,,,,
2022-04-08,1.1004,1.1004,,,1,2.43,开放申购,开放赎回,,,,
2022-04-07,1.0743,1.0743,,,1,-2.97,开放申购,开放赎回,,,,
2022-04-06,1.1072,1.1072,,,1,2.60,开放申购,开放赎回,,,,
2022-04-01,1.0791,1.0791,,,1,2.62,开放申购,开放赎回,,,,
2022-03-31,1.0515,1.0515,,,1,1.01,开放申购,开放赎回,,,,
2022-03-30,1.0410,1.0410,,,1,5.12,开放申购,开放赎回,,,,
2022-03-29,0.9903,0.9903,,,1,-1.64,开放申购,开放赎回,,,,
2022-03-28,1.0068,1.0068,,,1,1.88,开放申购,开放赎回,,,,
2022-03-25,0.9882,0.9882,,,1,0.28,开放申购,开放赎回,,,,
2022-03-24,0.9854,0.9854,,,1,-1.39,开放申购,开放赎回,,,,
2022-03-23,0.9993,0.9993,,,1,1.88,开放申购,开放赎回,,,,
2022-03-22,0.9809,0.9809,,,1,3.41,开放申购,开放赎回,,,,
2022-03-21,0.9486,0.9486,,,1,0.11,开放申购,开放赎回,,,,
2022-03-18,0.9476,0.9476,,,1,4.17,开放申购,开放赎回,,,,
2022-03-17,0.9097,0.9097,,,1,3.73,开放申购,开放赎回,,,,
2022-03-16,0.8770,0.8770,,,1,3.04,开放申购,开放赎回,,,,
2022-03-15,0.8511,0.8511,,,1,-6.86,开放申购,开放赎回,,,,
2022-03-14,0.9138,0.9138,,,1,-1.88,开放申购,开放赎回,,,,
2022-03-11,0.9313,0.9313,,,1,0.40,开放申购,开放赎回,,,,
2022-03-10,0.9276,0.9276,,,1,1.01,开放申购,开放赎回,,,,
2022-03-09,0.9183,0.9183,,,1,-3.00,开放申购,开放赎回,,,,
2022-03-08,0.9467,0.9467,,,1,-3.05,开放申购,开放赎回,,,,
2022-03-07,0.9765,0.9765,,,1,-0.14,开放申购,开放赎回,,,,
2022-03-04,0.9779,0.9779,,,1,-0.99,开放申购,开放赎回,,,,
2022-03-03,0.9877,0.9877,,,1,1.67,开放申购,开放赎回,,,,
2022-03-02,0.9715,0.9715,,,1,0.67,开放申购,开放赎回,,,,
2022-03-01,0.9650,0.9650,,,1,0.96,开放申购,开放赎回,,,,
2022-02-28,0.9558,0.9558,,,1,-0.64,开放申购,开放赎回,,,,
2022-02-25,0.9620,0.9620,,,1,-0.40,开放申购,开放赎回,,,,
2022-02-24,0.9659,0.9659,,,1,-2.01,开放申购,开放赎回,,,,
2022-02-23,0.9857,0.9857,,,1,-0.86,开放申购,开放赎回,,,,
2022-02-22,0.9943,0.9943,,,1,-0.49,开放申购,开放赎回,,,,
2022-02-21,0.9992,0.9992,,,1,0.93,开放申购,开放赎回,,,,
2022-02-18,0.9900,0.9900,,,1,3.17,开放申购,开放赎回,,,,
2022-02-17,0.9596,0.9596,,,1,-1.24,开放申购,开放赎回,,,,
2022-02-16,0.9716,0.9716,,,1,0.96,开放申购,开放赎回,,,,
2022-02-15,0.9624,0.9624,,,1,-0.92,开放申购,开放赎回,,,,
2022-02-14,0.9713,0.9713,,,1,-2.53,开放申购,开放赎回,,,,
2022-02-11,0.9965,0.9965,,,1,0.13,开放申购,开放赎回,,,,
2022-02-10,0.9952,0.9952,,,1,1.12,开放申购,开放赎回,,,,
2022-02-09,0.9842,0.9842,,,1,0.04,开放申购,开放赎回,,,,
2022-02-08,0.9838,0.9838,,,1,1.00,开放申购,开放赎回,,,,
2022-02-07,0.9741,0.9741,,,1,1.32,开放申购,开放赎回,,,,
2022-01-28,0.9614,0.9614,,,1,-0.14,开放申购,开放赎回,,,,
2022-01-27,0.9627,0.9627,,,1,-1.59,开放申购,开放赎回,,,,
2022-01-26,0.9783,0.9783,,,1,0.22,开放申购,开放赎回,,,,
2022-01-25,0.9762,0.9762,,,1,-3.20,开放申购,开放赎回,,,,
2022-01-24,1.0085,1.0085,,,1,0.81,开放申购,开放赎回,,,,
2022-01-21,1.0004,1.0004,,,1,-0.74,开放申购,开放赎回,,,,
2022-01-20,1.0079,1.0079,,,1,-0.27,开放申购,开放赎回,,,,
2022-01-19,1.0106,1.0106,,,1,0.42,开放申购,开放赎回,,,,
2022-01-18,1.0064,1.0064,,,1,1.57,开放申购,开放赎回,,,,
2022-01-17,0.9908,0.9908,,,1,1.07,开放申购,开放赎回,,,,
2022-01-14,0.9803,0.9803,,,1,-2.23,开放申购,开放赎回,,,,
2022-01-13,1.0027,1.0027,,,1,-1.32,开放申购,开放赎回,,,,
2022-01-12,1.0161,1.0161,,,1,-0.63,开放申购,开放赎回,,,,
2022-01-11,1.0225,1.0225,,,1,0.14,开放申购,开放赎回,,,,
2022-01-10,1.0211,1.0211,,,1,1.17,开放申购,开放赎回,,,,
2022-01-07,1.0093,1.0093,,,1,1.95,开放申购,开放赎回,,,,
2022-01-06,0.9900,0.9900,,,1,-0.14,开放申购,开放赎回,,,,
2022-01-05,0.9914,0.9914,,,1,0.57,开放申购,开放赎回,,,,
2022-01-04,0.9858,0.9858,,,1,1.13,开放申购,开放赎回,,,,
2021-12-31,0.9748,0.9748,,,1,1.41,开放申购,开放赎回,,,,
2021-12-30,0.9612,0.9612,,,1,0.06,开放申购,开放赎回,,,,
2021-12-29,0.9606,0.9606,,,1,-0.50,开放申购,开放赎回,,,,
2021-12-28,0.9654,0.9654,,,1,-0.22,开放申购,开放赎回,,,,
2021-12-27,0.9675,0.9675,,,1,0.62,开放申购,开放赎回,,,,
2021-12-24,0.9615,0.9615,,,1,-1.07,开放申购,开放赎回,,,,
2021-12-23,0.9719,0.9719,,,1,-1.27,开放申购,开放赎回,,,,
2021-12-22,0.9844,0.9844,,,1,-1.50,开放申购,开放赎回,,,,
2021-12-21,0.9994,0.9994,,,1,4.49,开放申购,开放赎回,,,,
2021-12-20,0.9565,0.9565,,,1,0.57,开放申购,开放赎回,,,,
2021-12-17,0.9511,0.9511,,,1,-0.08,开放申购,开放赎回,,,,
2021-12-16,0.9519,0.9519,,,1,0.51,开放申购,开放赎回,,,,
2021-12-15,0.9471,0.9471,,,1,0.63,开放申购,开放赎回,,,,
2021-12-14,0.9412,0.9412,,,1,-0.93,开放申购,开放赎回,,,,
2021-12-13,0.9500,0.9500,,,1,-0.54,开放申购,开放赎回,,,,
2021-12-10,0.9552,0.9552,,,1,-0.86,开放申购,开放赎回,,,,
2021-12-09,0.9635,0.9635,,,1,1.65,开放申购,开放赎回,,,,
2021-12-08,0.9479,0.9479,,,1,0.01,开放申购,开放赎回,,,,
2021-12-07,0.9478,0.9478,,,1,0.96,开放申购,开放赎回,,,,
2021-12-06,0.9388,0.9388,,,1,0.07,开放申购,开放赎回,,,,
2021-12-03,0.9381,0.9381,,,1,1.14,开放申购,开放赎回,,,,
2021-12-02,0.9275,0.9275,,,1,0.40,开放申购,开放赎回,,,,
2021-12-01,0.9238,0.9238,,,1,1.16,开放申购,开放赎回,,,,
2021-11-30,0.9132,0.9132,,,1,-0.20,开放申购,开放赎回,,,,
2021-11-29,0.9150,0.9150,,,1,-0.96,开放申购,开放赎回,,,,
2021-11-26,0.9239,0.9239,,,1,-0.70,开放申购,开放赎回,,,,
2021-11-25,0.9304,0.9304,,,1,-0.30,开放申购,开放赎回,,,,
