FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.2838,1.3138,,,1,2.03,开放申购,开放赎回,,,,
2022-04-28,1.2582,1.2882,,,1,1.46,开放申购,开放赎回,,,,
2022-04-27,1.2401,1.2701,,,1,0.91,开放申购,开放赎回,,,,
2022-04-26,1.2289,1.2589,,,1,-1.02,开放申购,开放赎回,,,,
2022-04-25,1.2416,1.2716,,,1,-4.63,开放申购,开放赎回,,,,
2022-04-22,1.3019,1.3319,,,1,1.42,开放申购,开放赎回,,,,
2022-04-21,1.2837,1.3137,,,1,-2.28,开放申购,开放赎回,,,,
2022-04-20,1.3137,1.3437,,,1,-2.67,开放申购,开放赎回,,,,
2022-04-19,1.3498,1.3798,,,1,0.48,开放申购,开放赎回,,,,
2022-04-18,1.3434,1.3734,,,1,-1.37,开放申购,开放赎回,,,,
2022-04-15,1.3621,1.3921,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-14,1.3686,1.3986,,,1,1.91,开放申购,开放赎回,,,,
2022-04-13,1.3430,1.3730,,,1,-0.77,开放申购,开放赎回,,,,
2022-04-12,1.3534,1.3834,,,1,-0.02,开放申购,开放赎回,,,,
2022-04-11,1.3537,1.3837,,,1,-2.15,开放申购,开放赎回,,,,
2022-04-08,1.3834,1.4134,,,1,1.13,开放申购,开放赎回,,,,
2022-04-07,1.3679,1.3979,,,1,-1.92,开放申购,开放赎回,,,,
2022-04-06,1.3947,1.4247,,,1,1.53,开放申购,开放赎回,,,,
2022-04-01,1.3737,1.4037,,,1,1.29,开放申购,开放赎回,,,,
2022-03-31,1.3562,1.3862,,,1,1.49,开放申购,开放赎回,,,,
2022-03-30,1.3363,1.3663,,,1,2.04,开放申购,开放赎回,,,,
2022-03-29,1.3096,1.3396,,,1,-0.74,开放申购,开放赎回,,,,
2022-03-28,1.3193,1.3493,,,1,1.50,开放申购,开放赎回,,,,
2022-03-25,1.2998,1.3298,,,1,0.14,开放申购,开放赎回,,,,
2022-03-24,1.2980,1.3280,,,1,-0.38,开放申购,开放赎回,,,,
2022-03-23,1.3030,1.3330,,,1,0.35,开放申购,开放赎回,,,,
2022-03-22,1.2985,1.3285,,,1,1.98,开放申购,开放赎回,,,,
2022-03-21,1.2733,1.3033,,,1,0.10,开放申购,开放赎回,,,,
2022-03-18,1.2720,1.3020,,,1,2.81,开放申购,开放赎回,,,,
2022-03-17,1.2372,1.2672,,,1,1.48,开放申购,开放赎回,,,,
2022-03-16,1.2192,1.2492,,,1,2.32,开放申购,开放赎回,,,,
2022-03-15,1.1916,1.2216,,,1,-5.65,开放申购,开放赎回,,,,
2022-03-14,1.2629,1.2929,,,1,-1.96,开放申购,开放赎回,,,,
