FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9260,0.9260,,,1,1.74,暂停申购,暂停赎回,,,,
2022-04-28,0.9102,0.9102,,,1,2.38,暂停申购,暂停赎回,,,,
2022-04-27,0.8890,0.8890,,,1,0.38,开放申购,开放赎回,,,,
2022-04-26,0.8856,0.8856,,,1,0.22,开放申购,开放赎回,,,,
2022-04-25,0.8837,0.8837,,,1,-3.44,开放申购,开放赎回,,,,
2022-04-22,0.9152,0.9152,,,1,1.29,开放申购,开放赎回,,,,
2022-04-21,0.9035,0.9035,,,1,-1.07,开放申购,开放赎回,,,,
2022-04-20,0.9133,0.9133,,,1,-2.17,开放申购,开放赎回,,,,
2022-04-19,0.9336,0.9336,,,1,-0.50,开放申购,开放赎回,,,,
2022-04-18,0.9383,0.9383,,,1,-0.88,暂停申购,暂停赎回,,,,
2022-04-15,0.9466,0.9466,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-14,0.9421,0.9421,,,1,1.18,开放申购,开放赎回,,,,
2022-04-13,0.9311,0.9311,,,1,0.55,开放申购,开放赎回,,,,
2022-04-12,0.9260,0.9260,,,1,-0.67,开放申购,开放赎回,,,,
2022-04-11,0.9322,0.9322,,,1,-1.73,开放申购,开放赎回,,,,
2022-04-08,0.9486,0.9486,,,1,1.54,开放申购,开放赎回,,,,
2022-04-07,0.9342,0.9342,,,1,-1.89,开放申购,开放赎回,,,,
2022-04-06,0.9522,0.9522,,,1,2.77,开放申购,开放赎回,,,,
2022-04-01,0.9265,0.9265,,,1,1.02,暂停申购,暂停赎回,,,,
2022-03-31,0.9171,0.9171,,,1,-0.03,暂停申购,暂停赎回,,,,
2022-03-30,0.9174,0.9174,,,1,1.96,开放申购,开放赎回,,,,
2022-03-29,0.8998,0.8998,,,1,-0.40,开放申购,开放赎回,,,,
2022-03-28,0.9034,0.9034,,,1,0.66,开放申购,开放赎回,,,,
2022-03-25,0.8975,0.8975,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-24,0.9007,0.9007,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-23,0.9013,0.9013,,,1,0.23,开放申购,开放赎回,,,,
2022-03-22,0.8992,0.8992,,,1,2.30,开放申购,开放赎回,,,,
2022-03-21,0.8790,0.8790,,,1,-1.19,开放申购,开放赎回,,,,
2022-03-18,0.8896,0.8896,,,1,1.78,开放申购,开放赎回,,,,
2022-03-17,0.8740,0.8740,,,1,5.10,开放申购,开放赎回,,,,
2022-03-16,0.8316,0.8316,,,1,3.57,开放申购,开放赎回,,,,
2022-03-15,0.8029,0.8029,,,1,-6.09,开放申购,开放赎回,,,,
2022-03-14,0.8550,0.8550,,,1,-2.81,开放申购,开放赎回,,,,
2022-03-11,0.8797,0.8797,,,1,-0.54,开放申购,开放赎回,,,,
2022-03-10,0.8845,0.8845,,,1,0.88,开放申购,开放赎回,,,,
2022-03-09,0.8768,0.8768,,,1,-1.73,开放申购,开放赎回,,,,
2022-03-08,0.8922,0.8922,,,1,-2.82,开放申购,开放赎回,,,,
2022-03-07,0.9181,0.9181,,,1,-0.80,开放申购,开放赎回,,,,
2022-03-04,0.9255,0.9255,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-03,0.9299,0.9299,,,1,1.53,开放申购,开放赎回,,,,
2022-03-02,0.9159,0.9159,,,1,-0.40,开放申购,开放赎回,,,,
2022-03-01,0.9196,0.9196,,,1,0.40,开放申购,开放赎回,,,,
2022-02-28,0.9159,0.9159,,,1,-0.03,开放申购,开放赎回,,,,
2022-02-25,0.9162,0.9162,,,1,-1.09,开放申购,开放赎回,,,,
2022-02-24,0.9263,0.9263,,,1,-2.34,开放申购,开放赎回,,,,
2022-02-23,0.9485,0.9485,,,1,-0.86,开放申购,开放赎回,,,,
2022-02-22,0.9567,0.9567,,,1,-0.89,开放申购,开放赎回,,,,
2022-02-21,0.9653,0.9653,,,1,0.05,开放申购,开放赎回,,,,
2022-02-18,0.9648,0.9648,,,1,1.30,开放申购,开放赎回,,,,
2022-02-17,0.9524,0.9524,,,1,-0.46,开放申购,开放赎回,,,,
2022-02-16,0.9568,0.9568,,,1,0.99,开放申购,开放赎回,,,,
2022-02-15,0.9474,0.9474,,,1,-1.81,开放申购,开放赎回,,,,
2022-02-14,0.9649,0.9649,,,1,-1.95,开放申购,开放赎回,,,,
2022-02-11,0.9841,0.9841,,,1,0.57,开放申购,开放赎回,,,,
