FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9154,0.9154,,,1,1.73,暂停申购,暂停赎回,,,,
2022-04-28,0.8998,0.8998,,,1,2.38,暂停申购,暂停赎回,,,,
2022-04-27,0.8789,0.8789,,,1,0.39,开放申购,开放赎回,,,,
2022-04-26,0.8755,0.8755,,,1,0.21,开放申购,开放赎回,,,,
2022-04-25,0.8737,0.8737,,,1,-3.45,开放申购,开放赎回,,,,
2022-04-22,0.9049,0.9049,,,1,1.31,开放申购,开放赎回,,,,
2022-04-21,0.8932,0.8932,,,1,-1.09,开放申购,开放赎回,,,,
2022-04-20,0.9030,0.9030,,,1,-2.18,开放申购,开放赎回,,,,
2022-04-19,0.9231,0.9231,,,1,-0.51,开放申购,开放赎回,,,,
2022-04-18,0.9278,0.9278,,,1,-0.88,暂停申购,暂停赎回,,,,
2022-04-15,0.9360,0.9360,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-14,0.9315,0.9315,,,1,1.18,开放申购,开放赎回,,,,
2022-04-13,0.9206,0.9206,,,1,0.55,开放申购,开放赎回,,,,
2022-04-12,0.9156,0.9156,,,1,-0.67,开放申购,开放赎回,,,,
2022-04-11,0.9218,0.9218,,,1,-1.73,开放申购,开放赎回,,,,
2022-04-08,0.9380,0.9380,,,1,1.54,开放申购,开放赎回,,,,
2022-04-07,0.9238,0.9238,,,1,-1.89,开放申购,开放赎回,,,,
2022-04-06,0.9416,0.9416,,,1,2.77,开放申购,开放赎回,,,,
2022-04-01,0.9162,0.9162,,,1,1.03,暂停申购,暂停赎回,,,,
2022-03-31,0.9069,0.9069,,,1,-0.04,暂停申购,暂停赎回,,,,
2022-03-30,0.9073,0.9073,,,1,1.97,开放申购,开放赎回,,,,
2022-03-29,0.8898,0.8898,,,1,-0.40,开放申购,开放赎回,,,,
2022-03-28,0.8934,0.8934,,,1,0.65,开放申购,开放赎回,,,,
2022-03-25,0.8876,0.8876,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-24,0.8908,0.8908,,,1,-0.06,开放申购,开放赎回,,,,
2022-03-23,0.8913,0.8913,,,1,0.22,开放申购,开放赎回,,,,
2022-03-22,0.8893,0.8893,,,1,2.30,开放申购,开放赎回,,,,
2022-03-21,0.8693,0.8693,,,1,-1.20,开放申购,开放赎回,,,,
2022-03-18,0.8799,0.8799,,,1,1.79,开放申购,开放赎回,,,,
2022-03-17,0.8644,0.8644,,,1,5.08,开放申购,开放赎回,,,,
2022-03-16,0.8226,0.8226,,,1,3.59,开放申购,开放赎回,,,,
2022-03-15,0.7941,0.7941,,,1,-6.10,开放申购,开放赎回,,,,
2022-03-14,0.8457,0.8457,,,1,-2.82,开放申购,开放赎回,,,,
2022-03-11,0.8702,0.8702,,,1,-0.54,开放申购,开放赎回,,,,
2022-03-10,0.8749,0.8749,,,1,0.88,开放申购,开放赎回,,,,
2022-03-09,0.8673,0.8673,,,1,-1.72,开放申购,开放赎回,,,,
2022-03-08,0.8825,0.8825,,,1,-2.83,开放申购,开放赎回,,,,
2022-03-07,0.9082,0.9082,,,1,-0.80,开放申购,开放赎回,,,,
2022-03-04,0.9155,0.9155,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-03,0.9198,0.9198,,,1,1.52,开放申购,开放赎回,,,,
2022-03-02,0.9060,0.9060,,,1,-0.41,开放申购,开放赎回,,,,
2022-03-01,0.9097,0.9097,,,1,0.40,开放申购,开放赎回,,,,
2022-02-28,0.9061,0.9061,,,1,-0.03,开放申购,开放赎回,,,,
2022-02-25,0.9064,0.9064,,,1,-1.08,开放申购,开放赎回,,,,
2022-02-24,0.9163,0.9163,,,1,-2.36,开放申购,开放赎回,,,,
2022-02-23,0.9384,0.9384,,,1,-0.86,开放申购,开放赎回,,,,
2022-02-22,0.9465,0.9465,,,1,-0.89,开放申购,开放赎回,,,,
2022-02-21,0.9550,0.9550,,,1,0.05,开放申购,开放赎回,,,,
2022-02-18,0.9545,0.9545,,,1,1.31,开放申购,开放赎回,,,,
2022-02-17,0.9422,0.9422,,,1,-0.48,开放申购,开放赎回,,,,
2022-02-16,0.9467,0.9467,,,1,1.00,开放申购,开放赎回,,,,
2022-02-15,0.9373,0.9373,,,1,-1.82,开放申购,开放赎回,,,,
2022-02-14,0.9547,0.9547,,,1,-1.95,开放申购,开放赎回,,,,
2022-02-11,0.9737,0.9737,,,1,0.57,开放申购,开放赎回,,,,
2022-02-10,0.9682,0.9682,,,1,1.40,开放申购,开放赎回,,,,
2022-02-09,0.9548,0.9548,,,1,0.46,开放申购,开放赎回,,,,
2022-02-08,0.9504,0.9504,,,1,0.86,开放申购,开放赎回,,,,
2022-02-07,0.9423,0.9423,,,1,3.25,开放申购,开放赎回,,,,
2022-01-28,0.9126,0.9126,,,1,-0.72,暂停申购,暂停赎回,,,,
2022-01-27,0.9192,0.9192,,,1,-0.65,暂停申购,暂停赎回,,,,
