FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.4469,1.4469,,,1,1.57,开放申购,开放赎回,,,,
2022-04-28,1.4246,1.4246,,,1,1.93,开放申购,开放赎回,,,,
2022-04-27,1.3976,1.3976,,,1,0.69,开放申购,开放赎回,,,,
2022-04-26,1.3880,1.3880,,,1,-0.71,开放申购,开放赎回,,,,
2022-04-25,1.3979,1.3979,,,1,-3.73,开放申购,开放赎回,,,,
2022-04-22,1.4520,1.4520,,,1,1.73,开放申购,开放赎回,,,,
2022-04-21,1.4273,1.4273,,,1,-1.68,开放申购,开放赎回,,,,
2022-04-20,1.4517,1.4517,,,1,-2.43,开放申购,开放赎回,,,,
2022-04-19,1.4879,1.4879,,,1,1.14,开放申购,开放赎回,,,,
2022-04-18,1.4711,1.4711,,,1,-1.37,开放申购,开放赎回,,,,
2022-04-15,1.4916,1.4916,,,1,-0.46,开放申购,开放赎回,,,,
2022-04-14,1.4985,1.4985,,,1,1.74,开放申购,开放赎回,,,,
2022-04-13,1.4729,1.4729,,,1,-0.63,开放申购,开放赎回,,,,
2022-04-12,1.4823,1.4823,,,1,0.00,开放申购,开放赎回,,,,
2022-04-11,1.4823,1.4823,,,1,-1.42,开放申购,开放赎回,,,,
2022-04-08,1.5036,1.5036,,,1,1.15,开放申购,开放赎回,,,,
2022-04-07,1.4865,1.4865,,,1,-1.52,开放申购,开放赎回,,,,
2022-04-06,1.5094,1.5094,,,1,1.60,开放申购,开放赎回,,,,
2022-04-01,1.4856,1.4856,,,1,1.68,开放申购,开放赎回,,,,
2022-03-31,1.4611,1.4611,,,1,1.04,开放申购,开放赎回,,,,
2022-03-30,1.4460,1.4460,,,1,1.50,开放申购,开放赎回,,,,
2022-03-29,1.4246,1.4246,,,1,-0.34,开放申购,开放赎回,,,,
2022-03-28,1.4295,1.4295,,,1,1.98,开放申购,开放赎回,,,,
2022-03-25,1.4017,1.4017,,,1,0.19,开放申购,开放赎回,,,,
2022-03-24,1.3990,1.3990,,,1,-0.55,开放申购,开放赎回,,,,
2022-03-23,1.4068,1.4068,,,1,0.00,开放申购,开放赎回,,,,
2022-03-22,1.4068,1.4068,,,1,1.84,开放申购,开放赎回,,,,
2022-03-21,1.3814,1.3814,,,1,-0.39,开放申购,开放赎回,,,,
2022-03-18,1.3868,1.3868,,,1,2.50,开放申购,开放赎回,,,,
2022-03-17,1.3530,1.3530,,,1,1.18,开放申购,开放赎回,,,,
2022-03-16,1.3372,1.3372,,,1,2.33,开放申购,开放赎回,,,,
2022-03-15,1.3068,1.3068,,,1,-5.41,开放申购,开放赎回,,,,
2022-03-14,1.3816,1.3816,,,1,-1.82,开放申购,开放赎回,,,,
2022-03-11,1.4072,1.4072,,,1,0.51,开放申购,开放赎回,,,,
2022-03-10,1.4001,1.4001,,,1,0.81,开放申购,开放赎回,,,,
2022-03-09,1.3889,1.3889,,,1,-0.93,开放申购,开放赎回,,,,
2022-03-08,1.4019,1.4019,,,1,-3.01,开放申购,开放赎回,,,,
2022-03-07,1.4454,1.4454,,,1,-0.83,开放申购,开放赎回,,,,
2022-03-04,1.4575,1.4575,,,1,-0.76,开放申购,开放赎回,,,,
2022-03-03,1.4687,1.4687,,,1,1.37,开放申购,开放赎回,,,,
2022-03-02,1.4489,1.4489,,,1,0.79,开放申购,开放赎回,,,,
2022-03-01,1.4375,1.4375,,,1,0.94,开放申购,开放赎回,,,,
2022-02-28,1.4241,1.4241,,,1,0.02,开放申购,开放赎回,,,,
2022-02-25,1.4238,1.4238,,,1,-0.12,开放申购,开放赎回,,,,
2022-02-24,1.4255,1.4255,,,1,-1.73,开放申购,开放赎回,,,,
2022-02-23,1.4506,1.4506,,,1,-0.87,开放申购,开放赎回,,,,
2022-02-22,1.4633,1.4633,,,1,-0.87,开放申购,开放赎回,,,,
2022-02-21,1.4761,1.4761,,,1,0.24,开放申购,开放赎回,,,,
2022-02-18,1.4725,1.4725,,,1,1.99,开放申购,开放赎回,,,,
2022-02-17,1.4438,1.4438,,,1,-0.38,开放申购,开放赎回,,,,
2022-02-16,1.4493,1.4493,,,1,0.94,开放申购,开放赎回,,,,
2022-02-15,1.4358,1.4358,,,1,-0.68,开放申购,开放赎回,,,,
2022-02-14,1.4457,1.4457,,,1,-1.81,开放申购,开放赎回,,,,
2022-02-11,1.4723,1.4723,,,1,0.27,开放申购,开放赎回,,,,
2022-02-10,1.4684,1.4684,,,1,1.32,开放申购,开放赎回,,,,
2022-02-09,1.4493,1.4493,,,1,0.47,开放申购,开放赎回,,,,
2022-02-08,1.4425,1.4425,,,1,2.04,开放申购,开放赎回,,,,
2022-02-07,1.4136,1.4136,,,1,2.62,开放申购,开放赎回,,,,
2022-01-28,1.3775,1.3775,,,1,-1.00,开放申购,开放赎回,,,,
2022-01-27,1.3914,1.3914,,,1,-0.90,开放申购,开放赎回,,,,
2022-01-26,1.4041,1.4041,,,1,0.75,开放申购,开放赎回,,,,
2022-01-25,1.3936,1.3936,,,1,-2.67,开放申购,开放赎回,,,,
2022-01-24,1.4319,1.4319,,,1,0.15,开放申购,开放赎回,,,,
2022-01-21,1.4297,1.4297,,,1,-0.85,开放申购,开放赎回,,,,
2022-01-20,1.4419,1.4419,,,1,-0.21,开放申购,开放赎回,,,,
2022-01-19,1.4450,1.4450,,,1,1.03,开放申购,开放赎回,,,,
2022-01-18,1.4303,1.4303,,,1,1.15,开放申购,开放赎回,,,,
2022-01-17,1.4141,1.4141,,,1,0.34,开放申购,开放赎回,,,,
2022-01-14,1.4093,1.4093,,,1,-1.67,开放申购,开放赎回,,,,
2022-01-13,1.4332,1.4332,,,1,-0.47,开放申购,开放赎回,,,,
2022-01-12,1.4399,1.4399,,,1,-0.47,开放申购,开放赎回,,,,
2022-01-11,1.4467,1.4467,,,1,0.13,开放申购,开放赎回,,,,
2022-01-10,1.4448,1.4448,,,1,0.65,开放申购,开放赎回,,,,
2022-01-07,1.4354,1.4354,,,1,0.97,开放申购,开放赎回,,,,
2022-01-06,1.4216,1.4216,,,1,0.47,开放申购,开放赎回,,,,
2022-01-05,1.4150,1.4150,,,1,0.50,开放申购,开放赎回,,,,
2022-01-04,1.4080,1.4080,,,1,1.48,开放申购,开放赎回,,,,
2021-12-31,1.3874,1.3874,,,1,0.69,开放申购,开放赎回,,,,
2021-12-30,1.3779,1.3779,,,1,0.33,开放申购,开放赎回,,,,
2021-12-29,1.3734,1.3734,,,1,-0.46,开放申购,开放赎回,,,,
2021-12-28,1.3797,1.3797,,,1,-0.77,开放申购,开放赎回,,,,
2021-12-27,1.3904,1.3904,,,1,0.43,开放申购,开放赎回,,,,
2021-12-24,1.3845,1.3845,,,1,-0.64,开放申购,开放赎回,,,,
2021-12-23,1.3934,1.3934,,,1,0.37,开放申购,开放赎回,,,,
2021-12-22,1.3882,1.3882,,,1,-0.29,开放申购,开放赎回,,,,
2021-12-21,1.3922,1.3922,,,1,1.62,开放申购,开放赎回,,,,
2021-12-20,1.3700,1.3700,,,1,-0.38,开放申购,开放赎回,,,,
2021-12-17,1.3752,1.3752,,,1,0.01,开放申购,开放赎回,,,,
2021-12-16,1.3751,1.3751,,,1,1.57,开放申购,开放赎回,,,,
2021-12-15,1.3538,1.3538,,,1,0.80,开放申购,开放赎回,,,,
2021-12-14,1.3430,1.3430,,,1,-1.00,开放申购,开放赎回,,,,
2021-12-13,1.3565,1.3565,,,1,-0.14,开放申购,开放赎回,,,,
2021-12-10,1.3584,1.3584,,,1,-1.20,开放申购,开放赎回,,,,
2021-12-09,1.3749,1.3749,,,1,0.39,开放申购,开放赎回,,,,
2021-12-08,1.3696,1.3696,,,1,0.01,开放申购,开放赎回,,,,
2021-12-07,1.3694,1.3694,,,1,1.41,开放申购,开放赎回,,,,
2021-12-06,1.3503,1.3503,,,1,-0.35,开放申购,开放赎回,,,,
2021-12-03,1.3551,1.3551,,,1,1.48,开放申购,开放赎回,,,,
2021-12-02,1.3353,1.3353,,,1,0.35,开放申购,开放赎回,,,,
2021-12-01,1.3307,1.3307,,,1,1.45,开放申购,开放赎回,,,,
2021-11-30,1.3117,1.3117,,,1,-0.20,开放申购,开放赎回,,,,
2021-11-29,1.3143,1.3143,,,1,-0.85,开放申购,开放赎回,,,,
2021-11-26,1.3256,1.3256,,,1,-1.21,开放申购,开放赎回,,,,
2021-11-25,1.3419,1.3419,,,1,-0.22,开放申购,开放赎回,,,,
2021-11-24,1.3448,1.3448,,,1,1.17,开放申购,开放赎回,,,,
2021-11-23,1.3293,1.3293,,,1,0.99,开放申购,开放赎回,,,,
2021-11-22,1.3163,1.3163,,,1,-0.18,开放申购,开放赎回,,,,
2021-11-19,1.3187,1.3187,,,1,1.36,开放申购,开放赎回,,,,
2021-11-18,1.3010,1.3010,,,1,-0.04,开放申购,开放赎回,,,,
2021-11-17,1.3015,1.3015,,,1,-0.18,开放申购,开放赎回,,,,
2021-11-16,1.3038,1.3038,,,1,-0.74,开放申购,开放赎回,,,,
2021-11-15,1.3135,1.3135,,,1,-0.21,开放申购,开放赎回,,,,
2021-11-12,1.3162,1.3162,,,1,-0.69,开放申购,开放赎回,,,,
2021-11-11,1.3253,1.3253,,,1,2.13,开放申购,开放赎回,,,,
2021-11-10,1.2976,1.2976,,,1,-0.22,开放申购,开放赎回,,,,
2021-11-09,1.3005,1.3005,,,1,-0.32,开放申购,开放赎回,,,,
2021-11-08,1.3047,1.3047,,,1,0.32,开放申购,开放赎回,,,,
2021-11-05,1.3005,1.3005,,,1,-2.03,开放申购,开放赎回,,,,
2021-11-04,1.3275,1.3275,,,1,-0.23,开放申购,开放赎回,,,,
2021-11-03,1.3305,1.3305,,,1,1.85,开放申购,开放赎回,,,,
2021-11-02,1.3063,1.3063,,,1,-2.41,开放申购,开放赎回,,,,
2021-11-01,1.3385,1.3385,,,1,1.03,开放申购,开放赎回,,,,
2021-10-29,1.3248,1.3248,,,1,-0.41,开放申购,开放赎回,,,,
2021-10-28,1.3303,1.3303,,,1,-2.61,开放申购,开放赎回,,,,
2021-10-27,1.3660,1.3660,,,1,-1.82,开放申购,开放赎回,,,,
2021-10-26,1.3913,1.3913,,,1,-0.63,开放申购,开放赎回,,,,
2021-10-25,1.4001,1.4001,,,1,0.21,开放申购,开放赎回,,,,
2021-10-22,1.3972,1.3972,,,1,-2.02,开放申购,开放赎回,,,,
2021-10-21,1.4260,1.4260,,,1,1.18,开放申购,开放赎回,,,,
2021-10-20,1.4094,1.4094,,,1,-1.78,开放申购,开放赎回,,,,
2021-10-19,1.4349,1.4349,,,1,0.01,开放申购,开放赎回,,,,
2021-10-18,1.4348,1.4348,,,1,1.85,开放申购,开放赎回,,,,
2021-10-15,1.4087,1.4087,,,1,0.59,开放申购,开放赎回,,,,
2021-10-14,1.4005,1.4005,,,1,-0.95,开放申购,开放赎回,,,,
2021-10-13,1.4139,1.4139,,,1,-1.56,开放申购,开放赎回,,,,
2021-10-12,1.4363,1.4363,,,1,-0.53,开放申购,开放赎回,,,,
2021-10-11,1.4440,1.4440,,,1,0.84,开放申购,开放赎回,,,,
2021-10-08,1.4320,1.4320,,,1,-0.78,开放申购,开放赎回,,,,
2021-09-30,1.4432,1.4432,,,1,1.24,开放申购,开放赎回,,,,
2021-09-29,1.4255,1.4255,,,1,-2.63,开放申购,开放赎回,,,,
