FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.4347,1.4347,,,1,1.56,开放申购,开放赎回,,,,
2022-04-28,1.4126,1.4126,,,1,1.93,开放申购,开放赎回,,,,
2022-04-27,1.3859,1.3859,,,1,0.69,开放申购,开放赎回,,,,
2022-04-26,1.3764,1.3764,,,1,-0.71,开放申购,开放赎回,,,,
2022-04-25,1.3862,1.3862,,,1,-3.73,开放申购,开放赎回,,,,
2022-04-22,1.4399,1.4399,,,1,1.73,开放申购,开放赎回,,,,
2022-04-21,1.4154,1.4154,,,1,-1.68,开放申购,开放赎回,,,,
2022-04-20,1.4396,1.4396,,,1,-2.43,开放申购,开放赎回,,,,
2022-04-19,1.4755,1.4755,,,1,1.14,开放申购,开放赎回,,,,
2022-04-18,1.4588,1.4588,,,1,-1.38,开放申购,开放赎回,,,,
2022-04-15,1.4792,1.4792,,,1,-0.46,开放申购,开放赎回,,,,
2022-04-14,1.4860,1.4860,,,1,1.73,开放申购,开放赎回,,,,
2022-04-13,1.4607,1.4607,,,1,-0.63,开放申购,开放赎回,,,,
2022-04-12,1.4700,1.4700,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-11,1.4701,1.4701,,,1,-1.41,开放申购,开放赎回,,,,
2022-04-08,1.4912,1.4912,,,1,1.15,开放申购,开放赎回,,,,
2022-04-07,1.4743,1.4743,,,1,-1.51,开放申购,开放赎回,,,,
2022-04-06,1.4969,1.4969,,,1,1.59,开放申购,开放赎回,,,,
2022-04-01,1.4734,1.4734,,,1,1.68,开放申购,开放赎回,,,,
2022-03-31,1.4491,1.4491,,,1,1.04,开放申购,开放赎回,,,,
2022-03-30,1.4342,1.4342,,,1,1.51,开放申购,开放赎回,,,,
2022-03-29,1.4129,1.4129,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-28,1.4178,1.4178,,,1,1.98,开放申购,开放赎回,,,,
2022-03-25,1.3903,1.3903,,,1,0.20,开放申购,开放赎回,,,,
2022-03-24,1.3875,1.3875,,,1,-0.56,开放申购,开放赎回,,,,
2022-03-23,1.3953,1.3953,,,1,0.00,开放申购,开放赎回,,,,
2022-03-22,1.3953,1.3953,,,1,1.83,开放申购,开放赎回,,,,
2022-03-21,1.3702,1.3702,,,1,-0.39,开放申购,开放赎回,,,,
2022-03-18,1.3755,1.3755,,,1,2.50,开放申购,开放赎回,,,,
2022-03-17,1.3420,1.3420,,,1,1.18,开放申购,开放赎回,,,,
2022-03-16,1.3264,1.3264,,,1,2.33,开放申购,开放赎回,,,,
2022-03-15,1.2962,1.2962,,,1,-5.41,开放申购,开放赎回,,,,
2022-03-14,1.3704,1.3704,,,1,-1.82,开放申购,开放赎回,,,,
2022-03-11,1.3958,1.3958,,,1,0.50,开放申购,开放赎回,,,,
2022-03-10,1.3888,1.3888,,,1,0.81,开放申购,开放赎回,,,,
2022-03-09,1.3777,1.3777,,,1,-0.93,开放申购,开放赎回,,,,
2022-03-08,1.3906,1.3906,,,1,-3.01,开放申购,开放赎回,,,,
2022-03-07,1.4337,1.4337,,,1,-0.84,开放申购,开放赎回,,,,
2022-03-04,1.4458,1.4458,,,1,-0.76,开放申购,开放赎回,,,,
