净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,0.8938,0.8938,5.25%,开放申购,开放赎回,
2022-03-29,0.8492,0.8492,-1.70%,开放申购,开放赎回,
2022-03-28,0.8639,0.8639,1.92%,开放申购,开放赎回,
2022-03-25,0.8476,0.8476,0.31%,开放申购,开放赎回,
2022-03-24,0.845,0.845,-1.47%,开放申购,开放赎回,
2022-03-23,0.8576,0.8576,1.99%,开放申购,开放赎回,
2022-03-22,0.8409,0.8409,3.62%,开放申购,开放赎回,
2022-03-21,0.8115,0.8115,0.11%,开放申购,开放赎回,
2022-03-18,0.8106,0.8106,4.43%,开放申购,开放赎回,
2022-03-17,0.7762,0.7762,3.94%,开放申购,开放赎回,
2022-03-16,0.7468,0.7468,3.08%,开放申购,开放赎回,
2022-03-15,0.7245,0.7245,-6.96%,开放申购,开放赎回,
2022-03-14,0.7787,0.7787,-1.89%,开放申购,开放赎回,
2022-03-11,0.7937,0.7937,0.39%,开放申购,开放赎回,
2022-03-10,0.7906,0.7906,1.01%,开放申购,开放赎回,
2022-03-09,0.7827,0.7827,-2.98%,开放申购,开放赎回,
2022-03-08,0.8067,0.8067,-2.89%,开放申购,开放赎回,
2022-03-07,0.8307,0.8307,-0.12%,开放申购,开放赎回,
2022-03-04,0.8317,0.8317,-1.00%,开放申购,开放赎回,
2022-03-03,0.8401,0.8401,1.68%,开放申购,开放赎回,
2021-12-28,0.8238,0.8238,-0.25%,开放申购,开放赎回,
2021-12-27,0.8259,0.8259,0.67%,开放申购,开放赎回,
2021-12-24,0.8204,0.8204,-1.12%,开放申购,开放赎回,
2021-12-23,0.8297,0.8297,-1.36%,开放申购,开放赎回,
2021-12-22,0.8411,0.8411,-1.68%,开放申购,开放赎回,
2021-12-21,0.8555,0.8555,4.98%,开放申购,开放赎回,
2021-12-20,0.8149,0.8149,0.64%,开放申购,开放赎回,
2021-12-17,0.8097,0.8097,-0.09%,开放申购,开放赎回,
2021-12-16,0.8104,0.8104,0.52%,开放申购,开放赎回,
2021-12-15,0.8062,0.8062,0.66%,开放申购,开放赎回,
2021-12-14,0.8009,0.8009,-0.99%,开放申购,开放赎回,
2021-12-13,0.8089,0.8089,-0.61%,开放申购,开放赎回,
2021-12-10,0.8139,0.8139,-0.85%,开放申购,开放赎回,
2021-12-09,0.8209,0.8209,1.75%,开放申购,开放赎回,
2021-12-08,0.8068,0.8068,-0.15%,开放申购,开放赎回,
2021-12-07,0.808,0.808,1.13%,开放申购,开放赎回,
2021-12-06,0.799,0.799,0.19%,开放申购,开放赎回,
2021-12-03,0.7975,0.7975,1.04%,开放申购,开放赎回,
2021-12-02,0.7893,0.7893,0.52%,开放申购,开放赎回,
2021-12-01,0.7852,0.7852,1.19%,开放申购,开放赎回,
2021-11-30,0.776,0.776,-0.31%,开放申购,开放赎回,
2021-11-29,0.7784,0.7784,-1.14%,开放申购,开放赎回,
2021-11-26,0.7874,0.7874,-0.71%,开放申购,开放赎回,
2021-11-25,0.793,0.793,-0.35%,开放申购,开放赎回,
2021-11-24,0.7958,0.7958,0.76%,开放申购,开放赎回,
2021-11-23,0.7898,0.7898,0.74%,开放申购,开放赎回,
2021-11-22,0.784,0.784,-1.54%,开放申购,开放赎回,
2021-11-19,0.7963,0.7963,3.11%,开放申购,开放赎回,
2021-11-18,0.7723,0.7723,-1.28%,开放申购,开放赎回,
2021-11-17,0.7823,0.7823,0.23%,开放申购,开放赎回,
2021-11-16,0.7805,0.7805,-0.86%,开放申购,开放赎回,
2021-11-15,0.7873,0.7873,-0.69%,开放申购,开放赎回,
2021-11-12,0.7928,0.7928,-0.95%,开放申购,开放赎回,
2021-11-11,0.8004,0.8004,5.41%,开放申购,开放赎回,
2021-11-10,0.7593,0.7593,2.58%,开放申购,开放赎回,
2021-11-09,0.7402,0.7402,0.05%,开放申购,开放赎回,
