FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8251,0.8251,,,1,3.54,开放申购,开放赎回,,,,
2022-04-28,0.7969,0.7969,,,1,2.73,开放申购,开放赎回,,,,
2022-04-27,0.7757,0.7757,,,1,-1.27,开放申购,开放赎回,,,,
2022-04-26,0.7857,0.7857,,,1,-0.03,开放申购,开放赎回,,,,
2022-04-25,0.7859,0.7859,,,1,-5.69,开放申购,开放赎回,,,,
2022-04-22,0.8333,0.8333,,,1,1.17,开放申购,开放赎回,,,,
2022-04-21,0.8237,0.8237,,,1,-2.74,开放申购,开放赎回,,,,
2022-04-20,0.8469,0.8469,,,1,-4.68,开放申购,开放赎回,,,,
2022-04-19,0.8885,0.8885,,,1,0.57,开放申购,开放赎回,,,,
2022-04-18,0.8835,0.8835,,,1,-3.11,开放申购,开放赎回,,,,
2022-04-15,0.9119,0.9119,,,1,0.14,开放申购,开放赎回,,,,
2022-04-14,0.9106,0.9106,,,1,3.25,开放申购,开放赎回,,,,
2022-04-13,0.8819,0.8819,,,1,-1.22,开放申购,开放赎回,,,,
2022-04-12,0.8928,0.8928,,,1,-2.18,开放申购,开放赎回,,,,
2022-04-11,0.9127,0.9127,,,1,-3.56,开放申购,开放赎回,,,,
2022-04-08,0.9464,0.9464,,,1,2.64,开放申购,开放赎回,,,,
2022-04-07,0.9221,0.9221,,,1,-3.47,开放申购,开放赎回,,,,
2022-04-06,0.9552,0.9552,,,1,2.74,开放申购,开放赎回,,,,
2022-04-01,0.9297,0.9297,,,1,2.88,开放申购,开放赎回,,,,
2022-03-31,0.9037,0.9037,,,1,1.11,开放申购,开放赎回,,,,
2022-03-30,0.8938,0.8938,,,1,5.25,开放申购,开放赎回,,,,
2022-03-29,0.8492,0.8492,,,1,-1.70,开放申购,开放赎回,,,,
2022-03-28,0.8639,0.8639,,,1,1.92,开放申购,开放赎回,,,,
2022-03-25,0.8476,0.8476,,,1,0.31,开放申购,开放赎回,,,,
2022-03-24,0.8450,0.8450,,,1,-1.47,开放申购,开放赎回,,,,
2022-03-23,0.8576,0.8576,,,1,1.99,开放申购,开放赎回,,,,
2022-03-22,0.8409,0.8409,,,1,3.62,开放申购,开放赎回,,,,
2022-03-21,0.8115,0.8115,,,1,0.11,开放申购,开放赎回,,,,
2022-03-18,0.8106,0.8106,,,1,4.43,开放申购,开放赎回,,,,
2022-03-17,0.7762,0.7762,,,1,3.94,开放申购,开放赎回,,,,
2022-03-16,0.7468,0.7468,,,1,3.08,开放申购,开放赎回,,,,
2022-03-15,0.7245,0.7245,,,1,-6.96,开放申购,开放赎回,,,,
2022-03-14,0.7787,0.7787,,,1,-1.89,开放申购,开放赎回,,,,
2022-03-11,0.7937,0.7937,,,1,0.39,开放申购,开放赎回,,,,
2022-03-10,0.7906,0.7906,,,1,1.01,开放申购,开放赎回,,,,
2022-03-09,0.7827,0.7827,,,1,-2.98,开放申购,开放赎回,,,,
2022-03-08,0.8067,0.8067,,,1,-2.89,开放申购,开放赎回,,,,
2022-03-07,0.8307,0.8307,,,1,-0.12,开放申购,开放赎回,,,,
2022-03-04,0.8317,0.8317,,,1,-1.00,开放申购,开放赎回,,,,
2022-03-03,0.8401,0.8401,,,1,1.68,开放申购,开放赎回,,,,
2022-03-02,0.8262,0.8262,,,1,0.67,开放申购,开放赎回,,,,
2022-03-01,0.8207,0.8207,,,1,0.95,开放申购,开放赎回,,,,
2022-02-28,0.8130,0.8130,,,1,-0.61,开放申购,开放赎回,,,,
2022-02-25,0.8180,0.8180,,,1,-0.40,开放申购,开放赎回,,,,
2022-02-24,0.8213,0.8213,,,1,-2.07,开放申购,开放赎回,,,,
2022-02-23,0.8387,0.8387,,,1,-1.00,开放申购,开放赎回,,,,
2022-02-22,0.8472,0.8472,,,1,-0.53,开放申购,开放赎回,,,,
2022-02-21,0.8517,0.8517,,,1,0.97,开放申购,开放赎回,,,,
2022-02-18,0.8435,0.8435,,,1,3.24,开放申购,开放赎回,,,,
2022-02-17,0.8170,0.8170,,,1,-1.32,开放申购,开放赎回,,,,
2022-02-16,0.8279,0.8279,,,1,1.11,开放申购,开放赎回,,,,
2022-02-15,0.8188,0.8188,,,1,-1.08,开放申购,开放赎回,,,,
2022-02-14,0.8277,0.8277,,,1,-2.72,开放申购,开放赎回,,,,
2022-02-11,0.8508,0.8508,,,1,0.13,开放申购,开放赎回,,,,
2022-02-10,0.8497,0.8497,,,1,1.17,开放申购,开放赎回,,,,
2022-02-09,0.8399,0.8399,,,1,0.04,开放申购,开放赎回,,,,
2022-02-08,0.8396,0.8396,,,1,1.03,开放申购,开放赎回,,,,
2022-02-07,0.8310,0.8310,,,1,1.37,开放申购,开放赎回,,,,
2022-01-28,0.8198,0.8198,,,1,-0.16,开放申购,开放赎回,,,,
2022-01-27,0.8211,0.8211,,,1,-1.65,开放申购,开放赎回,,,,
2022-01-26,0.8349,0.8349,,,1,0.19,开放申购,开放赎回,,,,
2022-01-25,0.8333,0.8333,,,1,-3.43,开放申购,开放赎回,,,,
2022-01-24,0.8629,0.8629,,,1,0.86,开放申购,开放赎回,,,,
2022-01-21,0.8555,0.8555,,,1,-0.82,开放申购,开放赎回,,,,
2022-01-20,0.8626,0.8626,,,1,-0.28,开放申购,开放赎回,,,,
2022-01-19,0.8650,0.8650,,,1,0.46,开放申购,开放赎回,,,,
2022-01-18,0.8610,0.8610,,,1,1.70,开放申购,开放赎回,,,,
2022-01-17,0.8466,0.8466,,,1,1.16,开放申购,开放赎回,,,,
2022-01-14,0.8369,0.8369,,,1,-2.41,开放申购,开放赎回,,,,
2022-01-13,0.8576,0.8576,,,1,-1.45,开放申购,开放赎回,,,,
2022-01-12,0.8702,0.8702,,,1,-0.71,开放申购,开放赎回,,,,
2022-01-11,0.8764,0.8764,,,1,0.16,开放申购,开放赎回,,,,
2022-01-10,0.8750,0.8750,,,1,1.27,开放申购,开放赎回,,,,
2022-01-07,0.8640,0.8640,,,1,2.14,开放申购,开放赎回,,,,
2022-01-06,0.8459,0.8459,,,1,-0.14,开放申购,开放赎回,,,,
2022-01-05,0.8471,0.8471,,,1,0.61,开放申购,开放赎回,,,,
2022-01-04,0.8420,0.8420,,,1,1.19,开放申购,开放赎回,,,,
2021-12-31,0.8321,0.8321,,,1,1.46,开放申购,开放赎回,,,,
2021-12-30,0.8201,0.8201,,,1,0.06,开放申购,开放赎回,,,,
2021-12-29,0.8196,0.8196,,,1,-0.51,开放申购,开放赎回,,,,
2021-12-28,0.8238,0.8238,,,1,-0.25,开放申购,开放赎回,,,,
2021-12-27,0.8259,0.8259,,,1,0.67,开放申购,开放赎回,,,,
2021-12-24,0.8204,0.8204,,,1,-1.12,开放申购,开放赎回,,,,
2021-12-23,0.8297,0.8297,,,1,-1.36,开放申购,开放赎回,,,,
2021-12-22,0.8411,0.8411,,,1,-1.68,开放申购,开放赎回,,,,
2021-12-21,0.8555,0.8555,,,1,4.98,开放申购,开放赎回,,,,
2021-12-20,0.8149,0.8149,,,1,0.64,开放申购,开放赎回,,,,
2021-12-17,0.8097,0.8097,,,1,-0.09,开放申购,开放赎回,,,,
2021-12-16,0.8104,0.8104,,,1,0.52,开放申购,开放赎回,,,,
2021-12-15,0.8062,0.8062,,,1,0.66,开放申购,开放赎回,,,,
2021-12-14,0.8009,0.8009,,,1,-0.99,开放申购,开放赎回,,,,
2021-12-13,0.8089,0.8089,,,1,-0.61,开放申购,开放赎回,,,,
2021-12-10,0.8139,0.8139,,,1,-0.85,开放申购,开放赎回,,,,
2021-12-09,0.8209,0.8209,,,1,1.75,开放申购,开放赎回,,,,
2021-12-08,0.8068,0.8068,,,1,-0.15,开放申购,开放赎回,,,,
2021-12-07,0.8080,0.8080,,,1,1.13,开放申购,开放赎回,,,,
2021-12-06,0.7990,0.7990,,,1,0.19,开放申购,开放赎回,,,,
2021-12-03,0.7975,0.7975,,,1,1.04,开放申购,开放赎回,,,,
2021-12-02,0.7893,0.7893,,,1,0.52,开放申购,开放赎回,,,,
2021-12-01,0.7852,0.7852,,,1,1.19,开放申购,开放赎回,,,,
2021-11-30,0.7760,0.7760,,,1,-0.31,开放申购,开放赎回,,,,
2021-11-29,0.7784,0.7784,,,1,-1.14,开放申购,开放赎回,,,,
2021-11-26,0.7874,0.7874,,,1,-0.71,开放申购,开放赎回,,,,
2021-11-25,0.7930,0.7930,,,1,-0.35,开放申购,开放赎回,,,,
2021-11-24,0.7958,0.7958,,,1,0.76,开放申购,开放赎回,,,,
2021-11-23,0.7898,0.7898,,,1,0.74,开放申购,开放赎回,,,,
2021-11-22,0.7840,0.7840,,,1,-1.54,开放申购,开放赎回,,,,
2021-11-19,0.7963,0.7963,,,1,3.11,开放申购,开放赎回,,,,
2021-11-18,0.7723,0.7723,,,1,-1.28,开放申购,开放赎回,,,,
2021-11-17,0.7823,0.7823,,,1,0.23,开放申购,开放赎回,,,,
2021-11-16,0.7805,0.7805,,,1,-0.86,开放申购,开放赎回,,,,
2021-11-15,0.7873,0.7873,,,1,-0.69,开放申购,开放赎回,,,,
2021-11-12,0.7928,0.7928,,,1,-0.95,开放申购,开放赎回,,,,
2021-11-11,0.8004,0.8004,,,1,5.41,开放申购,开放赎回,,,,
2021-11-10,0.7593,0.7593,,,1,2.58,开放申购,开放赎回,,,,
2021-11-09,0.7402,0.7402,,,1,0.05,开放申购,开放赎回,,,,
2021-11-08,0.7398,0.7398,,,1,0.82,开放申购,开放赎回,,,,
2021-11-05,0.7338,0.7338,,,1,-1.66,开放申购,开放赎回,,,,
2021-11-04,0.7462,0.7462,,,1,-0.37,开放申购,开放赎回,,,,
2021-11-03,0.7490,0.7490,,,1,1.42,开放申购,开放赎回,,,,
2021-11-02,0.7385,0.7385,,,1,-2.12,开放申购,开放赎回,,,,
2021-11-01,0.7545,0.7545,,,1,-0.98,开放申购,开放赎回,,,,
2021-10-29,0.7620,0.7620,,,1,-0.76,开放申购,开放赎回,,,,
2021-10-28,0.7678,0.7678,,,1,-1.82,开放申购,开放赎回,,,,
2021-10-27,0.7820,0.7820,,,1,-1.29,开放申购,开放赎回,,,,
2021-10-26,0.7922,0.7922,,,1,-1.61,开放申购,开放赎回,,,,
2021-10-25,0.8052,0.8052,,,1,-1.82,开放申购,开放赎回,,,,
2021-10-22,0.8201,0.8201,,,1,1.38,开放申购,开放赎回,,,,
2021-10-21,0.8089,0.8089,,,1,1.67,开放申购,开放赎回,,,,
2021-10-20,0.7956,0.7956,,,1,-0.61,开放申购,开放赎回,,,,
2021-10-19,0.8005,0.8005,,,1,-0.62,开放申购,开放赎回,,,,
2021-10-18,0.8055,0.8055,,,1,-0.97,开放申购,开放赎回,,,,
2021-10-15,0.8134,0.8134,,,1,-0.37,开放申购,开放赎回,,,,
2021-10-14,0.8164,0.8164,,,1,-1.73,开放申购,开放赎回,,,,
2021-10-13,0.8308,0.8308,,,1,-0.47,开放申购,开放赎回,,,,
2021-10-12,0.8347,0.8347,,,1,0.40,开放申购,开放赎回,,,,
2021-10-11,0.8314,0.8314,,,1,0.70,开放申购,开放赎回,,,,
2021-10-08,0.8256,0.8256,,,1,-0.28,开放申购,开放赎回,,,,
2021-09-30,0.8279,0.8279,,,1,1.20,开放申购,开放赎回,,,,
2021-09-29,0.8181,0.8181,,,1,-1.10,开放申购,开放赎回,,,,
