FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8099,0.8099,,,1,3.54,开放申购,开放赎回,,,,
2022-04-28,0.7822,0.7822,,,1,2.72,开放申购,开放赎回,,,,
2022-04-27,0.7615,0.7615,,,1,-1.27,开放申购,开放赎回,,,,
2022-04-26,0.7713,0.7713,,,1,-0.03,开放申购,开放赎回,,,,
2022-04-25,0.7715,0.7715,,,1,-5.70,开放申购,开放赎回,,,,
2022-04-22,0.8181,0.8181,,,1,1.17,开放申购,开放赎回,,,,
2022-04-21,0.8086,0.8086,,,1,-2.74,开放申购,开放赎回,,,,
2022-04-20,0.8314,0.8314,,,1,-4.68,开放申购,开放赎回,,,,
2022-04-19,0.8722,0.8722,,,1,0.55,开放申购,开放赎回,,,,
2022-04-18,0.8674,0.8674,,,1,-3.12,开放申购,开放赎回,,,,
2022-04-15,0.8953,0.8953,,,1,0.15,开放申购,开放赎回,,,,
2022-04-14,0.8940,0.8940,,,1,3.26,开放申购,开放赎回,,,,
2022-04-13,0.8658,0.8658,,,1,-1.23,开放申购,开放赎回,,,,
2022-04-12,0.8766,0.8766,,,1,-2.18,开放申购,开放赎回,,,,
2022-04-11,0.8961,0.8961,,,1,-3.56,开放申购,开放赎回,,,,
2022-04-08,0.9292,0.9292,,,1,2.64,开放申购,开放赎回,,,,
2022-04-07,0.9053,0.9053,,,1,-3.47,开放申购,开放赎回,,,,
2022-04-06,0.9378,0.9378,,,1,2.73,开放申购,开放赎回,,,,
2022-04-01,0.9129,0.9129,,,1,2.89,开放申购,开放赎回,,,,
2022-03-31,0.8873,0.8873,,,1,1.11,开放申购,开放赎回,,,,
2022-03-30,0.8776,0.8776,,,1,5.24,开放申购,开放赎回,,,,
2022-03-29,0.8339,0.8339,,,1,-1.70,开放申购,开放赎回,,,,
2022-03-28,0.8483,0.8483,,,1,1.92,开放申购,开放赎回,,,,
2022-03-25,0.8323,0.8323,,,1,0.30,开放申购,开放赎回,,,,
2022-03-24,0.8298,0.8298,,,1,-1.47,开放申购,开放赎回,,,,
2022-03-23,0.8422,0.8422,,,1,1.99,开放申购,开放赎回,,,,
2022-03-22,0.8258,0.8258,,,1,3.63,开放申购,开放赎回,,,,
2022-03-21,0.7969,0.7969,,,1,0.10,开放申购,开放赎回,,,,
2022-03-18,0.7961,0.7961,,,1,4.43,开放申购,开放赎回,,,,
2022-03-17,0.7623,0.7623,,,1,3.94,开放申购,开放赎回,,,,
2022-03-16,0.7334,0.7334,,,1,3.06,开放申购,开放赎回,,,,
2022-03-15,0.7116,0.7116,,,1,-6.96,开放申购,开放赎回,,,,
2022-03-14,0.7648,0.7648,,,1,-1.89,开放申购,开放赎回,,,,
2022-03-11,0.7795,0.7795,,,1,0.39,开放申购,开放赎回,,,,
2022-03-10,0.7765,0.7765,,,1,1.01,开放申购,开放赎回,,,,
2022-03-09,0.7687,0.7687,,,1,-2.98,开放申购,开放赎回,,,,
