净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,0.9879,1.8436,5.13%,开放申购,开放赎回,
2022-03-29,0.9397,1.7954,-1.71%,开放申购,开放赎回,
2022-03-28,0.956,1.8117,1.88%,开放申购,开放赎回,
2022-03-25,0.9384,1.7941,-0.09%,开放申购,开放赎回,
2022-03-24,0.9392,1.7949,-1.47%,开放申购,开放赎回,
2022-03-23,0.9532,1.8089,1.84%,开放申购,开放赎回,
2022-03-22,0.936,1.7917,3.49%,开放申购,开放赎回,
2022-03-21,0.9044,1.7601,-0.59%,开放申购,开放赎回,
2022-03-18,0.9098,1.7655,4.61%,开放申购,开放赎回,
2022-03-17,0.8697,1.7254,3.55%,开放申购,开放赎回,
2022-03-16,0.8399,1.6956,2.88%,开放申购,开放赎回,
2022-03-15,0.8164,1.6721,-7.26%,开放申购,开放赎回,
2022-03-14,0.8803,1.736,-1.69%,开放申购,开放赎回,
2022-03-11,0.8954,1.7511,0.13%,开放申购,开放赎回,
2022-03-10,0.8942,1.7499,0.61%,开放申购,开放赎回,
2022-03-09,0.8888,1.7445,-3.05%,开放申购,开放赎回,
2022-03-08,0.9168,1.7725,-2.93%,开放申购,开放赎回,
2022-03-07,0.9445,1.8002,-0.15%,开放申购,开放赎回,
2022-03-04,0.9459,1.8016,-0.90%,开放申购,开放赎回,
2022-03-03,0.9545,1.8102,1.86%,开放申购,开放赎回,
2021-12-28,0.9338,1.7895,-0.01%,开放申购,开放赎回,
2021-12-27,0.9339,1.7896,0.41%,开放申购,开放赎回,
2021-12-24,0.9301,1.7858,-0.69%,开放申购,开放赎回,
2021-12-23,0.9366,1.7923,-0.89%,开放申购,开放赎回,
2021-12-22,0.945,1.8007,-1.38%,开放申购,开放赎回,
2021-12-21,0.9582,1.8139,4.34%,开放申购,开放赎回,
2021-12-20,0.9183,1.774,0.33%,开放申购,开放赎回,
2021-12-17,0.9153,1.771,-0.30%,开放申购,开放赎回,
2021-12-16,0.9181,1.7738,0.56%,开放申购,开放赎回,
2021-12-15,0.913,1.7687,0.75%,开放申购,开放赎回,
2021-12-14,0.9062,1.7619,-1.18%,开放申购,开放赎回,
2021-12-13,0.917,1.7727,-0.88%,开放申购,开放赎回,
2021-12-10,0.9251,1.7808,-0.94%,开放申购,开放赎回,
2021-12-09,0.9339,1.7896,1.94%,开放申购,开放赎回,
2021-12-08,0.9161,1.7718,0.01%,开放申购,开放赎回,
2021-12-07,0.916,1.7717,0.91%,开放申购,开放赎回,
2021-12-06,0.9077,1.7634,0.34%,开放申购,开放赎回,
2021-12-03,0.9046,1.7603,1.16%,开放申购,开放赎回,
2021-12-02,0.8942,1.7499,0.75%,开放申购,开放赎回,
2021-12-01,0.8875,1.7432,1.20%,开放申购,开放赎回,
2021-11-30,0.877,1.7327,-0.43%,开放申购,开放赎回,
2021-11-29,0.8808,1.7365,-1.20%,开放申购,开放赎回,
2021-11-26,0.8915,1.7472,-0.86%,开放申购,开放赎回,
2021-11-25,0.8992,1.7549,-0.63%,开放申购,开放赎回,
2021-11-24,0.9049,1.7606,1.00%,开放申购,开放赎回,
2021-11-23,0.8959,1.7516,0.91%,开放申购,开放赎回,
2021-11-22,0.8878,1.7435,-2.14%,开放申购,开放赎回,
2021-11-19,0.9072,1.7629,3.48%,开放申购,开放赎回,
