FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9414,1.7971,,,1,3.20,开放申购,开放赎回,,,,
2022-04-28,0.9122,1.7679,,,1,3.16,开放申购,开放赎回,,,,
2022-04-27,0.8843,1.7400,,,1,-1.72,开放申购,开放赎回,,,,
2022-04-26,0.8998,1.7555,,,1,0.39,开放申购,开放赎回,,,,
2022-04-25,0.8963,1.7520,,,1,-5.14,开放申购,开放赎回,,,,
2022-04-22,0.9449,1.8006,,,1,1.67,开放申购,开放赎回,,,,
2022-04-21,0.9294,1.7851,,,1,-1.99,开放申购,开放赎回,,,,
2022-04-20,0.9483,1.8040,,,1,-4.72,开放申购,开放赎回,,,,
2022-04-19,0.9953,1.8510,,,1,0.23,开放申购,开放赎回,,,,
2022-04-18,0.9930,1.8487,,,1,-3.10,开放申购,开放赎回,,,,
2022-04-15,1.0248,1.8805,,,1,0.66,开放申购,开放赎回,,,,
2022-04-14,1.0181,1.8738,,,1,3.63,开放申购,开放赎回,,,,
2022-04-13,0.9824,1.8381,,,1,-0.37,开放申购,开放赎回,,,,
2022-04-12,0.9860,1.8417,,,1,-2.31,开放申购,开放赎回,,,,
2022-04-11,1.0093,1.8650,,,1,-3.06,开放申购,开放赎回,,,,
2022-04-08,1.0412,1.8969,,,1,2.41,开放申购,开放赎回,,,,
2022-04-07,1.0167,1.8724,,,1,-3.79,开放申购,开放赎回,,,,
2022-04-06,1.0568,1.9125,,,1,2.72,开放申购,开放赎回,,,,
2022-04-01,1.0288,1.8845,,,1,3.21,开放申购,开放赎回,,,,
2022-03-31,0.9968,1.8525,,,1,0.90,开放申购,开放赎回,,,,
2022-03-30,0.9879,1.8436,,,1,5.13,开放申购,开放赎回,,,,
2022-03-29,0.9397,1.7954,,,1,-1.71,开放申购,开放赎回,,,,
2022-03-28,0.9560,1.8117,,,1,1.88,开放申购,开放赎回,,,,
2022-03-25,0.9384,1.7941,,,1,-0.09,开放申购,开放赎回,,,,
2022-03-24,0.9392,1.7949,,,1,-1.47,开放申购,开放赎回,,,,
2022-03-23,0.9532,1.8089,,,1,1.84,开放申购,开放赎回,,,,
2022-03-22,0.9360,1.7917,,,1,3.49,开放申购,开放赎回,,,,
2022-03-21,0.9044,1.7601,,,1,-0.59,开放申购,开放赎回,,,,
2022-03-18,0.9098,1.7655,,,1,4.61,开放申购,开放赎回,,,,
2022-03-17,0.8697,1.7254,,,1,3.55,开放申购,开放赎回,,,,
2022-03-16,0.8399,1.6956,,,1,2.88,开放申购,开放赎回,,,,
2022-03-15,0.8164,1.6721,,,1,-7.26,开放申购,开放赎回,,,,
2022-03-14,0.8803,1.7360,,,1,-1.69,开放申购,开放赎回,,,,
2022-03-11,0.8954,1.7511,,,1,0.13,开放申购,开放赎回,,,,
2022-03-10,0.8942,1.7499,,,1,0.61,开放申购,开放赎回,,,,
2022-03-09,0.8888,1.7445,,,1,-3.05,开放申购,开放赎回,,,,
2022-03-08,0.9168,1.7725,,,1,-2.93,开放申购,开放赎回,,,,
2022-03-07,0.9445,1.8002,,,1,-0.15,开放申购,开放赎回,,,,
2022-03-04,0.9459,1.8016,,,1,-0.90,开放申购,开放赎回,,,,
2022-03-03,0.9545,1.8102,,,1,1.86,开放申购,开放赎回,,,,
2022-03-02,0.9371,1.7928,,,1,0.58,开放申购,开放赎回,,,,
2022-03-01,0.9317,1.7874,,,1,0.94,开放申购,开放赎回,,,,
2022-02-28,0.9230,1.7787,,,1,-0.58,开放申购,开放赎回,,,,
2022-02-25,0.9284,1.7841,,,1,-0.49,开放申购,开放赎回,,,,
2022-02-24,0.9330,1.7887,,,1,-1.82,开放申购,开放赎回,,,,
2022-02-23,0.9503,1.8060,,,1,-0.98,开放申购,开放赎回,,,,
2022-02-22,0.9597,1.8154,,,1,-0.46,开放申购,开放赎回,,,,
2022-02-21,0.9641,1.8198,,,1,0.86,开放申购,开放赎回,,,,
2022-02-18,0.9559,1.8116,,,1,3.34,开放申购,开放赎回,,,,
2022-02-17,0.9250,1.7807,,,1,-1.18,开放申购,开放赎回,,,,
2022-02-16,0.9360,1.7917,,,1,1.16,开放申购,开放赎回,,,,
2022-02-15,0.9253,1.7810,,,1,-0.88,开放申购,开放赎回,,,,
2022-02-14,0.9335,1.7892,,,1,-2.89,开放申购,开放赎回,,,,
2022-02-11,0.9613,1.8170,,,1,0.22,开放申购,开放赎回,,,,
2022-02-10,0.9592,1.8149,,,1,1.12,开放申购,开放赎回,,,,
2022-02-09,0.9486,1.8043,,,1,-0.07,开放申购,开放赎回,,,,
2022-02-08,0.9493,1.8050,,,1,0.56,开放申购,开放赎回,,,,
2022-02-07,0.9440,1.7997,,,1,1.48,开放申购,开放赎回,,,,
2022-01-28,0.9302,1.7859,,,1,-0.53,开放申购,开放赎回,,,,
2022-01-27,0.9352,1.7909,,,1,-1.16,开放申购,开放赎回,,,,
2022-01-26,0.9462,1.8019,,,1,0.13,开放申购,开放赎回,,,,
2022-01-25,0.9450,1.8007,,,1,-3.28,开放申购,开放赎回,,,,
2022-01-24,0.9770,1.8327,,,1,0.99,开放申购,开放赎回,,,,
2022-01-21,0.9674,1.8231,,,1,-0.78,开放申购,开放赎回,,,,
2022-01-20,0.9750,1.8307,,,1,-0.16,开放申购,开放赎回,,,,
2022-01-19,0.9766,1.8323,,,1,0.42,开放申购,开放赎回,,,,
2022-01-18,0.9725,1.8282,,,1,2.28,开放申购,开放赎回,,,,
2022-01-17,0.9508,1.8065,,,1,1.41,开放申购,开放赎回,,,,
