净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.3195,1.3195,1.81%,开放申购,开放赎回,
2022-03-29,1.296,1.296,-0.22%,开放申购,开放赎回,
2022-03-28,1.2989,1.2989,1.22%,开放申购,开放赎回,
2022-03-25,1.2833,1.2833,0.01%,开放申购,开放赎回,
2022-03-24,1.2832,1.2832,-0.07%,开放申购,开放赎回,
2022-03-23,1.2841,1.2841,-0.08%,开放申购,开放赎回,
2022-03-22,1.2851,1.2851,1.20%,开放申购,开放赎回,
2022-03-21,1.2699,1.2699,0.48%,开放申购,开放赎回,
2022-03-18,1.2638,1.2638,2.18%,开放申购,开放赎回,
2022-03-17,1.2368,1.2368,1.07%,开放申购,开放赎回,
2022-03-16,1.2237,1.2237,2.52%,开放申购,开放赎回,
2022-03-15,1.1936,1.1936,-4.57%,开放申购,开放赎回,
2022-03-14,1.2508,1.2508,-1.29%,开放申购,开放赎回,
2022-03-11,1.2671,1.2671,0.95%,开放申购,开放赎回,
2022-03-10,1.2552,1.2552,1.56%,开放申购,开放赎回,
2022-03-09,1.2359,1.2359,-1.40%,开放申购,开放赎回,
2022-03-08,1.2534,1.2534,-2.67%,开放申购,开放赎回,
2022-03-07,1.2878,1.2878,-0.51%,开放申购,开放赎回,
2022-03-04,1.2944,1.2944,-0.67%,开放申购,开放赎回,
2022-03-03,1.3031,1.3031,1.32%,开放申购,开放赎回,
2021-12-28,1.2518,1.2518,-0.36%,开放申购,开放赎回,
2021-12-27,1.2563,1.2563,0.84%,开放申购,开放赎回,
2021-12-24,1.2458,1.2458,-0.14%,开放申购,开放赎回,
2021-12-23,1.2476,1.2476,-0.40%,开放申购,开放赎回,
2021-12-22,1.2526,1.2526,-0.35%,开放申购,开放赎回,
2021-12-21,1.257,1.257,1.70%,开放申购,开放赎回,
2021-12-20,1.236,1.236,0.51%,开放申购,开放赎回,
2021-12-17,1.2297,1.2297,-0.10%,开放申购,开放赎回,
2021-12-16,1.2309,1.2309,0.80%,开放申购,开放赎回,
