FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.2707,1.2707,,,1,2.08,开放申购,开放赎回,,,,
2022-04-28,1.2448,1.2448,,,1,0.78,开放申购,开放赎回,,,,
2022-04-27,1.2352,1.2352,,,1,0.78,开放申购,开放赎回,,,,
2022-04-26,1.2256,1.2256,,,1,-1.19,开放申购,开放赎回,,,,
2022-04-25,1.2404,1.2404,,,1,-3.96,开放申购,开放赎回,,,,
2022-04-22,1.2916,1.2916,,,1,0.77,开放申购,开放赎回,,,,
2022-04-21,1.2817,1.2817,,,1,-1.80,开放申购,开放赎回,,,,
2022-04-20,1.3052,1.3052,,,1,-1.82,开放申购,开放赎回,,,,
2022-04-19,1.3294,1.3294,,,1,0.84,开放申购,开放赎回,,,,
2022-04-18,1.3183,1.3183,,,1,-0.81,开放申购,开放赎回,,,,
2022-04-15,1.3291,1.3291,,,1,-0.34,开放申购,开放赎回,,,,
2022-04-14,1.3336,1.3336,,,1,0.98,开放申购,开放赎回,,,,
2022-04-13,1.3206,1.3206,,,1,-1.10,开放申购,开放赎回,,,,
2022-04-12,1.3353,1.3353,,,1,0.80,开放申购,开放赎回,,,,
2022-04-11,1.3247,1.3247,,,1,-1.57,开放申购,开放赎回,,,,
2022-04-08,1.3458,1.3458,,,1,0.67,开放申购,开放赎回,,,,
2022-04-07,1.3369,1.3369,,,1,-2.39,开放申购,开放赎回,,,,
2022-04-06,1.3697,1.3697,,,1,1.68,开放申购,开放赎回,,,,
2022-04-01,1.3471,1.3471,,,1,1.19,开放申购,开放赎回,,,,
2022-03-31,1.3313,1.3313,,,1,0.41,开放申购,开放赎回,,,,
2022-03-30,1.3259,1.3259,,,1,1.82,开放申购,开放赎回,,,,
2022-03-29,1.3022,1.3022,,,1,-0.22,开放申购,开放赎回,,,,
2022-03-28,1.3051,1.3051,,,1,1.21,开放申购,开放赎回,,,,
2022-03-25,1.2895,1.2895,,,1,0.02,开放申购,开放赎回,,,,
2022-03-24,1.2893,1.2893,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-23,1.2902,1.2902,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-22,1.2912,1.2912,,,1,1.20,开放申购,开放赎回,,,,
2022-03-21,1.2759,1.2759,,,1,0.49,开放申购,开放赎回,,,,
2022-03-18,1.2697,1.2697,,,1,2.18,开放申购,开放赎回,,,,
2022-03-17,1.2426,1.2426,,,1,1.07,开放申购,开放赎回,,,,
2022-03-16,1.2294,1.2294,,,1,2.52,开放申购,开放赎回,,,,
2022-03-15,1.1992,1.1992,,,1,-4.58,开放申购,开放赎回,,,,
2022-03-14,1.2567,1.2567,,,1,-1.28,开放申购,开放赎回,,,,
2022-03-11,1.2730,1.2730,,,1,0.95,开放申购,开放赎回,,,,
2022-03-10,1.2610,1.2610,,,1,1.55,开放申购,开放赎回,,,,
2022-03-09,1.2417,1.2417,,,1,-1.40,开放申购,开放赎回,,,,
2022-03-08,1.2593,1.2593,,,1,-2.67,开放申购,开放赎回,,,,
2022-03-07,1.2938,1.2938,,,1,-0.51,开放申购,开放赎回,,,,
2022-03-04,1.3004,1.3004,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-03,1.3092,1.3092,,,1,1.32,开放申购,开放赎回,,,,
2022-03-02,1.2921,1.2921,,,1,0.70,开放申购,开放赎回,,,,
2022-03-01,1.2831,1.2831,,,1,0.66,开放申购,开放赎回,,,,
2022-02-28,1.2747,1.2747,,,1,-0.24,开放申购,开放赎回,,,,
2022-02-25,1.2778,1.2778,,,1,0.13,开放申购,开放赎回,,,,
2022-02-24,1.2761,1.2761,,,1,-1.89,开放申购,开放赎回,,,,
2022-02-23,1.3007,1.3007,,,1,-0.27,开放申购,开放赎回,,,,
2022-02-22,1.3042,1.3042,,,1,-1.24,开放申购,开放赎回,,,,
2022-02-21,1.3206,1.3206,,,1,0.30,开放申购,开放赎回,,,,
2022-02-18,1.3167,1.3167,,,1,1.61,开放申购,开放赎回,,,,
2022-02-17,1.2958,1.2958,,,1,-0.83,开放申购,开放赎回,,,,
2022-02-16,1.3066,1.3066,,,1,0.64,开放申购,开放赎回,,,,
2022-02-15,1.2983,1.2983,,,1,-0.19,开放申购,开放赎回,,,,
2022-02-14,1.3008,1.3008,,,1,-1.11,开放申购,开放赎回,,,,
2022-02-11,1.3154,1.3154,,,1,-0.68,开放申购,开放赎回,,,,
2022-02-10,1.3244,1.3244,,,1,0.79,开放申购,开放赎回,,,,
2022-02-09,1.3140,1.3140,,,1,0.84,开放申购,开放赎回,,,,
2022-02-08,1.3030,1.3030,,,1,2.16,开放申购,开放赎回,,,,
2022-02-07,1.2755,1.2755,,,1,2.18,开放申购,开放赎回,,,,
2022-01-28,1.2483,1.2483,,,1,-0.11,开放申购,开放赎回,,,,
2022-01-27,1.2497,1.2497,,,1,-1.32,开放申购,开放赎回,,,,
2022-01-26,1.2664,1.2664,,,1,0.77,开放申购,开放赎回,,,,
2022-01-25,1.2567,1.2567,,,1,-3.02,开放申购,开放赎回,,,,
2022-01-24,1.2958,1.2958,,,1,-0.44,开放申购,开放赎回,,,,
2022-01-21,1.3015,1.3015,,,1,-1.07,开放申购,开放赎回,,,,
2022-01-20,1.3156,1.3156,,,1,-0.30,开放申购,开放赎回,,,,
2022-01-19,1.3196,1.3196,,,1,0.52,开放申购,开放赎回,,,,
2022-01-18,1.3128,1.3128,,,1,0.57,开放申购,开放赎回,,,,
2022-01-17,1.3053,1.3053,,,1,0.45,开放申购,开放赎回,,,,
2022-01-14,1.2994,1.2994,,,1,-1.15,开放申购,开放赎回,,,,
2022-01-13,1.3145,1.3145,,,1,-0.59,开放申购,开放赎回,,,,
2022-01-12,1.3223,1.3223,,,1,-0.58,开放申购,开放赎回,,,,
