FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.2645,1.2645,,,1,2.09,开放申购,开放赎回,,,,
2022-04-28,1.2386,1.2386,,,1,0.77,开放申购,开放赎回,,,,
2022-04-27,1.2291,1.2291,,,1,0.78,开放申购,开放赎回,,,,
2022-04-26,1.2196,1.2196,,,1,-1.19,开放申购,开放赎回,,,,
2022-04-25,1.2343,1.2343,,,1,-3.97,开放申购,开放赎回,,,,
2022-04-22,1.2853,1.2853,,,1,0.77,开放申购,开放赎回,,,,
2022-04-21,1.2755,1.2755,,,1,-1.79,开放申购,开放赎回,,,,
2022-04-20,1.2988,1.2988,,,1,-1.82,开放申购,开放赎回,,,,
2022-04-19,1.3229,1.3229,,,1,0.84,开放申购,开放赎回,,,,
2022-04-18,1.3119,1.3119,,,1,-0.82,开放申购,开放赎回,,,,
2022-04-15,1.3227,1.3227,,,1,-0.34,开放申购,开放赎回,,,,
2022-04-14,1.3272,1.3272,,,1,0.99,开放申购,开放赎回,,,,
2022-04-13,1.3142,1.3142,,,1,-1.11,开放申购,开放赎回,,,,
2022-04-12,1.3289,1.3289,,,1,0.80,开放申购,开放赎回,,,,
2022-04-11,1.3183,1.3183,,,1,-1.58,开放申购,开放赎回,,,,
2022-04-08,1.3394,1.3394,,,1,0.67,开放申购,开放赎回,,,,
2022-04-07,1.3305,1.3305,,,1,-2.39,开放申购,开放赎回,,,,
2022-04-06,1.3631,1.3631,,,1,1.67,开放申购,开放赎回,,,,
2022-04-01,1.3407,1.3407,,,1,1.19,开放申购,开放赎回,,,,
2022-03-31,1.3249,1.3249,,,1,0.41,开放申购,开放赎回,,,,
2022-03-30,1.3195,1.3195,,,1,1.81,开放申购,开放赎回,,,,
2022-03-29,1.2960,1.2960,,,1,-0.22,开放申购,开放赎回,,,,
2022-03-28,1.2989,1.2989,,,1,1.22,开放申购,开放赎回,,,,
2022-03-25,1.2833,1.2833,,,1,0.01,开放申购,开放赎回,,,,
2022-03-24,1.2832,1.2832,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-23,1.2841,1.2841,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-22,1.2851,1.2851,,,1,1.20,开放申购,开放赎回,,,,
2022-03-21,1.2699,1.2699,,,1,0.48,开放申购,开放赎回,,,,
2022-03-18,1.2638,1.2638,,,1,2.18,开放申购,开放赎回,,,,
2022-03-17,1.2368,1.2368,,,1,1.07,开放申购,开放赎回,,,,
2022-03-16,1.2237,1.2237,,,1,2.52,开放申购,开放赎回,,,,
2022-03-15,1.1936,1.1936,,,1,-4.57,开放申购,开放赎回,,,,
2022-03-14,1.2508,1.2508,,,1,-1.29,开放申购,开放赎回,,,,
2022-03-11,1.2671,1.2671,,,1,0.95,开放申购,开放赎回,,,,
2022-03-10,1.2552,1.2552,,,1,1.56,开放申购,开放赎回,,,,
2022-03-09,1.2359,1.2359,,,1,-1.40,开放申购,开放赎回,,,,
2022-03-08,1.2534,1.2534,,,1,-2.67,开放申购,开放赎回,,,,
2022-03-07,1.2878,1.2878,,,1,-0.51,开放申购,开放赎回,,,,
2022-03-04,1.2944,1.2944,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-03,1.3031,1.3031,,,1,1.32,开放申购,开放赎回,,,,
2022-03-02,1.2861,1.2861,,,1,0.70,开放申购,开放赎回,,,,
2022-03-01,1.2772,1.2772,,,1,0.65,开放申购,开放赎回,,,,
2022-02-28,1.2689,1.2689,,,1,-0.24,开放申购,开放赎回,,,,
2022-02-25,1.2719,1.2719,,,1,0.13,开放申购,开放赎回,,,,
2022-02-24,1.2702,1.2702,,,1,-1.90,开放申购,开放赎回,,,,
2022-02-23,1.2948,1.2948,,,1,-0.26,开放申购,开放赎回,,,,
2022-02-22,1.2982,1.2982,,,1,-1.25,开放申购,开放赎回,,,,
2022-02-21,1.3146,1.3146,,,1,0.30,开放申购,开放赎回,,,,
2022-02-18,1.3107,1.3107,,,1,1.61,开放申购,开放赎回,,,,
2022-02-17,1.2899,1.2899,,,1,-0.83,开放申购,开放赎回,,,,
2022-02-16,1.3007,1.3007,,,1,0.64,开放申购,开放赎回,,,,
2022-02-15,1.2924,1.2924,,,1,-0.19,开放申购,开放赎回,,,,
2022-02-14,1.2949,1.2949,,,1,-1.11,开放申购,开放赎回,,,,
2022-02-11,1.3095,1.3095,,,1,-0.68,开放申购,开放赎回,,,,
2022-02-10,1.3184,1.3184,,,1,0.79,开放申购,开放赎回,,,,
2022-02-09,1.3081,1.3081,,,1,0.84,开放申购,开放赎回,,,,
2022-02-08,1.2972,1.2972,,,1,2.16,开放申购,开放赎回,,,,
2022-02-07,1.2698,1.2698,,,1,2.18,开放申购,开放赎回,,,,
2022-01-28,1.2427,1.2427,,,1,-0.12,开放申购,开放赎回,,,,
2022-01-27,1.2442,1.2442,,,1,-1.32,开放申购,开放赎回,,,,
