净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.5464,1.5464,3.30%,限制大额申购,开放赎回,
2022-03-29,1.497,1.497,-0.62%,限制大额申购,开放赎回,
2022-03-28,1.5064,1.5064,0.69%,限制大额申购,开放赎回,
2022-03-25,1.4961,1.4961,-0.93%,限制大额申购,开放赎回,
2022-03-24,1.5102,1.5102,-0.59%,限制大额申购,开放赎回,
2022-03-23,1.5192,1.5192,0.46%,限制大额申购,开放赎回,
2022-03-22,1.5123,1.5123,2.10%,限制大额申购,开放赎回,
2022-03-21,1.4812,1.4812,-1.56%,限制大额申购,开放赎回,
2022-03-18,1.5046,1.5046,3.01%,限制大额申购,开放赎回,
2022-03-17,1.4607,1.4607,4.22%,限制大额申购,开放赎回,
2022-03-16,1.4015,1.4015,5.30%,限制大额申购,开放赎回,
2022-03-15,1.3309,1.3309,-7.32%,限制大额申购,开放赎回,
2022-03-14,1.436,1.436,-3.53%,限制大额申购,开放赎回,
2022-03-11,1.4886,1.4886,-0.57%,限制大额申购,开放赎回,
2022-03-10,1.4971,1.4971,0.33%,限制大额申购,开放赎回,
2022-03-09,1.4922,1.4922,-1.45%,限制大额申购,开放赎回,
2022-03-08,1.5142,1.5142,-2.55%,限制大额申购,开放赎回,
2022-03-07,1.5539,1.5539,-1.13%,限制大额申购,开放赎回,
2022-03-04,1.5717,1.5717,-0.80%,限制大额申购,开放赎回,
2022-03-03,1.5844,1.5844,1.51%,限制大额申购,开放赎回,
2021-12-28,1.5147,1.5147,0.40%,开放申购,开放赎回,
2021-12-27,1.5087,1.5087,0.83%,暂停申购,暂停赎回,
2021-12-24,1.4963,1.4963,0.09%,开放申购,开放赎回,
2021-12-23,1.495,1.495,0.13%,开放申购,开放赎回,
2021-12-22,1.493,1.493,-0.37%,开放申购,开放赎回,
2021-12-21,1.4985,1.4985,1.97%,开放申购,开放赎回,
2021-12-20,1.4695,1.4695,-0.32%,开放申购,开放赎回,
2021-12-17,1.4742,1.4742,-0.50%,开放申购,开放赎回,
2021-12-16,1.4816,1.4816,1.39%,开放申购,开放赎回,
2021-12-15,1.4613,1.4613,-0.08%,开放申购,开放赎回,
2021-12-14,1.4625,1.4625,-2.10%,开放申购,开放赎回,
2021-12-13,1.4939,1.4939,-0.21%,开放申购,开放赎回,
2021-12-10,1.4971,1.4971,-1.07%,开放申购,开放赎回,
2021-12-09,1.5133,1.5133,1.43%,开放申购,开放赎回,
2021-12-08,1.492,1.492,-0.08%,开放申购,开放赎回,
2021-12-07,1.4932,1.4932,1.65%,开放申购,开放赎回,
2021-12-06,1.469,1.469,0.57%,开放申购,开放赎回,
2021-12-03,1.4607,1.4607,1.17%,开放申购,开放赎回,
2021-12-02,1.4438,1.4438,0.88%,开放申购,开放赎回,
2021-12-01,1.4312,1.4312,1.19%,开放申购,开放赎回,
2021-11-30,1.4143,1.4143,-0.49%,开放申购,开放赎回,
2021-11-29,1.4213,1.4213,-0.94%,开放申购,开放赎回,
2021-11-26,1.4348,1.4348,-0.97%,开放申购,开放赎回,
2021-11-25,1.4489,1.4489,-0.24%,开放申购,开放赎回,
2021-11-24,1.4524,1.4524,0.11%,开放申购,开放赎回,
2021-11-23,1.4508,1.4508,0.83%,开放申购,开放赎回,
2021-11-22,1.4389,1.4389,-1.49%,开放申购,开放赎回,
2021-11-19,1.4606,1.4606,2.39%,开放申购,开放赎回,
2021-11-18,1.4265,1.4265,-1.44%,开放申购,开放赎回,
2021-11-17,1.4474,1.4474,-0.21%,开放申购,开放赎回,
2021-11-16,1.4505,1.4505,-0.31%,开放申购,开放赎回,
2021-11-15,1.455,1.455,-0.50%,开放申购,开放赎回,
2021-11-12,1.4623,1.4623,-0.59%,开放申购,开放赎回,
2021-11-11,1.471,1.471,4.92%,开放申购,开放赎回,
2021-11-10,1.402,1.402,1.73%,开放申购,开放赎回,
2021-11-09,1.3781,1.3781,0.04%,开放申购,开放赎回,
2021-11-08,1.3775,1.3775,0.44%,开放申购,开放赎回,
2021-11-05,1.3714,1.3714,-1.30%,开放申购,开放赎回,
2021-11-04,1.3894,1.3894,-0.39%,开放申购,开放赎回,
2021-11-03,1.3949,1.3949,1.45%,开放申购,开放赎回,
2021-09-28,1.4982,1.4982,2.49%,开放申购,开放赎回,
2021-09-27,1.4618,1.4618,-1.85%,开放申购,开放赎回,
2021-09-24,1.4893,1.4893,-2.01%,开放申购,开放赎回,
2021-09-23,1.5198,1.5198,1.14%,开放申购,开放赎回,
2021-09-22,1.5027,1.5027,1.55%,暂停申购,暂停赎回,
2021-09-17,1.4797,1.4797,0.93%,暂停申购,暂停赎回,
2021-09-16,1.4661,1.4661,-1.95%,暂停申购,暂停赎回,
2021-09-15,1.4952,1.4952,-1.95%,开放申购,开放赎回,
2021-09-14,1.525,1.525,-2.30%,开放申购,开放赎回,
2021-09-13,1.5609,1.5609,1.49%,开放申购,开放赎回,
2021-09-10,1.538,1.538,0.65%,开放申购,开放赎回,
2021-09-09,1.528,1.528,0.43%,开放申购,开放赎回,
2021-09-08,1.5215,1.5215,0.14%,开放申购,开放赎回,
2021-09-07,1.5194,1.5194,0.76%,开放申购,开放赎回,
2021-09-06,1.5079,1.5079,0.84%,开放申购,开放赎回,
2021-09-03,1.4954,1.4954,-0.47%,开放申购,开放赎回,
2021-09-02,1.5024,1.5024,1.44%,开放申购,开放赎回,
2021-09-01,1.481,1.481,4.06%,开放申购,开放赎回,
2021-08-31,1.4232,1.4232,2.15%,开放申购,开放赎回,
2021-08-30,1.3932,1.3932,-1.83%,开放申购,开放赎回,
2021-08-27,1.4192,1.4192,-0.32%,开放申购,开放赎回,
2021-08-26,1.4238,1.4238,-1.85%,开放申购,开放赎回,
2021-08-25,1.4506,1.4506,-0.58%,开放申购,开放赎回,
2021-08-24,1.4591,1.4591,0.03%,开放申购,开放赎回,
2021-08-23,1.4587,1.4587,0.26%,开放申购,开放赎回,
2021-08-20,1.4549,1.4549,0.42%,开放申购,开放赎回,
2021-08-19,1.4488,1.4488,-1.70%,开放申购,开放赎回,
2021-08-18,1.4739,1.4739,1.58%,开放申购,开放赎回,
2021-08-17,1.451,1.451,-0.24%,开放申购,开放赎回,
2021-08-16,1.4545,1.4545,0.80%,开放申购,开放赎回,
2021-08-13,1.443,1.443,-0.31%,开放申购,开放赎回,
2021-08-12,1.4475,1.4475,-1.21%,开放申购,开放赎回,
2021-08-11,1.4652,1.4652,2.22%,开放申购,开放赎回,
2021-08-10,1.4334,1.4334,0.55%,开放申购,开放赎回,
2021-08-09,1.4256,1.4256,3.81%,开放申购,开放赎回,
2021-08-06,1.3733,1.3733,0.21%,开放申购,开放赎回,
2021-08-05,1.3704,1.3704,0.88%,开放申购,开放赎回,
2021-08-04,1.3584,1.3584,-0.08%,开放申购,开放赎回,
2021-08-03,1.3595,1.3595,0.25%,开放申购,开放赎回,
2021-08-02,1.3561,1.3561,2.56%,开放申购,开放赎回,
2021-07-02,1.4309,1.4309,-2.09%,开放申购,开放赎回,
2021-07-01,1.4615,1.4615,1.52%,暂停申购,暂停赎回,
2021-06-30,1.4396,1.4396,0.48%,开放申购,开放赎回,
