FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.5854,1.5854,,,1,2.13,暂停申购,暂停赎回,,,,
2022-04-28,1.5524,1.5524,,,1,2.15,暂停申购,暂停赎回,,,,
2022-04-27,1.5198,1.5198,,,1,0.26,限制大额申购,开放赎回,,,,
2022-04-26,1.5159,1.5159,,,1,0.80,限制大额申购,开放赎回,,,,
2022-04-25,1.5038,1.5038,,,1,-3.84,限制大额申购,开放赎回,,,,
2022-04-22,1.5638,1.5638,,,1,1.78,限制大额申购,开放赎回,,,,
2022-04-21,1.5365,1.5365,,,1,-1.08,限制大额申购,开放赎回,,,,
2022-04-20,1.5532,1.5532,,,1,-3.03,限制大额申购,开放赎回,,,,
2022-04-19,1.6018,1.6018,,,1,-0.45,限制大额申购,开放赎回,,,,
2022-04-18,1.6090,1.6090,,,1,-1.60,暂停申购,暂停赎回,,,,
2022-04-15,1.6352,1.6352,,,1,0.36,暂停申购,暂停赎回,,,,
2022-04-14,1.6293,1.6293,,,1,2.16,限制大额申购,开放赎回,,,,
2022-04-13,1.5948,1.5948,,,1,0.65,限制大额申购,开放赎回,,,,
2022-04-12,1.5845,1.5845,,,1,-0.81,限制大额申购,开放赎回,,,,
2022-04-11,1.5974,1.5974,,,1,-1.81,限制大额申购,开放赎回,,,,
2022-04-08,1.6269,1.6269,,,1,2.04,限制大额申购,开放赎回,,,,
2022-04-07,1.5944,1.5944,,,1,-1.51,限制大额申购,开放赎回,,,,
2022-04-06,1.6189,1.6189,,,1,3.18,限制大额申购,开放赎回,,,,
2022-04-01,1.5690,1.5690,,,1,1.34,暂停申购,暂停赎回,,,,
2022-03-31,1.5483,1.5483,,,1,0.12,暂停申购,暂停赎回,,,,
2022-03-30,1.5464,1.5464,,,1,3.30,限制大额申购,开放赎回,,,,
2022-03-29,1.4970,1.4970,,,1,-0.62,限制大额申购,开放赎回,,,,
2022-03-28,1.5064,1.5064,,,1,0.69,限制大额申购,开放赎回,,,,
2022-03-25,1.4961,1.4961,,,1,-0.93,限制大额申购,开放赎回,,,,
2022-03-24,1.5102,1.5102,,,1,-0.59,限制大额申购,开放赎回,,,,
2022-03-23,1.5192,1.5192,,,1,0.46,限制大额申购,开放赎回,,,,
2022-03-22,1.5123,1.5123,,,1,2.10,限制大额申购,开放赎回,,,,
2022-03-21,1.4812,1.4812,,,1,-1.56,限制大额申购,开放赎回,,,,
2022-03-18,1.5046,1.5046,,,1,3.01,限制大额申购,开放赎回,,,,
2022-03-17,1.4607,1.4607,,,1,4.22,限制大额申购,开放赎回,,,,
2022-03-16,1.4015,1.4015,,,1,5.30,限制大额申购,开放赎回,,,,
2022-03-15,1.3309,1.3309,,,1,-7.32,限制大额申购,开放赎回,,,,
2022-03-14,1.4360,1.4360,,,1,-3.53,限制大额申购,开放赎回,,,,
2022-03-11,1.4886,1.4886,,,1,-0.57,限制大额申购,开放赎回,,,,
2022-03-10,1.4971,1.4971,,,1,0.33,限制大额申购,开放赎回,,,,
2022-03-09,1.4922,1.4922,,,1,-1.45,限制大额申购,开放赎回,,,,
