净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.842,1.842,-2.44%,开放申购,开放赎回,
2022-03-29,1.888,1.888,1.40%,开放申购,开放赎回,
2022-03-28,1.862,1.862,2.59%,开放申购,开放赎回,
2022-03-25,1.815,1.815,-0.66%,开放申购,开放赎回,
2022-03-24,1.827,1.827,0.94%,开放申购,开放赎回,
2022-03-23,1.81,1.81,-0.44%,开放申购,开放赎回,
2022-03-22,1.818,1.818,3.00%,开放申购,开放赎回,
2022-03-21,1.765,1.765,2.44%,开放申购,开放赎回,
2022-03-18,1.723,1.723,4.49%,开放申购,开放赎回,
2022-03-17,1.649,1.649,1.85%,开放申购,开放赎回,
2022-03-16,1.619,1.619,2.21%,开放申购,开放赎回,
2022-03-15,1.584,1.584,-7.53%,开放申购,开放赎回,
2022-03-14,1.713,1.713,-3.66%,开放申购,开放赎回,
2022-03-11,1.778,1.778,0.00%,开放申购,开放赎回,
2022-03-10,1.778,1.778,0.40%,开放申购,开放赎回,
2022-03-09,1.771,1.771,1.96%,开放申购,开放赎回,
2022-03-08,1.737,1.737,-5.24%,开放申购,开放赎回,
2022-03-07,1.833,1.833,0.00%,开放申购,开放赎回,
2022-03-04,1.833,1.833,0.33%,开放申购,开放赎回,
2022-03-03,1.827,1.827,2.47%,开放申购,开放赎回,
2021-12-28,1.578,1.578,-3.07%,开放申购,开放赎回,
2021-12-27,1.628,1.628,0.56%,开放申购,开放赎回,
2021-12-24,1.619,1.619,-1.94%,开放申购,开放赎回,
2021-12-23,1.651,1.651,2.55%,开放申购,开放赎回,
2021-12-22,1.61,1.61,0.31%,开放申购,开放赎回,
2021-12-21,1.605,1.605,1.33%,开放申购,开放赎回,
2021-12-20,1.584,1.584,-2.28%,开放申购,开放赎回,
2021-12-17,1.621,1.621,-1.88%,开放申购,开放赎回,
2021-12-16,1.652,1.652,6.03%,开放申购,开放赎回,
2021-12-15,1.558,1.558,1.37%,开放申购,开放赎回,
2021-12-14,1.537,1.537,-2.04%,开放申购,开放赎回,
2021-12-13,1.569,1.569,1.75%,开放申购,开放赎回,
2021-12-10,1.542,1.542,-1.34%,开放申购,开放赎回,
2021-12-09,1.563,1.563,-0.57%,开放申购,开放赎回,
2021-12-08,1.572,1.572,-0.51%,开放申购,开放赎回,
2021-12-07,1.58,1.58,0.96%,开放申购,开放赎回,
2021-12-06,1.565,1.565,-1.01%,开放申购,开放赎回,
2021-12-03,1.581,1.581,3.81%,开放申购,开放赎回,
2021-12-02,1.523,1.523,1.20%,开放申购,开放赎回,
2021-12-01,1.505,1.505,3.22%,开放申购,开放赎回,
2021-08-27,1.664,1.664,0.06%,开放申购,开放赎回,
2021-08-26,1.663,1.663,3.29%,开放申购,开放赎回,
2021-08-25,1.61,1.61,3.67%,开放申购,开放赎回,
2021-08-24,1.553,1.553,1.24%,开放申购,开放赎回,
2021-08-23,1.534,1.534,3.23%,开放申购,开放赎回,
2021-08-20,1.486,1.486,-0.87%,开放申购,开放赎回,
2021-08-19,1.499,1.499,--,开放申购,开放赎回,
2021-08-27,1.664,1.664,0.06%,开放申购,开放赎回,
2021-08-26,1.663,1.663,3.29%,开放申购,开放赎回,
2021-08-25,1.61,1.61,3.67%,开放申购,开放赎回,
2021-08-24,1.553,1.553,1.24%,开放申购,开放赎回,
2021-08-23,1.534,1.534,3.23%,开放申购,开放赎回,
2021-08-20,1.486,1.486,-0.87%,开放申购,开放赎回,
2021-08-19,1.499,1.499,--,开放申购,开放赎回,
2021-08-27,1.664,1.664,0.06%,开放申购,开放赎回,
2021-08-26,1.663,1.663,3.29%,开放申购,开放赎回,
2021-08-25,1.61,1.61,3.67%,开放申购,开放赎回,
2021-08-24,1.553,1.553,1.24%,开放申购,开放赎回,
2021-08-23,1.534,1.534,3.23%,开放申购,开放赎回,
2021-08-20,1.486,1.486,-0.87%,开放申购,开放赎回,
2021-08-19,1.499,1.499,--,开放申购,开放赎回,
2021-08-27,1.664,1.664,0.06%,开放申购,开放赎回,
2021-08-26,1.663,1.663,3.29%,开放申购,开放赎回,
