FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.7950,1.7950,,,1,0.17,开放申购,开放赎回,,,,
2022-04-28,1.7920,1.7920,,,1,4.80,开放申购,开放赎回,,,,
2022-04-27,1.7100,1.7100,,,1,4.20,开放申购,开放赎回,,,,
2022-04-26,1.6410,1.6410,,,1,-4.37,开放申购,开放赎回,,,,
2022-04-25,1.7160,1.7160,,,1,-6.28,开放申购,开放赎回,,,,
2022-04-22,1.8310,1.8310,,,1,0.60,开放申购,开放赎回,,,,
2022-04-21,1.8200,1.8200,,,1,-1.73,开放申购,开放赎回,,,,
2022-04-20,1.8520,1.8520,,,1,-5.12,开放申购,开放赎回,,,,
2022-04-19,1.9520,1.9520,,,1,2.47,开放申购,开放赎回,,,,
2022-04-18,1.9050,1.9050,,,1,-3.50,开放申购,开放赎回,,,,
2022-04-15,1.9740,1.9740,,,1,-2.08,开放申购,开放赎回,,,,
2022-04-14,2.0160,2.0160,,,1,4.73,开放申购,开放赎回,,,,
2022-04-13,1.9250,1.9250,,,1,3.72,开放申购,开放赎回,,,,
2022-04-12,1.8560,1.8560,,,1,0.65,开放申购,开放赎回,,,,
2022-04-11,1.8440,1.8440,,,1,-1.86,开放申购,开放赎回,,,,
2022-04-08,1.8790,1.8790,,,1,1.35,开放申购,开放赎回,,,,
2022-04-07,1.8540,1.8540,,,1,0.38,开放申购,开放赎回,,,,
2022-04-06,1.8470,1.8470,,,1,-1.18,开放申购,开放赎回,,,,
2022-04-01,1.8690,1.8690,,,1,-0.37,开放申购,开放赎回,,,,
2022-03-31,1.8760,1.8760,,,1,1.85,开放申购,开放赎回,,,,
2022-03-30,1.8420,1.8420,,,1,-2.44,开放申购,开放赎回,,,,
2022-03-29,1.8880,1.8880,,,1,1.40,开放申购,开放赎回,,,,
2022-03-28,1.8620,1.8620,,,1,2.59,开放申购,开放赎回,,,,
2022-03-25,1.8150,1.8150,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-24,1.8270,1.8270,,,1,0.94,开放申购,开放赎回,,,,
2022-03-23,1.8100,1.8100,,,1,-0.44,开放申购,开放赎回,,,,
2022-03-22,1.8180,1.8180,,,1,3.00,开放申购,开放赎回,,,,
2022-03-21,1.7650,1.7650,,,1,2.44,开放申购,开放赎回,,,,
2022-03-18,1.7230,1.7230,,,1,4.49,开放申购,开放赎回,,,,
2022-03-17,1.6490,1.6490,,,1,1.85,开放申购,开放赎回,,,,
