FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,3.9150,3.9150,,,1,1.35,限制大额申购,开放赎回,,,,
2022-04-28,3.8630,3.8630,,,1,2.36,限制大额申购,开放赎回,,,,
2022-04-27,3.7740,3.7740,,,1,0.83,限制大额申购,开放赎回,,,,
2022-04-26,3.7430,3.7430,,,1,0.73,限制大额申购,开放赎回,,,,
2022-04-25,3.7160,3.7160,,,1,-3.53,限制大额申购,开放赎回,,,,
2022-04-22,3.8520,3.8520,,,1,1.58,限制大额申购,开放赎回,,,,
2022-04-21,3.7920,3.7920,,,1,-1.22,限制大额申购,开放赎回,,,,
2022-04-20,3.8390,3.8390,,,1,-2.49,限制大额申购,开放赎回,,,,
2022-04-19,3.9370,3.9370,,,1,0.15,限制大额申购,开放赎回,,,,
2022-04-18,3.9310,3.9310,,,1,-1.40,限制大额申购,开放赎回,,,,
2022-04-15,3.9870,3.9870,,,1,0.89,限制大额申购,开放赎回,,,,
2022-04-14,3.9520,3.9520,,,1,1.31,限制大额申购,开放赎回,,,,
2022-04-13,3.9010,3.9010,,,1,-0.36,限制大额申购,开放赎回,,,,
2022-04-12,3.9150,3.9150,,,1,-0.74,限制大额申购,开放赎回,,,,
2022-04-11,3.9440,3.9440,,,1,-1.62,限制大额申购,开放赎回,,,,
2022-04-08,4.0090,4.0090,,,1,1.62,限制大额申购,开放赎回,,,,
2022-04-07,3.9450,3.9450,,,1,-1.72,限制大额申购,开放赎回,,,,
2022-04-06,4.0140,4.0140,,,1,2.42,限制大额申购,开放赎回,,,,
2022-04-01,3.9190,3.9190,,,1,1.21,限制大额申购,开放赎回,,,,
2022-03-31,3.8720,3.8720,,,1,0.68,限制大额申购,开放赎回,,,,
2022-03-30,3.8460,3.8460,,,1,2.67,限制大额申购,开放赎回,,,,
2022-03-29,3.7460,3.7460,,,1,-0.66,限制大额申购,开放赎回,,,,
2022-03-28,3.7710,3.7710,,,1,0.27,限制大额申购,开放赎回,,,,
2022-03-25,3.7610,3.7610,,,1,-0.82,限制大额申购,开放赎回,,,,
2022-03-24,3.7920,3.7920,,,1,-0.60,限制大额申购,开放赎回,,,,
2022-03-23,3.8150,3.8150,,,1,0.16,限制大额申购,开放赎回,,,,
2022-03-22,3.8090,3.8090,,,1,1.84,限制大额申购,开放赎回,,,,
2022-03-21,3.7400,3.7400,,,1,-0.51,限制大额申购,开放赎回,,,,
2022-03-18,3.7590,3.7590,,,1,2.87,限制大额申购,开放赎回,,,,
2022-03-17,3.6540,3.6540,,,1,1.92,限制大额申购,开放赎回,,,,
2022-03-16,3.5850,3.5850,,,1,2.81,限制大额申购,开放赎回,,,,
2022-03-15,3.4870,3.4870,,,1,-5.30,限制大额申购,开放赎回,,,,
2022-03-14,3.6820,3.6820,,,1,-2.05,限制大额申购,开放赎回,,,,
2022-03-11,3.7590,3.7590,,,1,-0.13,限制大额申购,开放赎回,,,,
2022-03-10,3.7640,3.7640,,,1,0.59,限制大额申购,开放赎回,,,,
2022-03-09,3.7420,3.7420,,,1,-1.29,限制大额申购,开放赎回,,,,
2022-03-08,3.7910,3.7910,,,1,-2.24,限制大额申购,开放赎回,,,,
2022-03-07,3.8780,3.8780,,,1,-0.79,限制大额申购,开放赎回,,,,
2022-03-04,3.9090,3.9090,,,1,-0.79,限制大额申购,开放赎回,,,,
2022-03-03,3.9400,3.9400,,,1,0.72,限制大额申购,开放赎回,,,,
2022-03-02,3.9120,3.9120,,,1,-0.15,限制大额申购,开放赎回,,,,
2022-03-01,3.9180,3.9180,,,1,1.14,限制大额申购,开放赎回,,,,
2022-02-28,3.8740,3.8740,,,1,-0.41,限制大额申购,开放赎回,,,,
2022-02-25,3.8900,3.8900,,,1,-0.38,限制大额申购,开放赎回,,,,
2022-02-24,3.9050,3.9050,,,1,-1.74,限制大额申购,开放赎回,,,,
2022-02-23,3.9740,3.9740,,,1,-0.70,限制大额申购,开放赎回,,,,
2022-02-22,4.0020,4.0020,,,1,-0.84,限制大额申购,开放赎回,,,,
2022-02-21,4.0360,4.0360,,,1,0.10,限制大额申购,开放赎回,,,,
2022-02-18,4.0320,4.0320,,,1,1.95,限制大额申购,开放赎回,,,,
2022-02-17,3.9550,3.9550,,,1,-0.60,限制大额申购,开放赎回,,,,
2022-02-16,3.9790,3.9790,,,1,1.27,限制大额申购,开放赎回,,,,
2022-02-15,3.9290,3.9290,,,1,-0.13,限制大额申购,开放赎回,,,,
2022-02-14,3.9340,3.9340,,,1,-2.29,限制大额申购,开放赎回,,,,
2022-02-11,4.0260,4.0260,,,1,0.42,限制大额申购,开放赎回,,,,
2022-02-10,4.0090,4.0090,,,1,0.40,限制大额申购,开放赎回,,,,
2022-02-09,3.9930,3.9930,,,1,-0.20,限制大额申购,开放赎回,,,,
2022-02-08,4.0010,4.0010,,,1,0.18,限制大额申购,开放赎回,,,,
2022-02-07,3.9940,3.9940,,,1,2.59,限制大额申购,开放赎回,,,,
2022-01-28,3.8930,3.8930,,,1,-0.71,限制大额申购,开放赎回,,,,
