FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9744,0.9744,,,1,0.85,开放申购,开放赎回,,,,
2022-04-28,0.9662,0.9662,,,1,1.83,开放申购,开放赎回,,,,
2022-04-27,0.9488,0.9488,,,1,0.20,开放申购,开放赎回,,,,
2022-04-26,0.9469,0.9469,,,1,-0.56,开放申购,开放赎回,,,,
2022-04-25,0.9522,0.9522,,,1,-3.20,开放申购,开放赎回,,,,
2022-04-22,0.9837,0.9837,,,1,1.51,开放申购,开放赎回,,,,
2022-04-21,0.9691,0.9691,,,1,-0.95,开放申购,开放赎回,,,,
2022-04-20,0.9784,0.9784,,,1,-2.14,开放申购,开放赎回,,,,
2022-04-19,0.9998,0.9998,,,1,0.52,开放申购,开放赎回,,,,
2022-04-18,0.9946,0.9946,,,1,-1.76,开放申购,开放赎回,,,,
2022-04-15,1.0124,1.0124,,,1,0.44,开放申购,开放赎回,,,,
2022-04-14,1.0080,1.0080,,,1,1.07,开放申购,开放赎回,,,,
2022-04-13,0.9973,0.9973,,,1,-0.09,开放申购,开放赎回,,,,
2022-04-12,0.9982,0.9982,,,1,-0.18,开放申购,开放赎回,,,,
2022-04-11,1.0000,1.0000,,,1,-1.22,开放申购,开放赎回,,,,
2022-04-08,1.0123,1.0123,,,1,1.28,开放申购,开放赎回,,,,
2022-04-07,0.9995,0.9995,,,1,-1.31,开放申购,开放赎回,,,,
2022-04-06,1.0128,1.0128,,,1,1.53,开放申购,开放赎回,,,,
2022-04-01,0.9975,0.9975,,,1,1.44,开放申购,开放赎回,,,,
2022-03-31,0.9833,0.9833,,,1,0.80,开放申购,开放赎回,,,,
2022-03-30,0.9755,0.9755,,,1,1.50,开放申购,开放赎回,,,,
2022-03-29,0.9611,0.9611,,,1,0.06,开放申购,开放赎回,,,,
2022-03-28,0.9605,0.9605,,,1,1.43,开放申购,开放赎回,,,,
2022-03-25,0.9470,0.9470,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-24,0.9503,0.9503,,,1,-0.23,开放申购,开放赎回,,,,
2022-03-23,0.9525,0.9525,,,1,0.09,开放申购,开放赎回,,,,
2022-03-22,0.9516,0.9516,,,1,1.90,开放申购,开放赎回,,,,
2022-03-21,0.9339,0.9339,,,1,-0.53,开放申购,开放赎回,,,,
2022-03-18,0.9389,0.9389,,,1,2.18,开放申购,开放赎回,,,,
2022-03-17,0.9189,0.9189,,,1,0.87,开放申购,开放赎回,,,,
2022-03-16,0.9110,0.9110,,,1,2.53,开放申购,开放赎回,,,,
