净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.7462,1.244,-2.17%,开放申购,开放赎回,
2022-03-29,1.785,1.2698,1.22%,开放申购,开放赎回,
2022-03-28,1.7634,1.2555,1.80%,开放申购,开放赎回,
2022-03-25,1.7323,1.2348,-0.43%,开放申购,开放赎回,
2022-03-24,1.7398,1.2398,0.50%,开放申购,开放赎回,
2022-03-23,1.7311,1.234,-0.53%,开放申购,开放赎回,
2022-03-22,1.7404,1.2402,2.68%,开放申购,开放赎回,
2022-03-21,1.6949,1.2099,2.00%,开放申购,开放赎回,
2022-03-18,1.6616,1.1878,5.16%,开放申购,开放赎回,
2022-03-17,1.58,1.1335,2.36%,开放申购,开放赎回,
2022-03-16,1.5435,1.1092,1.93%,开放申购,开放赎回,
2022-03-15,1.5143,1.0898,-7.87%,开放申购,开放赎回,
2022-03-14,1.6437,1.1758,-3.72%,开放申购,开放赎回,
2022-03-11,1.7072,1.2181,-0.33%,开放申购,开放赎回,
2022-03-10,1.7128,1.2218,0.94%,开放申购,开放赎回,
2022-03-09,1.6969,1.2112,2.00%,开放申购,开放赎回,
2022-03-08,1.6636,1.1891,-4.81%,开放申购,开放赎回,
2022-03-07,1.7477,1.245,-0.12%,开放申购,开放赎回,
2022-03-04,1.7498,1.2464,0.72%,开放申购,开放赎回,
2022-03-03,1.7373,1.2381,2.92%,开放申购,开放赎回,
2021-12-28,1.4994,1.0799,-2.71%,开放申购,开放赎回,
2021-12-27,1.5411,1.1076,0.12%,开放申购,开放赎回,
2021-12-24,1.5392,1.1063,-2.02%,开放申购,开放赎回,
2021-12-23,1.5709,1.1274,2.03%,开放申购,开放赎回,
2021-12-22,1.5397,1.1067,0.16%,开放申购,开放赎回,
2021-12-21,1.5373,1.1051,1.64%,开放申购,开放赎回,
2021-12-20,1.5125,1.0886,-2.88%,开放申购,开放赎回,
2021-12-17,1.5574,1.1184,-1.22%,开放申购,开放赎回,
2021-12-16,1.5767,1.1313,5.61%,开放申购,开放赎回,
2021-12-15,1.4929,1.0755,1.23%,开放申购,开放赎回,
2021-12-14,1.4747,1.0634,-1.82%,开放申购,开放赎回,
2021-12-13,1.502,1.0816,1.52%,开放申购,开放赎回,
2021-12-10,1.4795,1.0666,-1.21%,开放申购,开放赎回,
2021-12-09,1.4976,1.0787,-0.40%,开放申购,开放赎回,
2021-12-08,1.5036,1.0827,-0.44%,开放申购,开放赎回,
2021-12-07,1.5102,1.087,1.11%,开放申购,开放赎回,
2021-12-06,1.4936,1.076,-0.77%,开放申购,开放赎回,
2021-12-03,1.5052,1.0837,3.33%,开放申购,开放赎回,
2021-12-02,1.4567,1.0515,0.34%,开放申购,开放赎回,
2021-12-01,1.4517,1.0481,2.59%,开放申购,开放赎回,
2021-11-30,1.4151,1.0238,0.16%,开放申购,开放赎回,
2021-11-29,1.4129,1.0223,-1.00%,开放申购,开放赎回,
2021-11-26,1.4271,1.0318,-2.09%,开放申购,开放赎回,
2021-11-25,1.4575,1.052,-1.73%,开放申购,开放赎回,
2021-11-24,1.4831,1.069,2.15%,开放申购,开放赎回,
2021-11-23,1.4519,1.0483,1.38%,开放申购,开放赎回,
2021-11-22,1.4321,1.0351,0.63%,开放申购,开放赎回,
2021-11-19,1.4231,1.0291,1.81%,开放申购,开放赎回,
2021-11-18,1.3978,1.0123,1.23%,开放申购,开放赎回,
2021-11-17,1.3808,1.001,0.91%,开放申购,开放赎回,
2021-11-16,1.3684,0.9927,-1.92%,开放申购,开放赎回,
2021-11-15,1.3952,1.0106,-0.70%,开放申购,开放赎回,
2021-11-12,1.405,1.0171,-1.74%,开放申购,开放赎回,
2021-11-11,1.4299,1.0336,0.83%,开放申购,开放赎回,
2021-11-10,1.4181,1.0258,-1.75%,开放申购,开放赎回,
2021-11-09,1.4433,1.0425,-1.25%,开放申购,开放赎回,
2021-11-08,1.4615,1.0547,0.64%,开放申购,开放赎回,
