FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.6886,1.2057,,,1,0.41,开放申购,开放赎回,,,,
2022-04-28,1.6817,1.2011,,,1,3.37,开放申购,开放赎回,,,,
2022-04-27,1.6268,1.1646,,,1,4.00,开放申购,开放赎回,,,,
2022-04-26,1.5642,1.1230,,,1,-5.48,开放申购,开放赎回,,,,
2022-04-25,1.6549,1.1833,,,1,-6.92,开放申购,开放赎回,,,,
2022-04-22,1.7779,1.2651,,,1,0.42,开放申购,开放赎回,,,,
2022-04-21,1.7704,1.2601,,,1,-1.60,开放申购,开放赎回,,,,
2022-04-20,1.7992,1.2793,,,1,-4.50,开放申购,开放赎回,,,,
2022-04-19,1.8840,1.3357,,,1,2.66,开放申购,开放赎回,,,,
2022-04-18,1.8351,1.3032,,,1,-3.59,开放申购,开放赎回,,,,
2022-04-15,1.9034,1.3486,,,1,-1.66,开放申购,开放赎回,,,,
2022-04-14,1.9355,1.3699,,,1,5.64,开放申购,开放赎回,,,,
2022-04-13,1.8321,1.3012,,,1,4.16,开放申购,开放赎回,,,,
2022-04-12,1.7590,1.2525,,,1,0.95,开放申购,开放赎回,,,,
2022-04-11,1.7424,1.2415,,,1,-2.34,开放申购,开放赎回,,,,
2022-04-08,1.7841,1.2692,,,1,0.90,开放申购,开放赎回,,,,
2022-04-07,1.7681,1.2586,,,1,0.28,开放申购,开放赎回,,,,
2022-04-06,1.7631,1.2553,,,1,-1.02,开放申购,开放赎回,,,,
2022-04-01,1.7812,1.2673,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-31,1.7826,1.2682,,,1,2.08,开放申购,开放赎回,,,,
2022-03-30,1.7462,1.2440,,,1,-2.17,开放申购,开放赎回,,,,
2022-03-29,1.7850,1.2698,,,1,1.22,开放申购,开放赎回,,,,
2022-03-28,1.7634,1.2555,,,1,1.80,开放申购,开放赎回,,,,
2022-03-25,1.7323,1.2348,,,1,-0.43,开放申购,开放赎回,,,,
2022-03-24,1.7398,1.2398,,,1,0.50,开放申购,开放赎回,,,,
2022-03-23,1.7311,1.2340,,,1,-0.53,开放申购,开放赎回,,,,
2022-03-22,1.7404,1.2402,,,1,2.68,开放申购,开放赎回,,,,
2022-03-21,1.6949,1.2099,,,1,2.00,开放申购,开放赎回,,,,
2022-03-18,1.6616,1.1878,,,1,5.16,开放申购,开放赎回,,,,
2022-03-17,1.5800,1.1335,,,1,2.36,开放申购,开放赎回,,,,
2022-03-16,1.5435,1.1092,,,1,1.93,开放申购,开放赎回,,,,
2022-03-15,1.5143,1.0898,,,1,-7.87,开放申购,开放赎回,,,,
2022-03-14,1.6437,1.1758,,,1,-3.72,开放申购,开放赎回,,,,
2022-03-11,1.7072,1.2181,,,1,-0.33,开放申购,开放赎回,,,,
2022-03-10,1.7128,1.2218,,,1,0.94,开放申购,开放赎回,,,,
2022-03-09,1.6969,1.2112,,,1,2.00,开放申购,开放赎回,,,,
2022-03-08,1.6636,1.1891,,,1,-4.81,开放申购,开放赎回,,,,
2022-03-07,1.7477,1.2450,,,1,-0.12,开放申购,开放赎回,,,,
2022-03-04,1.7498,1.2464,,,1,0.72,开放申购,开放赎回,,,,
2022-03-03,1.7373,1.2381,,,1,2.92,开放申购,开放赎回,,,,
2022-03-02,1.6880,1.2053,,,1,1.99,开放申购,开放赎回,,,,
