净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,0.8177,0.8177,6.33%,开放申购,开放赎回,
2022-03-29,0.769,0.769,-1.67%,开放申购,开放赎回,
2022-03-28,0.7821,0.7821,2.08%,开放申购,开放赎回,
2022-03-25,0.7662,0.7662,-0.74%,开放申购,开放赎回,
2022-03-24,0.7719,0.7719,-0.92%,开放申购,开放赎回,
2022-03-23,0.7791,0.7791,2.72%,开放申购,开放赎回,
2022-03-22,0.7585,0.7585,3.52%,开放申购,开放赎回,
2022-03-21,0.7327,0.7327,-1.62%,开放申购,开放赎回,
2022-03-18,0.7448,0.7448,5.56%,开放申购,开放赎回,
2022-03-17,0.7056,0.7056,3.66%,开放申购,开放赎回,
2022-03-16,0.6807,0.6807,2.55%,开放申购,开放赎回,
2022-03-15,0.6638,0.6638,-8.19%,开放申购,开放赎回,
2022-03-14,0.723,0.723,-1.82%,开放申购,开放赎回,
2022-03-11,0.7364,0.7364,0.20%,开放申购,开放赎回,
2022-03-10,0.7349,0.7349,0.27%,开放申购,开放赎回,
2022-03-09,0.7329,0.7329,-3.73%,开放申购,开放赎回,
2022-03-08,0.7613,0.7613,-3.14%,开放申购,开放赎回,
2022-03-07,0.786,0.786,-0.32%,开放申购,开放赎回,
2022-03-04,0.7885,0.7885,-0.50%,开放申购,开放赎回,
2022-03-03,0.7925,0.7925,2.28%,开放申购,开放赎回,
2021-12-28,0.7555,0.7555,-0.08%,开放申购,开放赎回,
2021-12-27,0.7561,0.7561,1.67%,开放申购,开放赎回,
2021-12-24,0.7437,0.7437,0.32%,开放申购,开放赎回,
2021-12-23,0.7413,0.7413,-0.99%,开放申购,开放赎回,
2021-12-22,0.7487,0.7487,-0.89%,开放申购,开放赎回,
2021-12-21,0.7554,0.7554,4.22%,开放申购,开放赎回,
2021-12-20,0.7248,0.7248,0.35%,开放申购,开放赎回,
2021-12-17,0.7223,0.7223,-0.30%,开放申购,开放赎回,
2021-12-16,0.7245,0.7245,0.88%,开放申购,开放赎回,
2021-12-15,0.7182,0.7182,0.46%,开放申购,开放赎回,
