FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.7827,0.7827,,,1,3.03,开放申购,开放赎回,,,,
2022-04-28,0.7597,0.7597,,,1,3.30,开放申购,开放赎回,,,,
2022-04-27,0.7354,0.7354,,,1,-2.92,开放申购,开放赎回,,,,
2022-04-26,0.7575,0.7575,,,1,0.11,开放申购,开放赎回,,,,
2022-04-25,0.7567,0.7567,,,1,-4.57,开放申购,开放赎回,,,,
2022-04-22,0.7929,0.7929,,,1,2.02,开放申购,开放赎回,,,,
2022-04-21,0.7772,0.7772,,,1,-1.03,开放申购,开放赎回,,,,
2022-04-20,0.7853,0.7853,,,1,-5.19,开放申购,开放赎回,,,,
2022-04-19,0.8283,0.8283,,,1,0.04,开放申购,开放赎回,,,,
2022-04-18,0.8280,0.8280,,,1,-4.13,开放申购,开放赎回,,,,
2022-04-15,0.8637,0.8637,,,1,1.33,开放申购,开放赎回,,,,
2022-04-14,0.8524,0.8524,,,1,3.79,开放申购,开放赎回,,,,
2022-04-13,0.8213,0.8213,,,1,0.62,开放申购,开放赎回,,,,
2022-04-12,0.8162,0.8162,,,1,-2.84,开放申购,开放赎回,,,,
2022-04-11,0.8401,0.8401,,,1,-2.69,开放申购,开放赎回,,,,
2022-04-08,0.8633,0.8633,,,1,2.18,开放申购,开放赎回,,,,
2022-04-07,0.8449,0.8449,,,1,-3.64,开放申购,开放赎回,,,,
2022-04-06,0.8768,0.8768,,,1,2.59,开放申购,开放赎回,,,,
2022-04-01,0.8547,0.8547,,,1,3.46,开放申购,开放赎回,,,,
2022-03-31,0.8261,0.8261,,,1,1.03,开放申购,开放赎回,,,,
2022-03-30,0.8177,0.8177,,,1,6.33,开放申购,开放赎回,,,,
2022-03-29,0.7690,0.7690,,,1,-1.67,开放申购,开放赎回,,,,
2022-03-28,0.7821,0.7821,,,1,2.08,开放申购,开放赎回,,,,
2022-03-25,0.7662,0.7662,,,1,-0.74,开放申购,开放赎回,,,,
2022-03-24,0.7719,0.7719,,,1,-0.92,开放申购,开放赎回,,,,
2022-03-23,0.7791,0.7791,,,1,2.72,开放申购,开放赎回,,,,
2022-03-22,0.7585,0.7585,,,1,3.52,开放申购,开放赎回,,,,
2022-03-21,0.7327,0.7327,,,1,-1.62,开放申购,开放赎回,,,,
2022-03-18,0.7448,0.7448,,,1,5.56,开放申购,开放赎回,,,,
2022-03-17,0.7056,0.7056,,,1,3.66,开放申购,开放赎回,,,,
2022-03-16,0.6807,0.6807,,,1,2.55,开放申购,开放赎回,,,,
2022-03-15,0.6638,0.6638,,,1,-8.19,开放申购,开放赎回,,,,
2022-03-14,0.7230,0.7230,,,1,-1.82,开放申购,开放赎回,,,,
2022-03-11,0.7364,0.7364,,,1,0.20,开放申购,开放赎回,,,,
2022-03-10,0.7349,0.7349,,,1,0.27,开放申购,开放赎回,,,,
2022-03-09,0.7329,0.7329,,,1,-3.73,开放申购,开放赎回,,,,
2022-03-08,0.7613,0.7613,,,1,-3.14,开放申购,开放赎回,,,,
2022-03-07,0.7860,0.7860,,,1,-0.32,开放申购,开放赎回,,,,
2022-03-04,0.7885,0.7885,,,1,-0.50,开放申购,开放赎回,,,,
2022-03-03,0.7925,0.7925,,,1,2.28,开放申购,开放赎回,,,,
2022-03-02,0.7748,0.7748,,,1,0.36,开放申购,开放赎回,,,,
2022-03-01,0.7720,0.7720,,,1,1.46,开放申购,开放赎回,,,,
2022-02-28,0.7609,0.7609,,,1,-0.74,开放申购,开放赎回,,,,
2022-02-25,0.7666,0.7666,,,1,-0.96,开放申购,开放赎回,,,,
2022-02-24,0.7740,0.7740,,,1,-1.46,开放申购,开放赎回,,,,
2022-02-23,0.7855,0.7855,,,1,-2.34,开放申购,开放赎回,,,,
2022-02-22,0.8043,0.8043,,,1,-0.48,开放申购,开放赎回,,,,
2022-02-21,0.8082,0.8082,,,1,0.81,开放申购,开放赎回,,,,
2022-02-18,0.8017,0.8017,,,1,4.00,开放申购,开放赎回,,,,
2022-02-17,0.7709,0.7709,,,1,-1.82,开放申购,开放赎回,,,,
2022-02-16,0.7852,0.7852,,,1,1.36,开放申购,开放赎回,,,,
2022-02-15,0.7747,0.7747,,,1,-1.03,开放申购,开放赎回,,,,
2022-02-14,0.7828,0.7828,,,1,-3.39,开放申购,开放赎回,,,,
2022-02-11,0.8103,0.8103,,,1,-0.14,开放申购,开放赎回,,,,
2022-02-10,0.8114,0.8114,,,1,2.13,开放申购,开放赎回,,,,
2022-02-09,0.7945,0.7945,,,1,-0.94,开放申购,开放赎回,,,,
2022-02-08,0.8020,0.8020,,,1,0.25,开放申购,开放赎回,,,,
2022-02-07,0.8000,0.8000,,,1,1.64,开放申购,开放赎回,,,,
2022-01-28,0.7871,0.7871,,,1,-0.51,开放申购,开放赎回,,,,
