净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.089,1.1306,1.50%,开放申购,开放赎回,
2022-03-29,1.0729,1.1145,-0.08%,开放申购,开放赎回,
2022-03-28,1.0738,1.1154,0.48%,开放申购,开放赎回,
2022-03-25,1.0687,1.1103,-0.20%,开放申购,开放赎回,
2022-03-24,1.0708,1.1124,-0.04%,开放申购,开放赎回,
2022-03-23,1.0712,1.1128,-0.11%,开放申购,开放赎回,
2022-03-22,1.0724,1.114,0.69%,开放申购,开放赎回,
2022-03-21,1.065,1.1066,-0.36%,开放申购,开放赎回,
2022-03-18,1.0688,1.1104,1.50%,开放申购,开放赎回,
2022-03-17,1.053,1.0946,2.81%,开放申购,开放赎回,
2022-03-16,1.0242,1.0658,2.39%,开放申购,开放赎回,
2022-03-15,1.0003,1.0419,-4.68%,开放申购,开放赎回,
2022-03-14,1.0494,1.091,-1.70%,开放申购,开放赎回,
2022-03-11,1.0676,1.1092,0.15%,开放申购,开放赎回,
2022-03-10,1.066,1.1076,1.54%,开放申购,开放赎回,
2022-03-09,1.0498,1.0914,-0.84%,开放申购,开放赎回,
2022-03-08,1.0587,1.1003,-2.21%,开放申购,开放赎回,
2022-03-07,1.0826,1.1242,-1.35%,开放申购,开放赎回,
2022-03-04,1.0974,1.139,-0.68%,开放申购,开放赎回,
2022-03-03,1.1049,1.1465,1.20%,开放申购,开放赎回,
2021-12-28,1.094,1.1149,-0.01%,开放申购,开放赎回,
2021-12-27,1.0941,1.115,0.16%,暂停申购,暂停赎回,
2021-12-24,1.0924,1.1133,-0.15%,暂停申购,暂停赎回,
2021-12-23,1.094,1.1149,0.25%,开放申购,开放赎回,
2021-12-22,1.0913,1.1122,0.09%,开放申购,开放赎回,
2021-12-21,1.0903,1.1112,1.08%,开放申购,开放赎回,
2021-12-20,1.0787,1.0996,-0.14%,开放申购,开放赎回,
2021-12-17,1.0802,1.1011,0.02%,开放申购,开放赎回,
2021-12-16,1.08,1.1009,0.45%,开放申购,开放赎回,
2021-12-15,1.0752,1.0961,0.26%,开放申购,开放赎回,
2021-12-14,1.0724,1.0933,-0.53%,开放申购,开放赎回,
2021-12-13,1.0781,1.099,0.31%,开放申购,开放赎回,
2021-12-10,1.0748,1.0957,-0.96%,开放申购,开放赎回,
2021-12-09,1.0852,1.1061,0.34%,开放申购,开放赎回,
2021-12-08,1.0815,1.1024,0.56%,开放申购,开放赎回,
2021-12-07,1.0755,1.0964,0.20%,开放申购,开放赎回,
2021-12-06,1.0734,1.0943,-1.13%,开放申购,开放赎回,
2021-12-03,1.0857,1.1066,1.60%,开放申购,开放赎回,
2021-12-02,1.0686,1.0895,0.27%,开放申购,开放赎回,
2021-12-01,1.0657,1.0866,0.93%,开放申购,开放赎回,
2021-11-30,1.0559,1.0768,0.09%,开放申购,开放赎回,
2021-11-29,1.0549,1.0758,-0.35%,开放申购,开放赎回,
2021-11-26,1.0586,1.0795,-0.34%,开放申购,开放赎回,
2021-11-25,1.0622,1.0831,0.13%,开放申购,开放赎回,
2021-11-24,1.0608,1.0817,0.26%,开放申购,开放赎回,
2021-11-23,1.058,1.0789,0.49%,开放申购,开放赎回,
2021-11-22,1.0528,1.0737,0.74%,开放申购,开放赎回,
2021-11-19,1.0451,1.066,1.15%,开放申购,开放赎回,
2021-11-18,1.0332,1.0541,-0.26%,开放申购,开放赎回,
2021-11-17,1.0359,1.0568,0.60%,开放申购,开放赎回,
2021-11-16,1.0297,1.0506,-0.30%,开放申购,开放赎回,
2021-11-15,1.0328,1.0537,0.13%,开放申购,开放赎回,
2021-11-12,1.0315,1.0524,-0.21%,开放申购,开放赎回,
2021-11-11,1.0337,1.0546,0.88%,开放申购,开放赎回,
2021-11-10,1.0247,1.0456,-0.14%,开放申购,开放赎回,
2021-11-09,1.0261,1.047,0.39%,开放申购,开放赎回,
2021-11-08,1.0221,1.043,0.07%,开放申购,开放赎回,
2021-11-05,1.0214,1.0423,-1.56%,开放申购,开放赎回,
2021-11-04,1.0376,1.0585,0.68%,开放申购,开放赎回,
2021-11-03,1.0306,1.0515,0.44%,开放申购,开放赎回,
2021-09-28,1.1037,1.1138,1.11%,开放申购,开放赎回,
2021-09-27,1.0916,1.1017,-3.05%,开放申购,开放赎回,
2021-09-24,1.1259,1.136,-2.33%,开放申购,开放赎回,
2021-09-23,1.1528,1.1629,1.43%,开放申购,开放赎回,
2021-09-22,1.1365,1.1466,0.94%,暂停申购,暂停赎回,
2021-09-17,1.1259,1.136,-0.13%,暂停申购,暂停赎回,
2021-09-16,1.1274,1.1375,-1.24%,暂停申购,暂停赎回,
2021-09-15,1.1415,1.1516,0.24%,暂停申购,暂停赎回,
2021-09-14,1.1388,1.1489,-2.37%,暂停申购,暂停赎回,
2021-09-13,1.1665,1.1766,0.95%,暂停申购,暂停赎回,
2021-09-10,1.1555,1.1656,-0.30%,暂停申购,暂停赎回,
2021-09-09,1.159,1.1691,1.26%,暂停申购,暂停赎回,
2021-09-08,1.1446,1.1547,1.27%,暂停申购,暂停赎回,
2021-09-07,1.1302,1.1403,1.42%,暂停申购,暂停赎回,
2021-09-06,1.1144,1.1245,1.10%,暂停申购,暂停赎回,
2021-09-03,1.1023,1.1124,0.00%,暂停申购,暂停赎回,
2021-09-02,1.1023,1.1124,1.86%,暂停申购,暂停赎回,
2021-09-01,1.0822,1.0923,0.54%,暂停申购,暂停赎回,
2021-08-31,1.0764,1.0865,1.38%,暂停申购,暂停赎回,
2021-08-30,1.0618,1.0719,0.19%,暂停申购,暂停赎回,
2021-08-27,1.0598,1.0699,0.84%,暂停申购,暂停赎回,
2021-08-26,1.051,1.0611,0.01%,暂停申购,暂停赎回,
2021-08-25,1.0509,1.061,0.60%,暂停申购,暂停赎回,
2021-08-24,1.0446,1.0547,0.87%,暂停申购,暂停赎回,
2021-08-23,1.0356,1.0457,1.17%,暂停申购,暂停赎回,
2021-08-20,1.0236,1.0337,-0.41%,暂停申购,暂停赎回,
2021-08-19,1.0278,1.0379,-1.03%,暂停申购,暂停赎回,
2021-08-18,1.0385,1.0486,1.61%,暂停申购,暂停赎回,
2021-08-17,1.022,1.0321,-1.47%,暂停申购,暂停赎回,
2021-08-16,1.0373,1.0474,0.71%,暂停申购,暂停赎回,
2021-08-13,1.03,1.0401,0.48%,暂停申购,暂停赎回,
2021-08-12,1.0251,1.0352,-0.39%,暂停申购,暂停赎回,
2021-08-11,1.0291,1.0392,0.27%,暂停申购,暂停赎回,
2021-08-10,1.0263,1.0364,0.82%,暂停申购,暂停赎回,
2021-08-09,1.018,1.0281,1.48%,暂停申购,暂停赎回,
2021-08-06,1.0032,1.0133,0.01%,暂停申购,暂停赎回,
2021-08-05,1.0031,1.0132,-0.37%,暂停申购,暂停赎回,
2021-08-04,1.0068,1.0169,0.08%,暂停申购,暂停赎回,
2021-08-03,1.006,1.0161,0.50%,暂停申购,暂停赎回,
2021-08-02,1.001,1.0111,2.03%,暂停申购,暂停赎回,
2021-07-02,1.0169,1.0219,-0.57%,暂停申购,暂停赎回,
2021-07-01,1.0227,1.0277,-0.25%,暂停申购,暂停赎回,
2021-06-30,1.0253,1.0303,0.12%,暂停申购,暂停赎回,
2021-06-29,1.0241,1.0291,-0.98%,暂停申购,暂停赎回,
2021-06-28,1.0342,1.0392,-0.06%,暂停申购,暂停赎回,
2021-06-25,1.0348,1.0398,-0.06%,暂停申购,暂停赎回,
2021-06-24,1.0354,1.0404,0.37%,暂停申购,暂停赎回,
2021-06-23,1.0316,1.0366,0.14%,暂停申购,暂停赎回,
2021-06-22,1.0302,1.0352,0.79%,暂停申购,暂停赎回,
2021-06-21,1.0221,1.0271,0.67%,暂停申购,暂停赎回,
2021-06-18,1.0153,1.0203,0.28%,暂停申购,暂停赎回,
2021-06-17,1.0125,1.0175,-0.09%,暂停申购,暂停赎回,
2021-06-16,1.0134,1.0184,-0.56%,暂停申购,暂停赎回,
2021-06-15,1.0191,1.0241,-0.98%,暂停申购,暂停赎回,
2021-06-11,1.0292,1.0342,-0.59%,暂停申购,暂停赎回,
2021-06-10,1.0353,1.0403,0.06%,暂停申购,暂停赎回,
2021-06-09,1.0347,1.0397,0.33%,暂停申购,暂停赎回,
2021-06-08,1.0313,1.0363,-0.59%,暂停申购,暂停赎回,
2021-06-07,1.0374,1.0424,-0.24%,暂停申购,暂停赎回,
2021-06-04,1.0399,1.0449,0.08%,暂停申购,暂停赎回,
2021-06-03,1.0391,1.0441,0.26%,暂停申购,暂停赎回,
2021-06-02,1.0364,1.0414,0.06%,暂停申购,暂停赎回,
2021-06-01,1.0358,1.0408,0.28%,暂停申购,暂停赎回,
2021-05-31,1.0329,1.0379,0.20%,暂停申购,暂停赎回,
2021-05-28,1.0308,1.0358,-0.14%,暂停申购,暂停赎回,
2021-05-27,1.0322,1.0372,0.35%,暂停申购,暂停赎回,
2021-05-26,1.0286,1.0336,0.52%,暂停申购,暂停赎回,
2021-05-25,1.0233,1.0283,0.56%,暂停申购,暂停赎回,
2021-05-24,1.0176,1.0226,0.03%,暂停申购,暂停赎回,
2021-05-21,1.0173,1.0223,-0.03%,暂停申购,暂停赎回,
2021-05-20,1.0176,1.0226,-0.50%,暂停申购,暂停赎回,
2021-05-19,1.0227,1.0277,-0.60%,暂停申购,暂停赎回,
2021-05-18,1.0289,1.0339,0.35%,开放申购,开放赎回,
2021-05-17,1.0253,1.0303,-0.18%,开放申购,开放赎回,
2021-05-14,1.0271,1.0321,0.91%,开放申购,开放赎回,
2021-05-13,1.0178,1.0228,-0.94%,开放申购,开放赎回,
2021-05-12,1.0275,1.0325,0.28%,开放申购,开放赎回,
2021-05-11,1.0246,1.0296,-0.30%,开放申购,开放赎回,
2021-05-10,1.0277,1.0327,0.43%,开放申购,开放赎回,
2021-05-07,1.0233,1.0283,0.48%,开放申购,开放赎回,
2021-04-02,1.0241,1.0291,-0.49%,暂停申购,暂停赎回,
2021-04-01,1.0291,1.0341,0.12%,开放申购,开放赎回,
2021-03-31,1.0279,1.0329,0.46%,开放申购,开放赎回,
2021-03-30,1.0232,1.0282,-0.30%,开放申购,开放赎回,
2021-03-29,1.0263,1.0313,0.82%,开放申购,开放赎回,
