FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.0783,1.1371,,,1,1.71,暂停申购,暂停赎回,,,,
2022-04-28,1.0602,1.1190,,,1,2.03,暂停申购,暂停赎回,,,,
2022-04-27,1.0391,1.0979,,,1,0.82,开放申购,开放赎回,,,,
2022-04-26,1.0306,1.0894,,,1,-0.06,开放申购,开放赎回,,,,
2022-04-25,1.0312,1.0900,,,1,-2.96,开放申购,开放赎回,,,,
2022-04-22,1.0626,1.1214,,,1,1.13,开放申购,开放赎回,,,,
2022-04-21,1.0507,1.1095,,,1,-1.39,开放申购,开放赎回,,,,
2022-04-20,1.0655,1.1243,,,1,-1.53,开放申购,开放赎回,,,,
2022-04-19,1.0821,1.1409,,,1,0.15,开放申购,开放赎回,,,,
2022-04-18,1.0805,1.1393,,,1,-0.70,暂停申购,暂停赎回,,,,
2022-04-15,1.0881,1.1469,,,1,-0.02,暂停申购,暂停赎回,,,,
2022-04-14,1.0883,1.1471,,,1,0.78,开放申购,开放赎回,,,,
2022-04-13,1.0799,1.1387,,,1,-0.63,开放申购,开放赎回,,,,
2022-04-12,1.0868,1.1456,,,1,0.19,开放申购,开放赎回,,,,
2022-04-11,1.0847,1.1435,,,1,-1.51,限制大额申购,开放赎回,0.0172,0,,每份派现金0.0172元
2022-04-08,1.1188,1.1604,,,1,1.01,限制大额申购,开放赎回,,,,
2022-04-07,1.1076,1.1492,,,1,-1.68,开放申购,开放赎回,,,,
2022-04-06,1.1265,1.1681,,,1,1.74,开放申购,开放赎回,,,,
2022-04-01,1.1072,1.1488,,,1,1.32,暂停申购,暂停赎回,,,,
2022-03-31,1.0928,1.1344,,,1,0.35,暂停申购,暂停赎回,,,,
2022-03-30,1.0890,1.1306,,,1,1.50,开放申购,开放赎回,,,,
2022-03-29,1.0729,1.1145,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-28,1.0738,1.1154,,,1,0.48,开放申购,开放赎回,,,,
2022-03-25,1.0687,1.1103,,,1,-0.20,开放申购,开放赎回,,,,
2022-03-24,1.0708,1.1124,,,1,-0.04,开放申购,开放赎回,,,,
2022-03-23,1.0712,1.1128,,,1,-0.11,开放申购,开放赎回,,,,
2022-03-22,1.0724,1.1140,,,1,0.69,开放申购,开放赎回,,,,
2022-03-21,1.0650,1.1066,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-18,1.0688,1.1104,,,1,1.50,开放申购,开放赎回,,,,
2022-03-17,1.0530,1.0946,,,1,2.81,开放申购,开放赎回,,,,
2022-03-16,1.0242,1.0658,,,1,2.39,开放申购,开放赎回,,,,
2022-03-15,1.0003,1.0419,,,1,-4.68,开放申购,开放赎回,,,,
2022-03-14,1.0494,1.0910,,,1,-1.70,开放申购,开放赎回,,,,
2022-03-11,1.0676,1.1092,,,1,0.15,开放申购,开放赎回,,,,
2022-03-10,1.0660,1.1076,,,1,1.54,开放申购,开放赎回,,,,
2022-03-09,1.0498,1.0914,,,1,-0.84,开放申购,开放赎回,,,,
2022-03-08,1.0587,1.1003,,,1,-2.21,开放申购,开放赎回,,,,
2022-03-07,1.0826,1.1242,,,1,-1.35,开放申购,开放赎回,,,,
2022-03-04,1.0974,1.1390,,,1,-0.68,开放申购,开放赎回,,,,
2022-03-03,1.1049,1.1465,,,1,1.20,开放申购,开放赎回,,,,
2022-03-02,1.0918,1.1334,,,1,-0.16,开放申购,开放赎回,,,,
2022-03-01,1.0936,1.1352,,,1,0.45,开放申购,开放赎回,,,,
2022-02-28,1.0887,1.1303,,,1,0.03,开放申购,开放赎回,,,,
2022-02-25,1.0884,1.1300,,,1,-0.18,开放申购,开放赎回,,,,
2022-02-24,1.0904,1.1320,,,1,-2.27,开放申购,开放赎回,,,,
2022-02-23,1.1157,1.1573,,,1,-0.29,开放申购,开放赎回,,,,
2022-02-22,1.1190,1.1606,,,1,-1.00,开放申购,开放赎回,,,,
2022-02-21,1.1303,1.1719,,,1,0.25,开放申购,开放赎回,,,,
2022-02-18,1.1275,1.1691,,,1,1.26,开放申购,开放赎回,,,,
2022-02-17,1.1135,1.1551,,,1,-0.62,开放申购,开放赎回,,,,
2022-02-16,1.1205,1.1621,,,1,1.05,开放申购,开放赎回,,,,
2022-02-15,1.1089,1.1505,,,1,-0.98,开放申购,开放赎回,,,,
2022-02-14,1.1199,1.1615,,,1,-1.20,开放申购,开放赎回,,,,
2022-02-11,1.1335,1.1751,,,1,-1.31,开放申购,开放赎回,,,,
2022-02-10,1.1486,1.1902,,,1,0.65,开放申购,开放赎回,,,,
2022-02-09,1.1412,1.1828,,,1,0.59,开放申购,开放赎回,,,,
2022-02-08,1.1345,1.1761,,,1,1.32,开放申购,开放赎回,,,,
2022-02-07,1.1197,1.1613,,,1,2.72,开放申购,开放赎回,,,,
2022-01-28,1.0901,1.1317,,,1,-0.03,暂停申购,暂停赎回,,,,
2022-01-27,1.0904,1.1320,,,1,-0.85,暂停申购,暂停赎回,,,,
2022-01-26,1.0998,1.1414,,,1,0.30,开放申购,开放赎回,,,,
2022-01-25,1.0965,1.1381,,,1,-2.15,开放申购,开放赎回,,,,
2022-01-24,1.1206,1.1622,,,1,-0.02,开放申购,开放赎回,,,,
2022-01-21,1.1208,1.1624,,,1,-0.56,开放申购,开放赎回,,,,
2022-01-20,1.1271,1.1687,,,1,-0.18,开放申购,开放赎回,,,,
2022-01-19,1.1291,1.1707,,,1,0.79,开放申购,开放赎回,,,,
2022-01-18,1.1203,1.1619,,,1,0.18,开放申购,开放赎回,,,,
2022-01-17,1.1183,1.1599,,,1,-0.04,开放申购,开放赎回,,,,
2022-01-14,1.1187,1.1603,,,1,-0.70,开放申购,开放赎回,,,,
2022-01-13,1.1266,1.1682,,,1,-0.07,开放申购,开放赎回,,,,
2022-01-12,1.1274,1.1690,,,1,-0.04,开放申购,开放赎回,,,,
2022-01-11,1.1278,1.1694,,,1,0.53,开放申购,开放赎回,,,,
2022-01-10,1.1219,1.1635,,,1,0.79,限制大额申购,开放赎回,0.0207,0,,每份派现金0.0207元
2022-01-07,1.1336,1.1545,,,1,0.80,限制大额申购,开放赎回,,,,
2022-01-06,1.1246,1.1455,,,1,0.37,开放申购,开放赎回,,,,
2022-01-05,1.1204,1.1413,,,1,-0.13,开放申购,开放赎回,,,,
2022-01-04,1.1219,1.1428,,,1,1.68,开放申购,开放赎回,,,,
2021-12-31,1.1034,1.1243,,,1,0.80,暂停申购,暂停赎回,,,,
2021-12-30,1.0946,1.1155,,,1,0.19,暂停申购,暂停赎回,,,,
2021-12-29,1.0925,1.1134,,,1,-0.14,暂停申购,暂停赎回,,,,
2021-12-28,1.0940,1.1149,,,1,-0.01,开放申购,开放赎回,,,,
2021-12-27,1.0941,1.1150,,,1,0.16,暂停申购,暂停赎回,,,,
2021-12-24,1.0924,1.1133,,,1,-0.15,暂停申购,暂停赎回,,,,
2021-12-23,1.0940,1.1149,,,1,0.25,开放申购,开放赎回,,,,
2021-12-22,1.0913,1.1122,,,1,0.09,开放申购,开放赎回,,,,
2021-12-21,1.0903,1.1112,,,1,1.08,开放申购,开放赎回,,,,
2021-12-20,1.0787,1.0996,,,1,-0.14,开放申购,开放赎回,,,,
2021-12-17,1.0802,1.1011,,,1,0.02,开放申购,开放赎回,,,,
2021-12-16,1.0800,1.1009,,,1,0.45,开放申购,开放赎回,,,,
2021-12-15,1.0752,1.0961,,,1,0.26,开放申购,开放赎回,,,,
2021-12-14,1.0724,1.0933,,,1,-0.53,开放申购,开放赎回,,,,
2021-12-13,1.0781,1.0990,,,1,0.31,开放申购,开放赎回,,,,
2021-12-10,1.0748,1.0957,,,1,-0.96,开放申购,开放赎回,,,,
2021-12-09,1.0852,1.1061,,,1,0.34,开放申购,开放赎回,,,,
2021-12-08,1.0815,1.1024,,,1,0.56,开放申购,开放赎回,,,,
2021-12-07,1.0755,1.0964,,,1,0.20,开放申购,开放赎回,,,,
2021-12-06,1.0734,1.0943,,,1,-1.13,开放申购,开放赎回,,,,
2021-12-03,1.0857,1.1066,,,1,1.60,开放申购,开放赎回,,,,
2021-12-02,1.0686,1.0895,,,1,0.27,开放申购,开放赎回,,,,
2021-12-01,1.0657,1.0866,,,1,0.93,开放申购,开放赎回,,,,
2021-11-30,1.0559,1.0768,,,1,0.09,开放申购,开放赎回,,,,
2021-11-29,1.0549,1.0758,,,1,-0.35,开放申购,开放赎回,,,,
2021-11-26,1.0586,1.0795,,,1,-0.34,开放申购,开放赎回,,,,
2021-11-25,1.0622,1.0831,,,1,0.13,开放申购,开放赎回,,,,
2021-11-24,1.0608,1.0817,,,1,0.26,开放申购,开放赎回,,,,
2021-11-23,1.0580,1.0789,,,1,0.49,开放申购,开放赎回,,,,
2021-11-22,1.0528,1.0737,,,1,0.74,开放申购,开放赎回,,,,
2021-11-19,1.0451,1.0660,,,1,1.15,开放申购,开放赎回,,,,
2021-11-18,1.0332,1.0541,,,1,-0.26,开放申购,开放赎回,,,,
2021-11-17,1.0359,1.0568,,,1,0.60,开放申购,开放赎回,,,,
2021-11-16,1.0297,1.0506,,,1,-0.30,开放申购,开放赎回,,,,
2021-11-15,1.0328,1.0537,,,1,0.13,开放申购,开放赎回,,,,
2021-11-12,1.0315,1.0524,,,1,-0.21,开放申购,开放赎回,,,,
2021-11-11,1.0337,1.0546,,,1,0.88,开放申购,开放赎回,,,,
2021-11-10,1.0247,1.0456,,,1,-0.14,开放申购,开放赎回,,,,
2021-11-09,1.0261,1.0470,,,1,0.39,开放申购,开放赎回,,,,
2021-11-08,1.0221,1.0430,,,1,0.07,开放申购,开放赎回,,,,
2021-11-05,1.0214,1.0423,,,1,-1.56,开放申购,开放赎回,,,,
2021-11-04,1.0376,1.0585,,,1,0.68,开放申购,开放赎回,,,,
2021-11-03,1.0306,1.0515,,,1,0.44,开放申购,开放赎回,,,,
2021-11-02,1.0261,1.0470,,,1,-1.77,开放申购,开放赎回,,,,
2021-11-01,1.0446,1.0655,,,1,0.93,开放申购,开放赎回,,,,
2021-10-29,1.0350,1.0559,,,1,0.98,开放申购,开放赎回,,,,
2021-10-28,1.0250,1.0459,,,1,-0.95,开放申购,开放赎回,,,,
2021-10-27,1.0348,1.0557,,,1,-0.83,开放申购,开放赎回,,,,
2021-10-26,1.0435,1.0644,,,1,-0.29,开放申购,开放赎回,,,,
2021-10-25,1.0465,1.0674,,,1,1.00,开放申购,开放赎回,,,,
2021-10-22,1.0361,1.0570,,,1,-1.04,开放申购,开放赎回,,,,
2021-10-21,1.0470,1.0679,,,1,0.18,开放申购,开放赎回,,,,
2021-10-20,1.0451,1.0660,,,1,-0.11,开放申购,开放赎回,,,,
2021-10-19,1.0463,1.0672,,,1,0.76,开放申购,开放赎回,,,,
2021-10-18,1.0384,1.0593,,,1,0.73,开放申购,开放赎回,,,,
2021-10-15,1.0309,1.0518,,,1,-0.46,开放申购,开放赎回,,,,
2021-10-14,1.0357,1.0566,,,1,0.23,暂停申购,暂停赎回,,,,
2021-10-13,1.0333,1.0542,,,1,-0.64,暂停申购,暂停赎回,0.0108,0,,每份派现金0.0108元
2021-10-12,1.0508,1.0609,,,1,-2.13,限制大额申购,开放赎回,,,,
2021-10-11,1.0737,1.0838,,,1,-1.26,开放申购,开放赎回,,,,
2021-10-08,1.0874,1.0975,,,1,0.24,开放申购,开放赎回,,,,
2021-09-30,1.0848,1.0949,,,1,0.85,暂停申购,暂停赎回,,,,
2021-09-29,1.0757,1.0858,,,1,-2.54,暂停申购,暂停赎回,,,,
