FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8983,0.8983,,,1,0.56,暂停申购,暂停赎回,,,,
2022-04-28,0.8933,0.8933,,,1,2.35,暂停申购,暂停赎回,,,,
2022-04-27,0.8728,0.8728,,,1,-0.83,开放申购,开放赎回,,,,
2022-04-26,0.8801,0.8801,,,1,-1.13,开放申购,开放赎回,,,,
2022-04-25,0.8902,0.8902,,,1,-2.60,开放申购,开放赎回,,,,
2022-04-22,0.9140,0.9140,,,1,0.56,开放申购,开放赎回,,,,
2022-04-21,0.9089,0.9089,,,1,0.69,开放申购,开放赎回,,,,
2022-04-20,0.9027,0.9027,,,1,-0.08,开放申购,开放赎回,,,,
2022-04-19,0.9034,0.9034,,,1,-1.64,开放申购,开放赎回,,,,
2022-04-18,0.9185,0.9185,,,1,-0.21,暂停申购,暂停赎回,,,,
2022-04-15,0.9204,0.9204,,,1,0.47,暂停申购,暂停赎回,,,,
2022-04-14,0.9161,0.9161,,,1,-0.23,开放申购,开放赎回,,,,
2022-04-13,0.9182,0.9182,,,1,0.04,开放申购,开放赎回,,,,
2022-04-12,0.9178,0.9178,,,1,-0.26,开放申购,开放赎回,,,,
2022-04-11,0.9202,0.9202,,,1,-0.74,开放申购,开放赎回,,,,
2022-04-08,0.9271,0.9271,,,1,0.22,开放申购,开放赎回,,,,
2022-04-07,0.9251,0.9251,,,1,-0.53,开放申购,开放赎回,,,,
2022-04-06,0.9300,0.9300,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-01,0.9301,0.9301,,,1,0.53,暂停申购,暂停赎回,,,,
2022-03-31,0.9252,0.9252,,,1,0.63,暂停申购,暂停赎回,,,,
2022-03-30,0.9194,0.9194,,,1,1.19,开放申购,开放赎回,,,,
2022-03-29,0.9086,0.9086,,,1,-0.02,开放申购,开放赎回,,,,
2022-03-28,0.9088,0.9088,,,1,0.35,开放申购,开放赎回,,,,
2022-03-25,0.9056,0.9056,,,1,0.38,开放申购,开放赎回,,,,
2022-03-24,0.9022,0.9022,,,1,0.23,开放申购,开放赎回,,,,
2022-03-23,0.9001,0.9001,,,1,0.21,开放申购,开放赎回,,,,
2022-03-22,0.8982,0.8982,,,1,1.15,开放申购,开放赎回,,,,
2022-03-21,0.8880,0.8880,,,1,-0.65,开放申购,开放赎回,,,,
2022-03-18,0.8938,0.8938,,,1,0.62,开放申购,开放赎回,,,,
2022-03-17,0.8883,0.8883,,,1,3.98,开放申购,开放赎回,,,,
2022-03-16,0.8543,0.8543,,,1,0.91,开放申购,开放赎回,,,,
2022-03-15,0.8466,0.8466,,,1,-2.72,开放申购,开放赎回,,,,
2022-03-14,0.8703,0.8703,,,1,-0.16,开放申购,开放赎回,,,,
2022-03-11,0.8717,0.8717,,,1,-0.10,开放申购,开放赎回,,,,
2022-03-10,0.8726,0.8726,,,1,1.65,开放申购,开放赎回,,,,
2022-03-09,0.8584,0.8584,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-08,0.8615,0.8615,,,1,-1.08,开放申购,开放赎回,,,,
2022-03-07,0.8709,0.8709,,,1,-2.91,开放申购,开放赎回,,,,
2022-03-04,0.8970,0.8970,,,1,-0.65,开放申购,开放赎回,,,,
2022-03-03,0.9029,0.9029,,,1,0.95,开放申购,开放赎回,,,,
2022-03-02,0.8944,0.8944,,,1,-1.57,开放申购,开放赎回,,,,
2022-03-01,0.9087,0.9087,,,1,-0.55,开放申购,开放赎回,,,,
2022-02-28,0.9137,0.9137,,,1,0.41,开放申购,开放赎回,,,,
2022-02-25,0.9100,0.9100,,,1,-1.47,开放申购,开放赎回,,,,
2022-02-24,0.9236,0.9236,,,1,-2.38,开放申购,开放赎回,,,,
2022-02-23,0.9461,0.9461,,,1,0.00,开放申购,开放赎回,,,,
2022-02-22,0.9461,0.9461,,,1,-2.35,开放申购,开放赎回,,,,
2022-02-21,0.9689,0.9689,,,1,0.68,开放申购,开放赎回,,,,
2022-02-18,0.9624,0.9624,,,1,0.06,开放申购,开放赎回,,,,
2022-02-17,0.9618,0.9618,,,1,-0.26,开放申购,开放赎回,,,,
2022-02-16,0.9643,0.9643,,,1,1.24,开放申购,开放赎回,,,,
2022-02-15,0.9525,0.9525,,,1,-2.52,开放申购,开放赎回,,,,
2022-02-14,0.9771,0.9771,,,1,-0.92,开放申购,开放赎回,,,,
2022-02-11,0.9862,0.9862,,,1,0.92,开放申购,开放赎回,,,,
2022-02-10,0.9772,0.9772,,,1,-0.01,开放申购,开放赎回,,,,
2022-02-09,0.9773,0.9773,,,1,0.75,开放申购,开放赎回,,,,
2022-02-08,0.9700,0.9700,,,1,0.41,开放申购,开放赎回,,,,
2022-02-07,0.9660,0.9660,,,1,3.18,开放申购,开放赎回,,,,
2022-01-28,0.9362,0.9362,,,1,0.07,暂停申购,暂停赎回,,,,
2022-01-27,0.9355,0.9355,,,1,0.34,暂停申购,暂停赎回,,,,
