净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.2663,1.2663,1.46%,开放申购,开放赎回,
2022-03-29,1.2481,1.2481,-0.21%,开放申购,开放赎回,
2022-03-28,1.2507,1.2507,0.84%,开放申购,开放赎回,
2022-03-25,1.2403,1.2403,-1.39%,开放申购,开放赎回,
2022-03-24,1.2578,1.2578,0.05%,开放申购,开放赎回,
2022-03-23,1.2572,1.2572,-0.78%,开放申购,开放赎回,
2022-03-22,1.2671,1.2671,3.91%,开放申购,开放赎回,
2022-03-21,1.2194,1.2194,-1.79%,开放申购,开放赎回,
2022-03-18,1.2416,1.2416,0.89%,开放申购,开放赎回,
2022-03-17,1.2307,1.2307,11.63%,开放申购,开放赎回,
2022-03-16,1.1025,1.1025,8.22%,开放申购,开放赎回,
2022-03-15,1.0188,1.0188,-9.78%,开放申购,开放赎回,
2022-03-14,1.1293,1.1293,-7.30%,开放申购,开放赎回,
2022-03-11,1.2182,1.2182,-1.80%,开放申购,开放赎回,
2022-03-10,1.2405,1.2405,0.27%,开放申购,开放赎回,
2022-03-09,1.2371,1.2371,-0.46%,开放申购,开放赎回,
2022-03-08,1.2428,1.2428,-5.94%,开放申购,开放赎回,
2022-03-07,1.3213,1.3213,-0.13%,开放申购,开放赎回,
2022-03-04,1.323,1.323,-0.96%,开放申购,开放赎回,
2022-03-03,1.3358,1.3358,2.63%,开放申购,开放赎回,
2021-12-28,1.2044,1.2044,0.74%,开放申购,开放赎回,
2021-12-27,1.1956,1.1956,-0.03%,暂停申购,暂停赎回,
2021-12-24,1.1959,1.1959,-0.63%,暂停申购,暂停赎回,
2021-12-23,1.2035,1.2035,1.85%,开放申购,开放赎回,
2021-12-22,1.1816,1.1816,-0.40%,开放申购,开放赎回,
2021-12-21,1.1863,1.1863,1.03%,开放申购,开放赎回,
2021-12-20,1.1742,1.1742,-3.16%,开放申购,开放赎回,
2021-12-17,1.2125,1.2125,-0.07%,开放申购,开放赎回,
2021-12-16,1.2133,1.2133,3.45%,开放申购,开放赎回,
2021-12-15,1.1728,1.1728,0.51%,开放申购,开放赎回,
2021-12-14,1.1668,1.1668,-2.02%,开放申购,开放赎回,
2021-12-13,1.1909,1.1909,0.66%,开放申购,开放赎回,
2021-12-10,1.1831,1.1831,-1.09%,开放申购,开放赎回,
2021-12-09,1.1961,1.1961,2.05%,开放申购,开放赎回,
2021-12-08,1.1721,1.1721,1.56%,开放申购,开放赎回,
2021-12-07,1.1541,1.1541,1.66%,开放申购,开放赎回,
2021-12-06,1.1352,1.1352,-0.69%,开放申购,开放赎回,
2021-12-03,1.1431,1.1431,3.12%,开放申购,开放赎回,
2021-12-02,1.1085,1.1085,-0.28%,开放申购,开放赎回,
2021-12-01,1.1116,1.1116,2.32%,开放申购,开放赎回,
2021-11-30,1.0864,1.0864,-0.76%,开放申购,开放赎回,
2021-11-29,1.0947,1.0947,1.27%,开放申购,开放赎回,
2021-11-26,1.081,1.081,-2.30%,开放申购,开放赎回,
2021-11-25,1.1065,1.1065,0.28%,开放申购,开放赎回,
2021-11-24,1.1034,1.1034,1.57%,开放申购,开放赎回,
2021-11-23,1.0863,1.0863,0.41%,开放申购,开放赎回,
2021-11-22,1.0819,1.0819,-0.58%,开放申购,开放赎回,
2021-11-19,1.0882,1.0882,0.05%,开放申购,开放赎回,
2021-11-18,1.0877,1.0877,-0.87%,开放申购,开放赎回,
2021-11-17,1.0973,1.0973,-0.08%,开放申购,开放赎回,
2021-11-16,1.0982,1.0982,0.29%,开放申购,开放赎回,
2021-11-15,1.095,1.095,-1.61%,开放申购,开放赎回,
2021-11-12,1.1129,1.1129,-1.07%,开放申购,开放赎回,
2021-11-11,1.1249,1.1249,1.21%,开放申购,开放赎回,
2021-11-10,1.1114,1.1114,-0.67%,开放申购,开放赎回,
2021-11-09,1.1189,1.1189,0.21%,开放申购,开放赎回,
2021-11-08,1.1166,1.1166,0.83%,开放申购,开放赎回,
2021-11-05,1.1074,1.1074,-2.59%,开放申购,开放赎回,
2021-11-04,1.1369,1.1369,-0.11%,开放申购,开放赎回,
2021-11-03,1.1382,1.1382,0.50%,开放申购,开放赎回,
2021-09-28,1.2454,1.2454,4.00%,开放申购,开放赎回,
2021-09-27,1.1975,1.1975,-2.21%,开放申购,开放赎回,
2021-09-24,1.2246,1.2246,-1.15%,开放申购,开放赎回,
2021-09-23,1.2388,1.2388,4.26%,开放申购,开放赎回,
2021-09-22,1.1882,1.1882,-1.37%,暂停申购,暂停赎回,
2021-09-17,1.2047,1.2047,0.10%,暂停申购,暂停赎回,
2021-09-16,1.2035,1.2035,-2.16%,暂停申购,暂停赎回,
2021-09-15,1.2301,1.2301,-1.64%,开放申购,开放赎回,
2021-09-14,1.2506,1.2506,-2.16%,开放申购,开放赎回,
2021-09-13,1.2782,1.2782,1.64%,开放申购,开放赎回,
2021-09-10,1.2576,1.2576,-0.06%,开放申购,开放赎回,
2021-09-09,1.2583,1.2583,0.21%,开放申购,开放赎回,
2021-09-08,1.2557,1.2557,0.36%,开放申购,开放赎回,
2021-09-07,1.2512,1.2512,0.14%,开放申购,开放赎回,
2021-09-06,1.2494,1.2494,0.36%,开放申购,开放赎回,
2021-09-03,1.2449,1.2449,2.95%,开放申购,开放赎回,
2021-09-02,1.2092,1.2092,1.99%,开放申购,开放赎回,
2021-09-01,1.1856,1.1856,0.19%,开放申购,开放赎回,
2021-08-31,1.1833,1.1833,0.76%,开放申购,开放赎回,
2021-08-30,1.1744,1.1744,1.26%,开放申购,开放赎回,
2021-08-27,1.1598,1.1598,-0.35%,开放申购,开放赎回,
2021-08-26,1.1639,1.1639,-0.25%,开放申购,开放赎回,
2021-08-25,1.1668,1.1668,2.21%,开放申购,开放赎回,
