FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.2901,1.2901,,,1,2.89,暂停申购,暂停赎回,,,,
2022-04-28,1.2539,1.2539,,,1,2.55,暂停申购,暂停赎回,,,,
2022-04-27,1.2227,1.2227,,,1,1.36,开放申购,开放赎回,,,,
2022-04-26,1.2063,1.2063,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-25,1.2064,1.2064,,,1,-4.62,开放申购,开放赎回,,,,
2022-04-22,1.2649,1.2649,,,1,1.35,开放申购,开放赎回,,,,
2022-04-21,1.2481,1.2481,,,1,-1.89,开放申购,开放赎回,,,,
2022-04-20,1.2721,1.2721,,,1,-3.74,开放申购,开放赎回,,,,
2022-04-19,1.3215,1.3215,,,1,-1.37,开放申购,开放赎回,,,,
2022-04-18,1.3399,1.3399,,,1,-0.21,暂停申购,暂停赎回,,,,
2022-04-15,1.3427,1.3427,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-14,1.3363,1.3363,,,1,1.87,开放申购,开放赎回,,,,
2022-04-13,1.3118,1.3118,,,1,1.94,开放申购,开放赎回,,,,
2022-04-12,1.2868,1.2868,,,1,-0.64,开放申购,开放赎回,,,,
2022-04-11,1.2951,1.2951,,,1,-3.06,开放申购,开放赎回,,,,
2022-04-08,1.3360,1.3360,,,1,2.47,开放申购,开放赎回,,,,
2022-04-07,1.3038,1.3038,,,1,-1.84,开放申购,开放赎回,,,,
2022-04-06,1.3282,1.3282,,,1,4.90,开放申购,开放赎回,,,,
2022-04-01,1.2662,1.2662,,,1,0.89,暂停申购,暂停赎回,,,,
2022-03-31,1.2550,1.2550,,,1,-0.89,暂停申购,暂停赎回,,,,
2022-03-30,1.2663,1.2663,,,1,1.46,开放申购,开放赎回,,,,
2022-03-29,1.2481,1.2481,,,1,-0.21,开放申购,开放赎回,,,,
2022-03-28,1.2507,1.2507,,,1,0.84,开放申购,开放赎回,,,,
2022-03-25,1.2403,1.2403,,,1,-1.39,开放申购,开放赎回,,,,
2022-03-24,1.2578,1.2578,,,1,0.05,开放申购,开放赎回,,,,
2022-03-23,1.2572,1.2572,,,1,-0.78,开放申购,开放赎回,,,,
2022-03-22,1.2671,1.2671,,,1,3.91,开放申购,开放赎回,,,,
2022-03-21,1.2194,1.2194,,,1,-1.79,开放申购,开放赎回,,,,
2022-03-18,1.2416,1.2416,,,1,0.89,开放申购,开放赎回,,,,
