净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.9404,1.9404,1.12%,开放申购,开放赎回,
2022-03-29,1.919,1.919,0.56%,开放申购,开放赎回,
2022-03-28,1.9083,1.9083,1.51%,开放申购,开放赎回,
2022-03-25,1.8799,1.8799,-0.43%,开放申购,开放赎回,
2022-03-24,1.888,1.888,0.12%,开放申购,开放赎回,
2022-03-23,1.8857,1.8857,-0.17%,开放申购,开放赎回,
2022-03-22,1.889,1.889,1.88%,开放申购,开放赎回,
2022-03-21,1.8542,1.8542,-0.11%,开放申购,开放赎回,
2022-03-18,1.8563,1.8563,2.90%,开放申购,开放赎回,
2022-03-17,1.804,1.804,1.67%,开放申购,开放赎回,
2022-03-16,1.7744,1.7744,2.57%,开放申购,开放赎回,
2022-03-15,1.73,1.73,-6.03%,开放申购,开放赎回,
2022-03-14,1.841,1.841,-2.54%,开放申购,开放赎回,
2022-03-11,1.889,1.889,0.21%,开放申购,开放赎回,
2022-03-10,1.8851,1.8851,1.16%,开放申购,开放赎回,
2022-03-09,1.8635,1.8635,-0.47%,开放申购,开放赎回,
2022-03-08,1.8723,1.8723,-3.47%,开放申购,开放赎回,
2022-03-07,1.9396,1.9396,-0.79%,开放申购,开放赎回,
2022-03-04,1.9551,1.9551,-0.64%,开放申购,开放赎回,
2022-03-03,1.9676,1.9676,1.38%,开放申购,开放赎回,
2021-12-28,1.8424,1.8424,-0.82%,开放申购,开放赎回,
2021-12-27,1.8577,1.8577,-0.29%,开放申购,开放赎回,
2021-12-24,1.8631,1.8631,-1.00%,开放申购,开放赎回,
2021-12-23,1.8819,1.8819,1.09%,开放申购,开放赎回,
2021-12-22,1.8616,1.8616,-0.19%,开放申购,开放赎回,
2021-12-21,1.8652,1.8652,1.35%,开放申购,开放赎回,
2021-12-20,1.8404,1.8404,-1.47%,开放申购,开放赎回,
2021-12-17,1.8679,1.8679,-0.35%,开放申购,开放赎回,
2021-12-16,1.8744,1.8744,2.16%,开放申购,开放赎回,
2021-12-15,1.8348,1.8348,1.41%,开放申购,开放赎回,
2021-12-14,1.8092,1.8092,-1.23%,开放申购,开放赎回,
2021-12-13,1.8317,1.8317,0.42%,开放申购,开放赎回,
2021-12-10,1.8241,1.8241,-0.74%,开放申购,开放赎回,
2021-12-09,1.8377,1.8377,0.03%,开放申购,开放赎回,
2021-12-08,1.8371,1.8371,0.32%,开放申购,开放赎回,
2021-12-07,1.8313,1.8313,1.06%,开放申购,开放赎回,
2021-12-06,1.8121,1.8121,-0.49%,开放申购,开放赎回,
2021-12-03,1.8211,1.8211,1.14%,开放申购,开放赎回,
2021-12-02,1.8006,1.8006,0.60%,开放申购,开放赎回,
2021-12-01,1.7898,1.7898,1.31%,开放申购,开放赎回,
2021-11-30,1.7667,1.7667,-0.12%,开放申购,开放赎回,
2021-11-29,1.7688,1.7688,-0.45%,开放申购,开放赎回,
2021-11-26,1.7768,1.7768,-0.41%,开放申购,开放赎回,
2021-11-25,1.7841,1.7841,-0.44%,开放申购,开放赎回,
2021-11-24,1.792,1.792,1.00%,开放申购,开放赎回,
2021-11-23,1.7742,1.7742,0.69%,开放申购,开放赎回,
2021-11-22,1.7621,1.7621,-0.09%,开放申购,开放赎回,
2021-11-19,1.7637,1.7637,2.10%,开放申购,开放赎回,
2021-11-18,1.7274,1.7274,-0.03%,开放申购,开放赎回,
2021-11-17,1.728,1.728,0.17%,开放申购,开放赎回,
2021-11-16,1.7251,1.7251,-1.07%,开放申购,开放赎回,
2021-11-15,1.7437,1.7437,-0.22%,开放申购,开放赎回,
2021-11-12,1.7475,1.7475,-0.36%,开放申购,开放赎回,
2021-11-11,1.7538,1.7538,2.06%,开放申购,开放赎回,
2021-11-10,1.7184,1.7184,-0.30%,开放申购,开放赎回,
2021-11-09,1.7236,1.7236,-0.39%,开放申购,开放赎回,
2021-11-08,1.7304,1.7304,0.30%,开放申购,开放赎回,
2021-11-05,1.7252,1.7252,-2.39%,开放申购,开放赎回,
2021-11-04,1.7675,1.7675,-0.43%,开放申购,开放赎回,
2021-11-03,1.7751,1.7751,1.80%,开放申购,开放赎回,
2021-09-28,1.9795,1.9795,2.39%,开放申购,开放赎回,
2021-09-27,1.9332,1.9332,-3.14%,开放申购,开放赎回,
2021-09-24,1.9958,1.9958,-4.29%,开放申购,开放赎回,
2021-09-23,2.0853,2.0853,0.15%,开放申购,开放赎回,
2021-09-22,2.0822,2.0822,2.68%,开放申购,开放赎回,
2021-09-17,2.0279,2.0279,-1.33%,开放申购,开放赎回,
2021-09-16,2.0552,2.0552,-0.78%,开放申购,开放赎回,
2021-09-15,2.0713,2.0713,-0.26%,开放申购,开放赎回,
2021-09-14,2.0766,2.0766,-2.45%,开放申购,开放赎回,
2021-09-13,2.1288,2.1288,2.56%,开放申购,开放赎回,
2021-09-10,2.0757,2.0757,-1.22%,开放申购,开放赎回,
2021-09-09,2.1014,2.1014,2.98%,开放申购,开放赎回,
2021-09-08,2.0405,2.0405,0.60%,开放申购,开放赎回,
2021-09-07,2.0283,2.0283,2.81%,开放申购,开放赎回,
2021-09-06,1.9729,1.9729,0.95%,开放申购,开放赎回,
2021-09-03,1.9544,1.9544,-0.77%,开放申购,开放赎回,
2021-09-02,1.9695,1.9695,2.12%,开放申购,开放赎回,
2021-09-01,1.9287,1.9287,-0.11%,开放申购,开放赎回,
2021-08-31,1.9308,1.9308,3.15%,开放申购,开放赎回,
2021-08-30,1.8718,1.8718,0.86%,开放申购,开放赎回,
2021-08-27,1.8558,1.8558,0.63%,开放申购,开放赎回,
2021-08-26,1.8442,1.8442,0.92%,开放申购,开放赎回,
