FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.9254,1.9254,,,1,1.35,开放申购,开放赎回,,,,
2022-04-28,1.8998,1.8998,,,1,2.66,开放申购,开放赎回,,,,
2022-04-27,1.8505,1.8505,,,1,2.52,开放申购,开放赎回,,,,
2022-04-26,1.8051,1.8051,,,1,-1.41,开放申购,开放赎回,,,,
2022-04-25,1.8309,1.8309,,,1,-4.61,开放申购,开放赎回,,,,
2022-04-22,1.9193,1.9193,,,1,1.48,开放申购,开放赎回,,,,
2022-04-21,1.8914,1.8914,,,1,-2.06,开放申购,开放赎回,,,,
2022-04-20,1.9311,1.9311,,,1,-2.99,开放申购,开放赎回,,,,
2022-04-19,1.9907,1.9907,,,1,1.35,开放申购,开放赎回,,,,
2022-04-18,1.9642,1.9642,,,1,-1.79,开放申购,开放赎回,,,,
2022-04-15,2.0001,2.0001,,,1,-0.96,开放申购,开放赎回,,,,
2022-04-14,2.0195,2.0195,,,1,1.81,开放申购,开放赎回,,,,
2022-04-13,1.9835,1.9835,,,1,0.50,开放申购,开放赎回,,,,
2022-04-12,1.9737,1.9737,,,1,-0.15,开放申购,开放赎回,,,,
2022-04-11,1.9766,1.9766,,,1,-1.92,开放申购,开放赎回,,,,
2022-04-08,2.0152,2.0152,,,1,1.26,开放申购,开放赎回,,,,
2022-04-07,1.9902,1.9902,,,1,-1.32,开放申购,开放赎回,,,,
2022-04-06,2.0168,2.0168,,,1,1.47,开放申购,开放赎回,,,,
2022-04-01,1.9876,1.9876,,,1,1.58,开放申购,开放赎回,,,,
2022-03-31,1.9566,1.9566,,,1,0.83,开放申购,开放赎回,,,,
2022-03-30,1.9404,1.9404,,,1,1.12,开放申购,开放赎回,,,,
2022-03-29,1.9190,1.9190,,,1,0.56,开放申购,开放赎回,,,,
2022-03-28,1.9083,1.9083,,,1,1.51,开放申购,开放赎回,,,,
2022-03-25,1.8799,1.8799,,,1,-0.43,开放申购,开放赎回,,,,
2022-03-24,1.8880,1.8880,,,1,0.12,开放申购,开放赎回,,,,
2022-03-23,1.8857,1.8857,,,1,-0.17,开放申购,开放赎回,,,,
2022-03-22,1.8890,1.8890,,,1,1.88,开放申购,开放赎回,,,,
2022-03-21,1.8542,1.8542,,,1,-0.11,开放申购,开放赎回,,,,
2022-03-18,1.8563,1.8563,,,1,2.90,开放申购,开放赎回,,,,
2022-03-17,1.8040,1.8040,,,1,1.67,开放申购,开放赎回,,,,
2022-03-16,1.7744,1.7744,,,1,2.57,开放申购,开放赎回,,,,
2022-03-15,1.7300,1.7300,,,1,-6.03,开放申购,开放赎回,,,,
2022-03-14,1.8410,1.8410,,,1,-2.54,开放申购,开放赎回,,,,
