FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9965,1.0465,,,1,0.55,暂停申购,暂停赎回,,,,
2022-04-28,0.9910,1.0410,,,1,2.35,暂停申购,暂停赎回,,,,
2022-04-27,0.9682,1.0182,,,1,-0.83,开放申购,开放赎回,,,,
2022-04-26,0.9763,1.0263,,,1,-1.15,开放申购,开放赎回,,,,
2022-04-25,0.9877,1.0377,,,1,-2.59,开放申购,开放赎回,,,,
2022-04-22,1.0140,1.0640,,,1,0.57,开放申购,开放赎回,,,,
2022-04-21,1.0083,1.0583,,,1,0.64,开放申购,开放赎回,,,,
2022-04-20,1.0019,1.0519,,,1,-0.08,开放申购,开放赎回,,,,
2022-04-19,1.0027,1.0527,,,1,-1.72,开放申购,开放赎回,,,,
2022-04-18,1.0202,1.0702,,,1,-0.22,暂停申购,暂停赎回,,,,
2022-04-15,1.0224,1.0724,,,1,0.49,暂停申购,暂停赎回,,,,
2022-04-14,1.0174,1.0674,,,1,-0.24,开放申购,开放赎回,,,,
2022-04-13,1.0198,1.0698,,,1,0.05,开放申购,开放赎回,,,,
2022-04-12,1.0193,1.0693,,,1,-0.25,开放申购,开放赎回,,,,
2022-04-11,1.0219,1.0719,,,1,-0.75,开放申购,开放赎回,,,,
2022-04-08,1.0296,1.0796,,,1,0.22,开放申购,开放赎回,,,,
2022-04-07,1.0273,1.0773,,,1,-0.52,开放申购,开放赎回,,,,
2022-04-06,1.0327,1.0827,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-01,1.0328,1.0828,,,1,0.53,暂停申购,暂停赎回,,,,
2022-03-31,1.0274,1.0774,,,1,0.63,暂停申购,暂停赎回,,,,
2022-03-30,1.0210,1.0710,,,1,1.19,开放申购,开放赎回,,,,
2022-03-29,1.0090,1.0590,,,1,-0.02,开放申购,开放赎回,,,,
2022-03-28,1.0092,1.0592,,,1,0.37,开放申购,开放赎回,,,,
2022-03-25,1.0055,1.0555,,,1,0.35,开放申购,开放赎回,,,,
2022-03-24,1.0020,1.0520,,,1,0.20,开放申购,开放赎回,,,,
2022-03-23,1.0000,1.0500,,,1,0.21,开放申购,开放赎回,,,,
2022-03-22,0.9979,1.0479,,,1,1.16,开放申购,开放赎回,,,,
2022-03-21,0.9865,1.0365,,,1,-0.65,开放申购,开放赎回,,,,
2022-03-18,0.9930,1.0430,,,1,0.60,开放申购,开放赎回,,,,
2022-03-17,0.9871,1.0371,,,1,3.99,开放申购,开放赎回,,,,
2022-03-16,0.9492,0.9992,,,1,0.91,开放申购,开放赎回,,,,
2022-03-15,0.9406,0.9906,,,1,-2.83,开放申购,开放赎回,,,,
2022-03-14,0.9680,1.0180,,,1,-0.14,开放申购,开放赎回,,,,
2022-03-11,0.9694,1.0194,,,1,-0.10,开放申购,开放赎回,,,,
2022-03-10,0.9704,1.0204,,,1,1.91,开放申购,开放赎回,,,,
2022-03-09,0.9522,1.0022,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-08,0.9555,1.0055,,,1,-1.09,开放申购,开放赎回,,,,
2022-03-07,0.9660,1.0160,,,1,-2.90,开放申购,开放赎回,,,,
2022-03-04,0.9948,1.0448,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-03,1.0015,1.0515,,,1,0.94,开放申购,开放赎回,,,,
2022-03-02,0.9922,1.0422,,,1,-1.66,开放申购,开放赎回,,,,
2022-03-01,1.0089,1.0589,,,1,-0.53,开放申购,开放赎回,,,,
2022-02-28,1.0143,1.0643,,,1,0.42,开放申购,开放赎回,,,,
2022-02-25,1.0101,1.0601,,,1,-1.41,开放申购,开放赎回,,,,
2022-02-24,1.0245,1.0745,,,1,-2.33,开放申购,开放赎回,,,,
2022-02-23,1.0489,1.0989,,,1,0.01,开放申购,开放赎回,,,,
2022-02-22,1.0488,1.0988,,,1,-2.33,开放申购,开放赎回,,,,
2022-02-21,1.0738,1.1238,,,1,0.68,开放申购,开放赎回,,,,
2022-02-18,1.0665,1.1165,,,1,0.06,开放申购,开放赎回,,,,
2022-02-17,1.0659,1.1159,,,1,-0.26,开放申购,开放赎回,,,,
2022-02-16,1.0687,1.1187,,,1,1.16,开放申购,开放赎回,,,,
2022-02-15,1.0564,1.1064,,,1,-2.45,开放申购,开放赎回,,,,
2022-02-14,1.0829,1.1329,,,1,-0.88,开放申购,开放赎回,,,,
2022-02-11,1.0925,1.1425,,,1,0.93,开放申购,开放赎回,,,,
2022-02-10,1.0824,1.1324,,,1,0.00,开放申购,开放赎回,,,,
2022-02-09,1.0824,1.1324,,,1,0.73,开放申购,开放赎回,,,,
2022-02-08,1.0746,1.1246,,,1,0.39,开放申购,开放赎回,,,,
2022-02-07,1.0704,1.1204,,,1,3.32,开放申购,开放赎回,,,,
2022-01-28,1.0360,1.0860,,,1,0.08,暂停申购,暂停赎回,,,,
2022-01-27,1.0352,1.0852,,,1,0.37,暂停申购,暂停赎回,,,,
2022-01-26,1.0314,1.0814,,,1,0.31,开放申购,开放赎回,,,,
2022-01-25,1.0282,1.0782,,,1,-0.50,开放申购,开放赎回,,,,
2022-01-24,1.0334,1.0834,,,1,0.01,开放申购,开放赎回,,,,
2022-01-21,1.0333,1.0833,,,1,0.20,开放申购,开放赎回,,,,
2022-01-20,1.0312,1.0812,,,1,0.56,开放申购,开放赎回,,,,
2022-01-19,1.0255,1.0755,,,1,0.70,开放申购,开放赎回,,,,
2022-01-18,1.0184,1.0684,,,1,-0.13,开放申购,开放赎回,,,,
2022-01-17,1.0197,1.0697,,,1,-0.27,开放申购,开放赎回,,,,
2022-01-14,1.0225,1.0725,,,1,0.14,开放申购,开放赎回,,,,
2022-01-13,1.0211,1.0711,,,1,1.07,开放申购,开放赎回,,,,
2022-01-12,1.0103,1.0603,,,1,0.11,开放申购,开放赎回,,,,
2022-01-11,1.0092,1.0592,,,1,0.63,开放申购,开放赎回,,,,
2022-01-10,1.0029,1.0529,,,1,1.43,开放申购,开放赎回,,,,
2022-01-07,0.9888,1.0388,,,1,2.04,开放申购,开放赎回,,,,
2022-01-06,0.9690,1.0190,,,1,-0.82,开放申购,开放赎回,,,,
2022-01-05,0.9770,1.0270,,,1,2.03,开放申购,开放赎回,,,,
2022-01-04,0.9576,1.0076,,,1,1.65,开放申购,开放赎回,,,,
2021-12-31,0.9421,0.9921,,,1,-0.10,暂停申购,暂停赎回,,,,
2021-12-30,0.9430,0.9930,,,1,-0.07,暂停申购,暂停赎回,,,,
2021-12-29,0.9437,0.9937,,,1,-0.20,暂停申购,暂停赎回,,,,
2021-12-28,0.9456,0.9956,,,1,0.69,开放申购,开放赎回,,,,
2021-12-27,0.9391,0.9891,,,1,-0.02,暂停申购,暂停赎回,,,,
2021-12-24,0.9393,0.9893,,,1,0.35,暂停申购,暂停赎回,,,,
2021-12-23,0.9360,0.9860,,,1,0.53,开放申购,开放赎回,,,,
2021-12-22,0.9311,0.9811,,,1,0.33,开放申购,开放赎回,,,,
2021-12-21,0.9280,0.9780,,,1,-0.51,开放申购,开放赎回,,,,
2021-12-20,0.9328,0.9828,,,1,-0.19,开放申购,开放赎回,,,,
2021-12-17,0.9346,0.9846,,,1,0.72,开放申购,开放赎回,,,,
2021-12-16,0.9279,0.9779,,,1,-0.55,开放申购,开放赎回,,,,
2021-12-15,0.9330,0.9830,,,1,0.28,开放申购,开放赎回,,,,
2021-12-14,0.9304,0.9804,,,1,-1.08,开放申购,开放赎回,,,,
2021-12-13,0.9406,0.9906,,,1,-0.44,开放申购,开放赎回,,,,
2021-12-10,0.9448,0.9948,,,1,0.08,开放申购,开放赎回,,,,
2021-12-09,0.9440,0.9940,,,1,0.50,开放申购,开放赎回,,,,
2021-12-08,0.9393,0.9893,,,1,-0.79,开放申购,开放赎回,,,,
2021-12-07,0.9468,0.9968,,,1,0.34,开放申购,开放赎回,,,,
2021-12-06,0.9436,0.9936,,,1,0.36,开放申购,开放赎回,,,,
2021-12-03,0.9402,0.9902,,,1,1.08,开放申购,开放赎回,,,,
2021-12-02,0.9302,0.9802,,,1,1.86,开放申购,开放赎回,,,,
2021-12-01,0.9132,0.9632,,,1,1.23,开放申购,开放赎回,,,,
2021-11-30,0.9021,0.9521,,,1,-1.46,开放申购,开放赎回,,,,
2021-11-29,0.9155,0.9655,,,1,-0.92,开放申购,开放赎回,,,,
2021-11-26,0.9240,0.9740,,,1,-1.98,开放申购,开放赎回,,,,
2021-11-25,0.9427,0.9927,,,1,-0.12,开放申购,开放赎回,,,,
2021-11-24,0.9438,0.9938,,,1,0.20,开放申购,开放赎回,,,,
2021-11-23,0.9419,0.9919,,,1,-0.12,开放申购,开放赎回,,,,
2021-11-22,0.9430,0.9930,,,1,-0.32,开放申购,开放赎回,,,,
2021-11-19,0.9460,0.9960,,,1,0.32,开放申购,开放赎回,,,,
2021-11-18,0.9430,0.9930,,,1,-0.60,开放申购,开放赎回,,,,
2021-11-17,0.9487,0.9987,,,1,-0.33,开放申购,开放赎回,,,,
2021-11-16,0.9518,1.0018,,,1,0.54,开放申购,开放赎回,,,,
2021-11-15,0.9467,0.9967,,,1,-0.12,开放申购,开放赎回,,,,
2021-11-12,0.9478,0.9978,,,1,-0.23,开放申购,开放赎回,,,,
2021-11-11,0.9500,1.0000,,,1,1.50,开放申购,开放赎回,,,,
2021-11-10,0.9360,0.9860,,,1,-0.43,开放申购,开放赎回,,,,
2021-11-09,0.9400,0.9900,,,1,-0.80,开放申购,开放赎回,,,,
2021-11-08,0.9476,0.9976,,,1,0.87,开放申购,开放赎回,,,,
2021-11-05,0.9394,0.9894,,,1,-1.40,开放申购,开放赎回,,,,
2021-11-04,0.9527,1.0027,,,1,-0.36,开放申购,开放赎回,,,,
2021-11-03,0.9561,1.0061,,,1,0.06,开放申购,开放赎回,,,,
2021-11-02,0.9555,1.0055,,,1,-1.48,开放申购,开放赎回,,,,
