FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.1610,1.1610,,,1,0.55,暂停申购,暂停赎回,,,,
2022-04-28,1.1546,1.1546,,,1,2.35,暂停申购,暂停赎回,,,,
2022-04-27,1.1281,1.1281,,,1,-0.83,开放申购,开放赎回,,,,
2022-04-26,1.1375,1.1375,,,1,-1.15,开放申购,开放赎回,,,,
2022-04-25,1.1507,1.1507,,,1,-2.61,开放申购,开放赎回,,,,
2022-04-22,1.1815,1.1815,,,1,0.57,开放申购,开放赎回,,,,
2022-04-21,1.1748,1.1748,,,1,0.64,开放申购,开放赎回,,,,
2022-04-20,1.1673,1.1673,,,1,-0.09,开放申购,开放赎回,,,,
2022-04-19,1.1683,1.1683,,,1,-1.72,开放申购,开放赎回,,,,
2022-04-18,1.1887,1.1887,,,1,-0.21,暂停申购,暂停赎回,,,,
2022-04-15,1.1912,1.1912,,,1,0.49,暂停申购,暂停赎回,,,,
2022-04-14,1.1854,1.1854,,,1,-0.24,开放申购,开放赎回,,,,
2022-04-13,1.1882,1.1882,,,1,0.04,开放申购,开放赎回,,,,
2022-04-12,1.1877,1.1877,,,1,-0.25,开放申购,开放赎回,,,,
2022-04-11,1.1907,1.1907,,,1,-0.74,开放申购,开放赎回,,,,
2022-04-08,1.1996,1.1996,,,1,0.22,开放申购,开放赎回,,,,
2022-04-07,1.1970,1.1970,,,1,-0.52,开放申购,开放赎回,,,,
2022-04-06,1.2032,1.2032,,,1,-0.02,开放申购,开放赎回,,,,
2022-04-01,1.2035,1.2035,,,1,0.53,暂停申购,暂停赎回,,,,
2022-03-31,1.1972,1.1972,,,1,0.63,暂停申购,暂停赎回,,,,
2022-03-30,1.1897,1.1897,,,1,1.19,开放申购,开放赎回,,,,
2022-03-29,1.1757,1.1757,,,1,-0.02,开放申购,开放赎回,,,,
2022-03-28,1.1759,1.1759,,,1,0.36,开放申购,开放赎回,,,,
2022-03-25,1.1717,1.1717,,,1,0.36,开放申购,开放赎回,,,,
2022-03-24,1.1675,1.1675,,,1,0.20,开放申购,开放赎回,,,,
2022-03-23,1.1652,1.1652,,,1,0.22,开放申购,开放赎回,,,,
2022-03-22,1.1627,1.1627,,,1,1.15,开放申购,开放赎回,,,,
2022-03-21,1.1495,1.1495,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-18,1.1571,1.1571,,,1,0.59,开放申购,开放赎回,,,,
2022-03-17,1.1503,1.1503,,,1,4.01,开放申购,开放赎回,,,,
2022-03-16,1.1060,1.1060,,,1,0.91,开放申购,开放赎回,,,,
2022-03-15,1.0960,1.0960,,,1,-2.84,开放申购,开放赎回,,,,
2022-03-14,1.1280,1.1280,,,1,-0.14,开放申购,开放赎回,,,,
2022-03-11,1.1296,1.1296,,,1,-0.11,开放申购,开放赎回,,,,
2022-03-10,1.1308,1.1308,,,1,1.92,开放申购,开放赎回,,,,
2022-03-09,1.1095,1.1095,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-08,1.1134,1.1134,,,1,-1.09,开放申购,开放赎回,,,,
2022-03-07,1.1257,1.1257,,,1,-2.90,开放申购,开放赎回,,,,
2022-03-04,1.1593,1.1593,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-03,1.1671,1.1671,,,1,0.94,开放申购,开放赎回,,,,
2022-03-02,1.1562,1.1562,,,1,-1.66,开放申购,开放赎回,,,,
2022-03-01,1.1757,1.1757,,,1,-0.52,开放申购,开放赎回,,,,
2022-02-28,1.1819,1.1819,,,1,0.41,开放申购,开放赎回,,,,
2022-02-25,1.1771,1.1771,,,1,-1.41,开放申购,开放赎回,,,,
2022-02-24,1.1939,1.1939,,,1,-2.32,开放申购,开放赎回,,,,
2022-02-23,1.2223,1.2223,,,1,0.01,开放申购,开放赎回,,,,
2022-02-22,1.2222,1.2222,,,1,-2.33,开放申购,开放赎回,,,,
2022-02-21,1.2513,1.2513,,,1,0.68,开放申购,开放赎回,,,,
2022-02-18,1.2429,1.2429,,,1,0.06,开放申购,开放赎回,,,,
2022-02-17,1.2421,1.2421,,,1,-0.26,开放申购,开放赎回,,,,
