FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8008,0.8088,,,1,1.82,开放申购,开放赎回,,,,
2022-04-28,0.7865,0.7945,,,1,2.10,开放申购,开放赎回,,,,
2022-04-27,0.7703,0.7783,,,1,3.58,开放申购,开放赎回,,,,
2022-04-26,0.7437,0.7517,,,1,1.52,开放申购,开放赎回,,,,
2022-04-25,0.7326,0.7406,,,1,-3.90,开放申购,开放赎回,,,,
2022-04-22,0.7623,0.7703,,,1,1.52,开放申购,开放赎回,,,,
2022-04-21,0.7509,0.7589,,,1,-3.06,开放申购,开放赎回,,,,
2022-04-20,0.7746,0.7826,,,1,-3.45,开放申购,开放赎回,,,,
2022-04-19,0.8023,0.8103,,,1,1.13,开放申购,开放赎回,,,,
2022-04-18,0.7933,0.8013,,,1,-1.59,开放申购,开放赎回,,,,
2022-04-15,0.8061,0.8141,,,1,-1.70,开放申购,开放赎回,,,,
2022-04-14,0.8200,0.8280,,,1,1.32,开放申购,开放赎回,,,,
2022-04-13,0.8093,0.8173,,,1,-2.49,开放申购,开放赎回,,,,
2022-04-12,0.8300,0.8380,,,1,-0.10,开放申购,开放赎回,,,,
2022-04-11,0.8308,0.8388,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-08,0.8347,0.8427,,,1,3.87,开放申购,开放赎回,,,,
2022-04-07,0.8036,0.8116,,,1,-1.01,开放申购,开放赎回,,,,
2022-04-06,0.8118,0.8198,,,1,3.49,开放申购,开放赎回,,,,
2022-04-01,0.7844,0.7924,,,1,0.03,开放申购,开放赎回,,,,
2022-03-31,0.7842,0.7922,,,1,-0.31,开放申购,开放赎回,,,,
2022-03-30,0.7866,0.7946,,,1,2.57,开放申购,开放赎回,,,,
2022-03-29,0.7669,0.7749,,,1,-0.94,开放申购,开放赎回,,,,
2022-03-28,0.7742,0.7822,,,1,1.35,开放申购,开放赎回,,,,
2022-03-25,0.7639,0.7719,,,1,-0.97,开放申购,开放赎回,,,,
2022-03-24,0.7714,0.7794,,,1,-1.34,开放申购,开放赎回,,,,
