净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.5408,1.5408,1.53%,开放申购,开放赎回,
2022-03-29,1.5176,1.5176,-0.35%,开放申购,开放赎回,
2022-03-28,1.5229,1.5229,2.00%,开放申购,开放赎回,
2022-03-25,1.493,1.493,0.19%,开放申购,开放赎回,
2022-03-24,1.4902,1.4902,-0.56%,开放申购,开放赎回,
2022-03-23,1.4986,1.4986,0.01%,开放申购,开放赎回,
2022-03-22,1.4985,1.4985,1.85%,开放申购,开放赎回,
2022-03-21,1.4713,1.4713,-0.39%,开放申购,开放赎回,
2022-03-18,1.4771,1.4771,2.48%,开放申购,开放赎回,
2022-03-17,1.4413,1.4413,1.19%,开放申购,开放赎回,
2022-03-16,1.4244,1.4244,2.34%,开放申购,开放赎回,
2022-03-15,1.3918,1.3918,-5.43%,开放申购,开放赎回,
2022-03-14,1.4717,1.4717,-1.83%,开放申购,开放赎回,
2022-03-11,1.4991,1.4991,0.49%,开放申购,开放赎回,
2022-03-10,1.4918,1.4918,0.80%,开放申购,开放赎回,
2022-03-09,1.48,1.48,-0.95%,开放申购,开放赎回,
2022-03-08,1.4942,1.4942,-3.01%,开放申购,开放赎回,
2022-03-07,1.5405,1.5405,-0.84%,开放申购,开放赎回,
2022-03-04,1.5536,1.5536,-0.75%,开放申购,开放赎回,
2022-03-03,1.5653,1.5653,1.37%,开放申购,开放赎回,
2021-12-28,1.4725,1.4725,-0.75%,开放申购,开放赎回,
2021-12-27,1.4837,1.4837,0.45%,开放申购,开放赎回,
2021-12-24,1.4771,1.4771,-0.64%,开放申购,开放赎回,
2021-12-23,1.4866,1.4866,0.36%,开放申购,开放赎回,
2021-12-22,1.4812,1.4812,-0.30%,开放申购,开放赎回,
2021-12-21,1.4856,1.4856,1.66%,开放申购,开放赎回,
2021-12-20,1.4614,1.4614,-0.36%,开放申购,开放赎回,
2021-12-17,1.4667,1.4667,-0.02%,开放申购,开放赎回,
2021-12-16,1.467,1.467,1.62%,开放申购,开放赎回,
2021-12-15,1.4436,1.4436,0.82%,开放申购,开放赎回,
2021-12-14,1.4318,1.4318,-1.03%,开放申购,开放赎回,
2021-12-13,1.4467,1.4467,-0.35%,开放申购,开放赎回,
2021-12-10,1.4518,1.4518,-0.75%,开放申购,开放赎回,
2021-12-09,1.4628,1.4628,0.38%,开放申购,开放赎回,
2021-12-08,1.4573,1.4573,0.04%,开放申购,开放赎回,
2021-12-07,1.4567,1.4567,1.41%,开放申购,开放赎回,
2021-12-06,1.4364,1.4364,-0.42%,开放申购,开放赎回,
2021-12-03,1.4424,1.4424,1.54%,开放申购,开放赎回,
2021-12-02,1.4205,1.4205,0.35%,开放申购,开放赎回,
2021-12-01,1.4156,1.4156,1.58%,开放申购,开放赎回,
2021-11-30,1.3936,1.3936,-0.19%,开放申购,开放赎回,
2021-11-29,1.3962,1.3962,-0.82%,开放申购,开放赎回,
2021-11-26,1.4078,1.4078,-1.15%,开放申购,开放赎回,
2021-11-25,1.4242,1.4242,-0.19%,开放申购,开放赎回,
2021-11-24,1.4269,1.4269,1.16%,开放申购,开放赎回,
2021-11-23,1.4105,1.4105,0.95%,开放申购,开放赎回,
2021-11-22,1.3972,1.3972,-0.11%,开放申购,开放赎回,
2021-11-19,1.3987,1.3987,1.36%,开放申购,开放赎回,
2021-11-18,1.38,1.38,-0.01%,开放申购,开放赎回,
2021-11-17,1.3801,1.3801,-0.16%,开放申购,开放赎回,
2021-11-16,1.3823,1.3823,-0.74%,开放申购,开放赎回,
2021-11-15,1.3926,1.3926,-0.18%,开放申购,开放赎回,
2021-11-12,1.3951,1.3951,-0.59%,开放申购,开放赎回,
2021-11-11,1.4034,1.4034,2.13%,开放申购,开放赎回,
2021-11-10,1.3741,1.3741,-0.28%,开放申购,开放赎回,
2021-11-09,1.378,1.378,-0.33%,开放申购,开放赎回,
2021-11-08,1.3825,1.3825,0.37%,开放申购,开放赎回,
2021-11-05,1.3774,1.3774,-2.03%,开放申购,开放赎回,
2021-11-04,1.406,1.406,-0.19%,开放申购,开放赎回,
2021-11-03,1.4087,1.4087,1.89%,开放申购,开放赎回,
2021-09-28,1.5493,1.5493,2.68%,开放申购,开放赎回,
2021-09-27,1.5089,1.5089,-2.31%,开放申购,开放赎回,
2021-09-24,1.5446,1.5446,-3.15%,开放申购,开放赎回,
2021-09-23,1.5948,1.5948,-0.34%,开放申购,开放赎回,
2021-09-22,1.6002,1.6002,2.66%,开放申购,开放赎回,
2021-09-17,1.5587,1.5587,-1.89%,开放申购,开放赎回,
2021-09-16,1.5887,1.5887,-0.34%,开放申购,开放赎回,
2021-09-15,1.5941,1.5941,-0.49%,开放申购,开放赎回,
2021-09-14,1.6019,1.6019,-1.72%,开放申购,开放赎回,
2021-09-13,1.6299,1.6299,2.83%,开放申购,开放赎回,
2021-09-10,1.585,1.585,-0.60%,开放申购,开放赎回,
2021-09-09,1.5946,1.5946,2.51%,开放申购,开放赎回,
2021-09-08,1.5555,1.5555,1.58%,开放申购,开放赎回,
2021-09-07,1.5313,1.5313,2.01%,开放申购,开放赎回,
2021-09-06,1.5012,1.5012,1.05%,开放申购,开放赎回,
2021-09-03,1.4856,1.4856,-0.50%,开放申购,开放赎回,
2021-09-02,1.493,1.493,1.76%,开放申购,开放赎回,
2021-09-01,1.4672,1.4672,0.01%,开放申购,开放赎回,
2021-08-31,1.4671,1.4671,2.50%,开放申购,开放赎回,
2021-08-30,1.4313,1.4313,0.46%,开放申购,开放赎回,
2021-08-27,1.4248,1.4248,1.11%,开放申购,开放赎回,
2021-08-26,1.4092,1.4092,0.82%,开放申购,开放赎回,
2021-08-25,1.3978,1.3978,0.60%,开放申购,开放赎回,
2021-08-24,1.3894,1.3894,0.60%,开放申购,开放赎回,
2021-08-23,1.3811,1.3811,0.88%,开放申购,开放赎回,
2021-08-20,1.3691,1.3691,0.20%,开放申购,开放赎回,
2021-08-19,1.3664,1.3664,-0.98%,开放申购,开放赎回,
