FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.5582,1.5582,,,1,1.67,开放申购,开放赎回,,,,
2022-04-28,1.5326,1.5326,,,1,2.05,开放申购,开放赎回,,,,
2022-04-27,1.5018,1.5018,,,1,0.74,开放申购,开放赎回,,,,
2022-04-26,1.4908,1.4908,,,1,-0.73,开放申购,开放赎回,,,,
2022-04-25,1.5017,1.5017,,,1,-3.76,开放申购,开放赎回,,,,
2022-04-22,1.5604,1.5604,,,1,1.78,开放申购,开放赎回,,,,
2022-04-21,1.5331,1.5331,,,1,-1.66,开放申购,开放赎回,,,,
2022-04-20,1.5590,1.5590,,,1,-2.43,开放申购,开放赎回,,,,
2022-04-19,1.5979,1.5979,,,1,1.15,开放申购,开放赎回,,,,
2022-04-18,1.5797,1.5797,,,1,-1.36,开放申购,开放赎回,,,,
2022-04-15,1.6014,1.6014,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-14,1.6090,1.6090,,,1,1.80,开放申购,开放赎回,,,,
2022-04-13,1.5805,1.5805,,,1,-0.60,开放申购,开放赎回,,,,
2022-04-12,1.5900,1.5900,,,1,-0.03,开放申购,开放赎回,,,,
2022-04-11,1.5905,1.5905,,,1,-1.49,开放申购,开放赎回,,,,
2022-04-08,1.6145,1.6145,,,1,1.18,开放申购,开放赎回,,,,
2022-04-07,1.5957,1.5957,,,1,-1.63,开放申购,开放赎回,,,,
2022-04-06,1.6221,1.6221,,,1,1.65,开放申购,开放赎回,,,,
2022-04-01,1.5958,1.5958,,,1,1.71,开放申购,开放赎回,,,,
2022-03-31,1.5690,1.5690,,,1,1.06,开放申购,开放赎回,,,,
2022-03-30,1.5525,1.5525,,,1,1.54,开放申购,开放赎回,,,,
2022-03-29,1.5290,1.5290,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-28,1.5344,1.5344,,,1,2.00,开放申购,开放赎回,,,,
2022-03-25,1.5043,1.5043,,,1,0.19,开放申购,开放赎回,,,,
2022-03-24,1.5014,1.5014,,,1,-0.56,开放申购,开放赎回,,,,
2022-03-23,1.5099,1.5099,,,1,0.01,开放申购,开放赎回,,,,
2022-03-22,1.5098,1.5098,,,1,1.85,开放申购,开放赎回,,,,
2022-03-21,1.4824,1.4824,,,1,-0.39,开放申购,开放赎回,,,,
2022-03-18,1.4882,1.4882,,,1,2.49,开放申购,开放赎回,,,,
2022-03-17,1.4521,1.4521,,,1,1.18,开放申购,开放赎回,,,,
2022-03-16,1.4351,1.4351,,,1,2.35,开放申购,开放赎回,,,,
2022-03-15,1.4022,1.4022,,,1,-5.43,开放申购,开放赎回,,,,
2022-03-14,1.4827,1.4827,,,1,-1.83,开放申购,开放赎回,,,,
2022-03-11,1.5103,1.5103,,,1,0.49,开放申购,开放赎回,,,,
2022-03-10,1.5030,1.5030,,,1,0.80,开放申购,开放赎回,,,,
2022-03-09,1.4910,1.4910,,,1,-0.95,开放申购,开放赎回,,,,
2022-03-08,1.5053,1.5053,,,1,-3.01,开放申购,开放赎回,,,,
2022-03-07,1.5520,1.5520,,,1,-0.84,开放申购,开放赎回,,,,
2022-03-04,1.5652,1.5652,,,1,-0.74,开放申购,开放赎回,,,,
2022-03-03,1.5769,1.5769,,,1,1.37,开放申购,开放赎回,,,,
2022-03-02,1.5556,1.5556,,,1,0.80,开放申购,开放赎回,,,,
2022-03-01,1.5432,1.5432,,,1,0.92,开放申购,开放赎回,,,,
2022-02-28,1.5291,1.5291,,,1,0.05,开放申购,开放赎回,,,,
2022-02-25,1.5284,1.5284,,,1,-0.12,开放申购,开放赎回,,,,
