净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.0482,1.0482,5.12%,开放申购,开放赎回,
2022-03-29,0.9971,0.9971,-1.64%,开放申购,开放赎回,
2022-03-28,1.0137,1.0137,1.88%,开放申购,开放赎回,
2022-03-25,0.995,0.995,0.28%,开放申购,开放赎回,
2022-03-24,0.9922,0.9922,-1.38%,开放申购,开放赎回,
2022-03-23,1.0061,1.0061,1.87%,开放申购,开放赎回,
2022-03-22,0.9876,0.9876,3.40%,开放申购,开放赎回,
2022-03-21,0.9551,0.9551,0.12%,开放申购,开放赎回,
2022-03-18,0.954,0.954,4.16%,开放申购,开放赎回,
2022-03-17,0.9159,0.9159,3.73%,开放申购,开放赎回,
2022-03-16,0.883,0.883,3.05%,开放申购,开放赎回,
2022-03-15,0.8569,0.8569,-6.86%,开放申购,开放赎回,
2022-03-14,0.92,0.92,-1.88%,开放申购,开放赎回,
2022-03-11,0.9376,0.9376,0.41%,开放申购,开放赎回,
2022-03-10,0.9338,0.9338,1.01%,开放申购,开放赎回,
2022-03-09,0.9245,0.9245,-3.00%,开放申购,开放赎回,
2022-03-08,0.9531,0.9531,-3.04%,开放申购,开放赎回,
2022-03-07,0.983,0.983,-0.14%,开放申购,开放赎回,
2022-03-04,0.9844,0.9844,-1.00%,开放申购,开放赎回,
2022-03-03,0.9943,0.9943,1.68%,开放申购,开放赎回,
2021-12-28,0.9713,0.9713,-0.22%,开放申购,开放赎回,
2021-12-27,0.9734,0.9734,0.62%,开放申购,开放赎回,
2021-12-24,0.9674,0.9674,-1.06%,开放申购,开放赎回,
2021-12-23,0.9778,0.9778,-1.27%,开放申购,开放赎回,
2021-12-22,0.9904,0.9904,-1.50%,开放申购,开放赎回,
2021-12-21,1.0055,1.0055,4.49%,开放申购,开放赎回,
2021-12-20,0.9623,0.9623,0.56%,开放申购,开放赎回,
2021-12-17,0.9569,0.9569,-0.07%,开放申购,开放赎回,
2021-12-16,0.9576,0.9576,0.50%,开放申购,开放赎回,
2021-12-15,0.9528,0.9528,0.62%,开放申购,开放赎回,
2021-12-14,0.9469,0.9469,-0.92%,开放申购,开放赎回,
2021-12-13,0.9557,0.9557,-0.55%,开放申购,开放赎回,
2021-12-10,0.961,0.961,-0.85%,开放申购,开放赎回,
2021-12-09,0.9692,0.9692,1.64%,开放申购,开放赎回,
2021-12-08,0.9536,0.9536,0.01%,开放申购,开放赎回,
2021-12-07,0.9535,0.9535,0.95%,开放申购,开放赎回,
2021-12-06,0.9445,0.9445,0.08%,开放申购,开放赎回,
2021-12-03,0.9437,0.9437,1.15%,开放申购,开放赎回,
2021-12-02,0.933,0.933,0.40%,开放申购,开放赎回,
2021-12-01,0.9293,0.9293,1.16%,开放申购,开放赎回,
2021-11-30,0.9186,0.9186,-0.20%,开放申购,开放赎回,
2021-11-29,0.9204,0.9204,-0.96%,开放申购,开放赎回,
2021-11-26,0.9293,0.9293,-0.71%,开放申购,开放赎回,
2021-11-25,0.9359,0.9359,-0.30%,开放申购,开放赎回,
2021-11-24,0.9387,0.9387,0.66%,开放申购,开放赎回,
2021-11-23,0.9325,0.9325,0.64%,开放申购,开放赎回,
2021-11-22,0.9266,0.9266,-1.46%,开放申购,开放赎回,
2021-11-19,0.9403,0.9403,2.84%,开放申购,开放赎回,
2021-11-18,0.9143,0.9143,-1.03%,开放申购,开放赎回,
2021-11-17,0.9238,0.9238,0.25%,开放申购,开放赎回,
2021-11-16,0.9215,0.9215,-0.72%,开放申购,开放赎回,
2021-11-15,0.9282,0.9282,-0.77%,开放申购,开放赎回,
2021-11-12,0.9354,0.9354,-0.83%,开放申购,开放赎回,
2021-11-11,0.9432,0.9432,4.96%,开放申购,开放赎回,
2021-11-10,0.8986,0.8986,2.42%,开放申购,开放赎回,
2021-11-09,0.8774,0.8774,0.18%,开放申购,开放赎回,
2021-11-08,0.8758,0.8758,0.71%,开放申购,开放赎回,
2021-11-05,0.8696,0.8696,-1.98%,开放申购,开放赎回,
2021-11-04,0.8872,0.8872,-0.08%,开放申购,开放赎回,
2021-11-03,0.8879,0.8879,1.22%,开放申购,开放赎回,
2021-09-28,0.9734,0.9734,3.28%,开放申购,开放赎回,
2021-09-27,0.9425,0.9425,-3.10%,开放申购,开放赎回,
2021-09-24,0.9727,0.9727,-0.67%,开放申购,开放赎回,
2021-09-23,0.9793,0.9793,1.69%,开放申购,开放赎回,
2021-09-22,0.963,0.963,2.50%,开放申购,开放赎回,
2021-09-17,0.9395,0.9395,0.85%,开放申购,开放赎回,
2021-09-16,0.9316,0.9316,-2.28%,开放申购,开放赎回,
2021-09-15,0.9533,0.9533,-0.77%,开放申购,开放赎回,
2021-09-14,0.9607,0.9607,-2.32%,开放申购,开放赎回,
2021-09-13,0.9835,0.9835,1.91%,开放申购,开放赎回,
2021-09-10,0.9651,0.9651,0.45%,开放申购,开放赎回,
2021-09-09,0.9608,0.9608,-0.07%,开放申购,开放赎回,
2021-09-08,0.9615,0.9615,0.17%,开放申购,开放赎回,
2021-09-07,0.9599,0.9599,0.27%,开放申购,开放赎回,
2021-09-06,0.9573,0.9573,-0.80%,开放申购,开放赎回,
2021-09-03,0.965,0.965,0.71%,开放申购,开放赎回,
2021-09-02,0.9582,0.9582,1.72%,开放申购,开放赎回,
2021-09-01,0.942,0.942,2.78%,开放申购,开放赎回,
2021-08-31,0.9165,0.9165,1.94%,开放申购,开放赎回,
2021-08-30,0.8991,0.8991,-1.39%,开放申购,开放赎回,
2021-08-27,0.9118,0.9118,-0.40%,开放申购,开放赎回,
2021-08-26,0.9155,0.9155,-1.17%,开放申购,开放赎回,
2021-08-25,0.9263,0.9263,0.13%,开放申购,开放赎回,
2021-08-24,0.9251,0.9251,0.58%,开放申购,开放赎回,
2021-08-23,0.9198,0.9198,-0.09%,开放申购,开放赎回,
2021-08-20,0.9206,0.9206,0.23%,开放申购,开放赎回,
2021-08-19,0.9185,0.9185,-1.20%,开放申购,开放赎回,
2021-08-18,0.9297,0.9297,0.80%,开放申购,开放赎回,
2021-08-17,0.9223,0.9223,-0.50%,开放申购,开放赎回,
2021-08-16,0.9269,0.9269,1.52%,开放申购,开放赎回,
2021-08-13,0.913,0.913,-0.27%,开放申购,开放赎回,
2021-08-12,0.9155,0.9155,-1.06%,开放申购,开放赎回,
2021-08-11,0.9253,0.9253,2.81%,开放申购,开放赎回,
2021-08-10,0.9,0.9,0.10%,开放申购,开放赎回,
2021-08-09,0.8991,0.8991,2.77%,开放申购,开放赎回,
2021-08-06,0.8749,0.8749,-0.10%,开放申购,开放赎回,
2021-08-05,0.8758,0.8758,1.13%,开放申购,开放赎回,
2021-08-04,0.866,0.866,-0.08%,开放申购,开放赎回,
2021-08-03,0.8667,0.8667,-0.32%,开放申购,开放赎回,
2021-08-02,0.8695,0.8695,1.12%,开放申购,开放赎回,
2021-07-02,0.9442,0.9442,-1.78%,开放申购,开放赎回,
2021-07-01,0.9613,0.9613,1.95%,开放申购,开放赎回,
2021-06-30,0.9429,0.9429,-0.11%,开放申购,开放赎回,
2021-06-29,0.9439,0.9439,-0.14%,开放申购,开放赎回,
