FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9726,0.9726,,,1,3.48,开放申购,开放赎回,,,,
2022-04-28,0.9399,0.9399,,,1,2.78,开放申购,开放赎回,,,,
2022-04-27,0.9145,0.9145,,,1,-1.52,开放申购,开放赎回,,,,
2022-04-26,0.9286,0.9286,,,1,0.11,开放申购,开放赎回,,,,
2022-04-25,0.9276,0.9276,,,1,-5.40,开放申购,开放赎回,,,,
2022-04-22,0.9806,0.9806,,,1,0.95,开放申购,开放赎回,,,,
2022-04-21,0.9714,0.9714,,,1,-2.66,开放申购,开放赎回,,,,
2022-04-20,0.9979,0.9979,,,1,-4.61,开放申购,开放赎回,,,,
2022-04-19,1.0461,1.0461,,,1,0.57,开放申购,开放赎回,,,,
2022-04-18,1.0402,1.0402,,,1,-3.02,开放申购,开放赎回,,,,
2022-04-15,1.0726,1.0726,,,1,0.23,开放申购,开放赎回,,,,
2022-04-14,1.0701,1.0701,,,1,3.49,开放申购,开放赎回,,,,
2022-04-13,1.0340,1.0340,,,1,-1.18,开放申购,开放赎回,,,,
2022-04-12,1.0463,1.0463,,,1,-2.02,开放申购,开放赎回,,,,
2022-04-11,1.0679,1.0679,,,1,-3.63,开放申购,开放赎回,,,,
2022-04-08,1.1081,1.1081,,,1,2.43,开放申购,开放赎回,,,,
2022-04-07,1.0818,1.0818,,,1,-2.97,开放申购,开放赎回,,,,
2022-04-06,1.1149,1.1149,,,1,2.60,开放申购,开放赎回,,,,
2022-04-01,1.0866,1.0866,,,1,2.64,开放申购,开放赎回,,,,
2022-03-31,1.0587,1.0587,,,1,1.00,开放申购,开放赎回,,,,
2022-03-30,1.0482,1.0482,,,1,5.12,开放申购,开放赎回,,,,
2022-03-29,0.9971,0.9971,,,1,-1.64,开放申购,开放赎回,,,,
2022-03-28,1.0137,1.0137,,,1,1.88,开放申购,开放赎回,,,,
2022-03-25,0.9950,0.9950,,,1,0.28,开放申购,开放赎回,,,,
2022-03-24,0.9922,0.9922,,,1,-1.38,开放申购,开放赎回,,,,
2022-03-23,1.0061,1.0061,,,1,1.87,开放申购,开放赎回,,,,
2022-03-22,0.9876,0.9876,,,1,3.40,开放申购,开放赎回,,,,
2022-03-21,0.9551,0.9551,,,1,0.12,开放申购,开放赎回,,,,
2022-03-18,0.9540,0.9540,,,1,4.16,开放申购,开放赎回,,,,
2022-03-17,0.9159,0.9159,,,1,3.73,开放申购,开放赎回,,,,
2022-03-16,0.8830,0.8830,,,1,3.05,开放申购,开放赎回,,,,
