FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.3082,1.3382,,,1,2.04,开放申购,开放赎回,,,,
2022-04-28,1.2821,1.3121,,,1,1.46,开放申购,开放赎回,,,,
2022-04-27,1.2637,1.2937,,,1,0.92,开放申购,开放赎回,,,,
2022-04-26,1.2522,1.2822,,,1,-1.03,开放申购,开放赎回,,,,
2022-04-25,1.2652,1.2952,,,1,-4.62,开放申购,开放赎回,,,,
2022-04-22,1.3265,1.3565,,,1,1.41,开放申购,开放赎回,,,,
2022-04-21,1.3080,1.3380,,,1,-2.29,开放申购,开放赎回,,,,
2022-04-20,1.3386,1.3686,,,1,-2.68,开放申购,开放赎回,,,,
2022-04-19,1.3754,1.4054,,,1,0.48,开放申购,开放赎回,,,,
2022-04-18,1.3688,1.3988,,,1,-1.37,开放申购,开放赎回,,,,
2022-04-15,1.3878,1.4178,,,1,-0.48,开放申购,开放赎回,,,,
2022-04-14,1.3945,1.4245,,,1,1.91,开放申购,开放赎回,,,,
2022-04-13,1.3683,1.3983,,,1,-0.76,开放申购,开放赎回,,,,
2022-04-12,1.3788,1.4088,,,1,-0.03,开放申购,开放赎回,,,,
2022-04-11,1.3792,1.4092,,,1,-2.14,开放申购,开放赎回,,,,
2022-04-08,1.4094,1.4394,,,1,1.14,开放申购,开放赎回,,,,
2022-04-07,1.3935,1.4235,,,1,-1.93,开放申购,开放赎回,,,,
2022-04-06,1.4209,1.4509,,,1,1.54,开放申购,开放赎回,,,,
2022-04-01,1.3994,1.4294,,,1,1.30,开放申购,开放赎回,,,,
2022-03-31,1.3815,1.4115,,,1,1.48,开放申购,开放赎回,,,,
2022-03-30,1.3613,1.3913,,,1,2.04,开放申购,开放赎回,,,,
2022-03-29,1.3341,1.3641,,,1,-0.73,开放申购,开放赎回,,,,
2022-03-28,1.3439,1.3739,,,1,1.50,开放申购,开放赎回,,,,
2022-03-25,1.3240,1.3540,,,1,0.14,开放申购,开放赎回,,,,
2022-03-24,1.3222,1.3522,,,1,-0.38,开放申购,开放赎回,,,,
2022-03-23,1.3272,1.3572,,,1,0.35,开放申购,开放赎回,,,,
2022-03-22,1.3226,1.3526,,,1,1.97,开放申购,开放赎回,,,,
2022-03-21,1.2970,1.3270,,,1,0.11,开放申购,开放赎回,,,,
2022-03-18,1.2956,1.3256,,,1,2.82,开放申购,开放赎回,,,,
2022-03-17,1.2601,1.2901,,,1,1.47,开放申购,开放赎回,,,,
2022-03-16,1.2418,1.2718,,,1,2.32,开放申购,开放赎回,,,,
2022-03-15,1.2136,1.2436,,,1,-5.65,开放申购,开放赎回,,,,
2022-03-14,1.2863,1.3163,,,1,-1.96,开放申购,开放赎回,,,,
2022-03-11,1.3120,1.3420,,,1,0.56,开放申购,开放赎回,,,,
2022-03-10,1.3047,1.3347,,,1,1.13,开放申购,开放赎回,,,,
2022-03-09,1.2901,1.3201,,,1,-1.56,开放申购,开放赎回,,,,
2022-03-08,1.3106,1.3406,,,1,-2.93,开放申购,开放赎回,,,,
2022-03-07,1.3501,1.3801,,,1,-0.50,开放申购,开放赎回,,,,
2022-03-04,1.3569,1.3869,,,1,-0.93,开放申购,开放赎回,,,,
2022-03-03,1.3697,1.3997,,,1,1.54,开放申购,开放赎回,,,,
2022-03-02,1.3489,1.3789,,,1,0.51,开放申购,开放赎回,,,,
2022-03-01,1.3421,1.3721,,,1,0.80,开放申购,开放赎回,,,,
2022-02-28,1.3315,1.3615,,,1,-0.09,开放申购,开放赎回,,,,
2022-02-25,1.3327,1.3627,,,1,-0.09,开放申购,开放赎回,,,,
2022-02-24,1.3339,1.3639,,,1,-1.94,开放申购,开放赎回,,,,
2022-02-23,1.3603,1.3903,,,1,-0.46,开放申购,开放赎回,,,,
2022-02-22,1.3666,1.3966,,,1,-0.99,开放申购,开放赎回,,,,
2022-02-21,1.3803,1.4103,,,1,0.28,开放申购,开放赎回,,,,
2022-02-18,1.3765,1.4065,,,1,1.97,开放申购,开放赎回,,,,
2022-02-17,1.3499,1.3799,,,1,-0.41,开放申购,开放赎回,,,,
2022-02-16,1.3554,1.3854,,,1,0.98,开放申购,开放赎回,,,,
2022-02-15,1.3422,1.3722,,,1,-0.74,开放申购,开放赎回,,,,
2022-02-14,1.3522,1.3822,,,1,-1.78,开放申购,开放赎回,,,,
2022-02-11,1.3767,1.4067,,,1,0.03,开放申购,开放赎回,,,,
2022-02-10,1.3763,1.4063,,,1,1.16,开放申购,开放赎回,,,,
2022-02-09,1.3605,1.3905,,,1,0.30,开放申购,开放赎回,,,,
2022-02-08,1.3564,1.3864,,,1,2.23,开放申购,开放赎回,,,,
2022-02-07,1.3268,1.3568,,,1,1.95,开放申购,开放赎回,,,,
2022-01-28,1.3014,1.3314,,,1,-0.48,开放申购,开放赎回,,,,
2022-01-27,1.3077,1.3377,,,1,-1.61,开放申购,开放赎回,,,,
2022-01-26,1.3291,1.3591,,,1,0.86,开放申购,开放赎回,,,,
2022-01-25,1.3178,1.3478,,,1,-3.32,开放申购,开放赎回,,,,
2022-01-24,1.3630,1.3930,,,1,0.43,开放申购,开放赎回,,,,
2022-01-21,1.3572,1.3872,,,1,-1.09,开放申购,开放赎回,,,,
2022-01-20,1.3721,1.4021,,,1,-0.76,开放申购,开放赎回,,,,
2022-01-19,1.3826,1.4126,,,1,0.81,开放申购,开放赎回,,,,
2022-01-18,1.3715,1.4015,,,1,0.65,开放申购,开放赎回,,,,
2022-01-17,1.3626,1.3926,,,1,0.65,开放申购,开放赎回,,,,
2022-01-14,1.3538,1.3838,,,1,-1.56,开放申购,开放赎回,,,,
2022-01-13,1.3752,1.4052,,,1,-0.87,开放申购,开放赎回,,,,
2022-01-12,1.3873,1.4173,,,1,0.03,开放申购,开放赎回,,,,
2022-01-11,1.3869,1.4169,,,1,-0.12,开放申购,开放赎回,,,,
2022-01-10,1.3886,1.4186,,,1,0.83,开放申购,开放赎回,,,,
2022-01-07,1.3772,1.4072,,,1,0.28,开放申购,开放赎回,,,,
2022-01-06,1.3733,1.4033,,,1,0.48,开放申购,开放赎回,,,,
2022-01-05,1.3667,1.3967,,,1,-0.50,开放申购,开放赎回,,,,
2022-01-04,1.3736,1.4036,,,1,1.19,开放申购,开放赎回,,,,
2021-12-31,1.3574,1.3874,,,1,0.73,开放申购,开放赎回,,,,
2021-12-30,1.3475,1.3775,,,1,0.69,开放申购,开放赎回,,,,
2021-12-29,1.3383,1.3683,,,1,-0.46,开放申购,开放赎回,,,,
2021-12-28,1.3445,1.3745,,,1,-0.66,开放申购,开放赎回,,,,
2021-12-27,1.3534,1.3834,,,1,0.25,开放申购,开放赎回,,,,
2021-12-24,1.3500,1.3800,,,1,-0.92,开放申购,开放赎回,,,,
2021-12-23,1.3625,1.3925,,,1,0.50,开放申购,开放赎回,,,,
2021-12-22,1.3557,1.3857,,,1,-0.16,开放申购,开放赎回,,,,
2021-12-21,1.3579,1.3879,,,1,1.94,开放申购,开放赎回,,,,
2021-12-20,1.3321,1.3621,,,1,-1.01,开放申购,开放赎回,,,,
