净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.4342,1.4342,1.51%,开放申购,开放赎回,
2022-03-29,1.4129,1.4129,-0.35%,开放申购,开放赎回,
2022-03-28,1.4178,1.4178,1.98%,开放申购,开放赎回,
2022-03-25,1.3903,1.3903,0.20%,开放申购,开放赎回,
2022-03-24,1.3875,1.3875,-0.56%,开放申购,开放赎回,
2022-03-23,1.3953,1.3953,0.00%,开放申购,开放赎回,
2022-03-22,1.3953,1.3953,1.83%,开放申购,开放赎回,
2022-03-21,1.3702,1.3702,-0.39%,开放申购,开放赎回,
2022-03-18,1.3755,1.3755,2.50%,开放申购,开放赎回,
2022-03-17,1.342,1.342,1.18%,开放申购,开放赎回,
2022-03-16,1.3264,1.3264,2.33%,开放申购,开放赎回,
2022-03-15,1.2962,1.2962,-5.41%,开放申购,开放赎回,
2022-03-14,1.3704,1.3704,-1.82%,开放申购,开放赎回,
2022-03-11,1.3958,1.3958,0.50%,开放申购,开放赎回,
2022-03-10,1.3888,1.3888,0.81%,开放申购,开放赎回,
2022-03-09,1.3777,1.3777,-0.93%,开放申购,开放赎回,
2022-03-08,1.3906,1.3906,-3.01%,开放申购,开放赎回,
2022-03-07,1.4337,1.4337,-0.84%,开放申购,开放赎回,
2022-03-04,1.4458,1.4458,-0.76%,开放申购,开放赎回,
2022-03-03,1.4569,1.4569,1.36%,开放申购,开放赎回,
2021-12-28,1.3693,1.3693,-0.77%,开放申购,开放赎回,
2021-12-27,1.3799,1.3799,0.43%,开放申购,开放赎回,
2021-12-24,1.374,1.374,-0.64%,开放申购,开放赎回,
2021-12-23,1.3829,1.3829,0.37%,开放申购,开放赎回,
2021-12-22,1.3778,1.3778,-0.28%,开放申购,开放赎回,
2021-12-21,1.3817,1.3817,1.62%,开放申购,开放赎回,
2021-12-20,1.3597,1.3597,-0.38%,开放申购,开放赎回,
2021-12-17,1.3649,1.3649,0.01%,开放申购,开放赎回,
2021-12-16,1.3648,1.3648,1.58%,开放申购,开放赎回,
2021-12-15,1.3436,1.3436,0.80%,开放申购,开放赎回,
2021-12-14,1.3329,1.3329,-1.00%,开放申购,开放赎回,
2021-12-13,1.3464,1.3464,-0.13%,开放申购,开放赎回,
2021-12-10,1.3482,1.3482,-1.21%,开放申购,开放赎回,
2021-12-09,1.3647,1.3647,0.38%,开放申购,开放赎回,
2021-12-08,1.3595,1.3595,0.01%,开放申购,开放赎回,
2021-12-07,1.3593,1.3593,1.42%,开放申购,开放赎回,
2021-12-06,1.3403,1.3403,-0.36%,开放申购,开放赎回,
2021-12-03,1.3451,1.3451,1.49%,开放申购,开放赎回,
2021-12-02,1.3254,1.3254,0.35%,开放申购,开放赎回,
2021-12-01,1.3208,1.3208,1.44%,开放申购,开放赎回,
2021-11-30,1.302,1.302,-0.20%,开放申购,开放赎回,
2021-11-29,1.3046,1.3046,-0.86%,开放申购,开放赎回,
2021-11-26,1.3159,1.3159,-1.21%,开放申购,开放赎回,
2021-11-25,1.332,1.332,-0.22%,开放申购,开放赎回,
2021-11-24,1.335,1.335,1.17%,开放申购,开放赎回,
2021-11-23,1.3195,1.3195,0.98%,开放申购,开放赎回,
2021-11-22,1.3067,1.3067,-0.18%,开放申购,开放赎回,
2021-11-19,1.309,1.309,1.36%,开放申购,开放赎回,
2021-11-18,1.2915,1.2915,-0.04%,开放申购,开放赎回,
2021-11-17,1.292,1.292,-0.17%,开放申购,开放赎回,
2021-11-16,1.2942,1.2942,-0.75%,开放申购,开放赎回,
2021-11-15,1.304,1.304,-0.20%,开放申购,开放赎回,
2021-11-12,1.3066,1.3066,-0.69%,开放申购,开放赎回,
2021-11-11,1.3157,1.3157,2.13%,开放申购,开放赎回,
2021-11-10,1.2882,1.2882,-0.22%,开放申购,开放赎回,
2021-11-09,1.2911,1.2911,-0.32%,开放申购,开放赎回,
2021-11-08,1.2953,1.2953,0.33%,开放申购,开放赎回,
2021-11-05,1.2911,1.2911,-2.04%,开放申购,开放赎回,
2021-11-04,1.318,1.318,-0.22%,开放申购,开放赎回,
2021-11-03,1.3209,1.3209,1.85%,开放申购,开放赎回,
2021-09-28,1.4538,1.4538,2.68%,开放申购,开放赎回,
2021-09-27,1.4159,1.4159,-2.24%,开放申购,开放赎回,
2021-09-24,1.4484,1.4484,-2.98%,开放申购,开放赎回,
2021-09-23,1.4929,1.4929,-0.23%,开放申购,开放赎回,
2021-09-22,1.4964,1.4964,2.63%,开放申购,开放赎回,
2021-09-17,1.458,1.458,-1.82%,开放申购,开放赎回,
2021-09-16,1.4851,1.4851,-0.58%,开放申购,开放赎回,
