净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,0.8776,0.8776,5.24%,开放申购,开放赎回,
2022-03-29,0.8339,0.8339,-1.70%,开放申购,开放赎回,
2022-03-28,0.8483,0.8483,1.92%,开放申购,开放赎回,
2022-03-25,0.8323,0.8323,0.30%,开放申购,开放赎回,
2022-03-24,0.8298,0.8298,-1.47%,开放申购,开放赎回,
2022-03-23,0.8422,0.8422,1.99%,开放申购,开放赎回,
2022-03-22,0.8258,0.8258,3.63%,开放申购,开放赎回,
2022-03-21,0.7969,0.7969,0.10%,开放申购,开放赎回,
2022-03-18,0.7961,0.7961,4.43%,开放申购,开放赎回,
2022-03-17,0.7623,0.7623,3.94%,开放申购,开放赎回,
2022-03-16,0.7334,0.7334,3.06%,开放申购,开放赎回,
2022-03-15,0.7116,0.7116,-6.96%,开放申购,开放赎回,
2022-03-14,0.7648,0.7648,-1.89%,开放申购,开放赎回,
2022-03-11,0.7795,0.7795,0.39%,开放申购,开放赎回,
2022-03-10,0.7765,0.7765,1.01%,开放申购,开放赎回,
2022-03-09,0.7687,0.7687,-2.98%,开放申购,开放赎回,
2022-03-08,0.7923,0.7923,-2.89%,开放申购,开放赎回,
2022-03-07,0.8159,0.8159,-0.12%,开放申购,开放赎回,
2022-03-04,0.8169,0.8169,-0.99%,开放申购,开放赎回,
2022-03-03,0.8251,0.8251,1.68%,开放申购,开放赎回,
2021-12-28,0.8098,0.8098,-0.25%,开放申购,开放赎回,
2021-12-27,0.8118,0.8118,0.67%,开放申购,开放赎回,
2021-12-24,0.8064,0.8064,-1.13%,开放申购,开放赎回,
2021-12-23,0.8156,0.8156,-1.35%,开放申购,开放赎回,
2021-12-22,0.8268,0.8268,-1.69%,开放申购,开放赎回,
2021-12-21,0.841,0.841,4.98%,开放申购,开放赎回,
2021-12-20,0.8011,0.8011,0.64%,开放申购,开放赎回,
2021-12-17,0.796,0.796,-0.08%,开放申购,开放赎回,
2021-12-16,0.7966,0.7966,0.52%,开放申购,开放赎回,
2021-12-15,0.7925,0.7925,0.66%,开放申购,开放赎回,
2021-12-14,0.7873,0.7873,-0.99%,开放申购,开放赎回,
2021-12-13,0.7952,0.7952,-0.61%,开放申购,开放赎回,
2021-12-10,0.8001,0.8001,-0.86%,开放申购,开放赎回,
2021-12-09,0.807,0.807,1.74%,开放申购,开放赎回,
2021-12-08,0.7932,0.7932,-0.15%,开放申购,开放赎回,
2021-12-07,0.7944,0.7944,1.12%,开放申购,开放赎回,
2021-12-06,0.7856,0.7856,0.18%,开放申购,开放赎回,
2021-12-03,0.7842,0.7842,1.04%,开放申购,开放赎回,
2021-12-02,0.7761,0.7761,0.53%,开放申购,开放赎回,
2021-12-01,0.772,0.772,1.18%,开放申购,开放赎回,
2021-11-30,0.763,0.763,-0.30%,开放申购,开放赎回,
2021-11-29,0.7653,0.7653,-1.15%,开放申购,开放赎回,
2021-11-26,0.7742,0.7742,-0.71%,开放申购,开放赎回,
2021-11-25,0.7797,0.7797,-0.37%,开放申购,开放赎回,
2021-11-24,0.7826,0.7826,0.77%,开放申购,开放赎回,
2021-11-23,0.7766,0.7766,0.74%,开放申购,开放赎回,
2021-11-22,0.7709,0.7709,-1.55%,开放申购,开放赎回,
2021-11-19,0.783,0.783,3.09%,开放申购,开放赎回,
2021-11-18,0.7595,0.7595,-1.27%,开放申购,开放赎回,
2021-11-17,0.7693,0.7693,0.22%,开放申购,开放赎回,
2021-11-16,0.7676,0.7676,-0.85%,开放申购,开放赎回,
2021-11-15,0.7742,0.7742,-0.71%,开放申购,开放赎回,
2021-11-12,0.7797,0.7797,-0.94%,开放申购,开放赎回,
2021-11-11,0.7871,0.7871,5.40%,开放申购,开放赎回,
2021-11-10,0.7468,0.7468,2.60%,开放申购,开放赎回,
2021-11-09,0.7279,0.7279,0.04%,开放申购,开放赎回,
2021-11-08,0.7276,0.7276,0.83%,开放申购,开放赎回,
2021-11-05,0.7216,0.7216,-1.68%,开放申购,开放赎回,
2021-11-04,0.7339,0.7339,-0.37%,开放申购,开放赎回,
2021-11-03,0.7366,0.7366,1.42%,开放申购,开放赎回,
2021-09-28,0.8139,0.8139,3.09%,开放申购,开放赎回,
2021-09-27,0.7895,0.7895,-3.15%,开放申购,开放赎回,
2021-09-24,0.8152,0.8152,-0.84%,开放申购,开放赎回,
2021-09-23,0.8221,0.8221,2.01%,开放申购,开放赎回,
2021-09-22,0.8059,0.8059,2.26%,开放申购,开放赎回,
2021-09-17,0.7881,0.7881,0.47%,开放申购,开放赎回,
2021-09-16,0.7844,0.7844,-2.36%,开放申购,开放赎回,
2021-09-15,0.8034,0.8034,-0.99%,开放申购,开放赎回,
2021-09-14,0.8114,0.8114,-2.60%,开放申购,开放赎回,
2021-09-13,0.8331,0.8331,2.11%,开放申购,开放赎回,
2021-09-10,0.8159,0.8159,0.41%,开放申购,开放赎回,
2021-09-09,0.8126,0.8126,0.16%,开放申购,开放赎回,
2021-09-08,0.8113,0.8113,0.19%,开放申购,开放赎回,
2021-09-07,0.8098,0.8098,0.20%,开放申购,开放赎回,
2021-09-06,0.8082,0.8082,-0.82%,开放申购,开放赎回,
2021-09-03,0.8149,0.8149,0.42%,开放申购,开放赎回,
2021-09-02,0.8115,0.8115,1.56%,开放申购,开放赎回,
