净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.8909,2.1909,-2.39%,开放申购,开放赎回,
2022-03-29,1.9372,2.2372,1.37%,开放申购,开放赎回,
2022-03-28,1.911,2.211,2.52%,开放申购,开放赎回,
2022-03-25,1.864,2.164,-0.62%,开放申购,开放赎回,
2022-03-24,1.8757,2.1757,0.90%,开放申购,开放赎回,
2022-03-23,1.859,2.159,-0.45%,开放申购,开放赎回,
2022-03-22,1.8674,2.1674,3.02%,开放申购,开放赎回,
2022-03-21,1.8127,2.1127,2.45%,开放申购,开放赎回,
2022-03-18,1.7693,2.0693,4.59%,开放申购,开放赎回,
2022-03-17,1.6917,1.9917,1.87%,开放申购,开放赎回,
2022-03-16,1.6606,1.9606,2.20%,开放申购,开放赎回,
2022-03-15,1.6248,1.9248,-7.31%,开放申购,开放赎回,
2022-03-14,1.753,2.053,-3.45%,开放申购,开放赎回,
2022-03-11,1.8157,2.1157,0.02%,开放申购,开放赎回,
2022-03-10,1.8154,2.1154,0.33%,开放申购,开放赎回,
2022-03-09,1.8094,2.1094,1.81%,开放申购,开放赎回,
2022-03-08,1.7772,2.0772,-5.10%,开放申购,开放赎回,
2022-03-07,1.8728,2.1728,0.04%,开放申购,开放赎回,
2022-03-04,1.8721,2.1721,0.32%,开放申购,开放赎回,
2022-03-03,1.8662,2.1662,2.41%,开放申购,开放赎回,
2021-12-28,1.6122,1.9122,-3.23%,限制大额申购,开放赎回,每份派现金0.3000元
2021-12-27,1.976,1.976,0.54%,限制大额申购,开放赎回,
2021-12-24,1.9654,1.9654,-1.85%,限制大额申购,开放赎回,
2021-12-23,2.0025,2.0025,2.46%,限制大额申购,开放赎回,
2021-12-22,1.9545,1.9545,0.35%,限制大额申购,开放赎回,
2021-12-21,1.9477,1.9477,1.28%,开放申购,开放赎回,
2021-12-20,1.9231,1.9231,-2.28%,开放申购,开放赎回,
2021-12-17,1.9679,1.9679,-1.97%,开放申购,开放赎回,
2021-12-16,2.0074,2.0074,5.96%,开放申购,开放赎回,
2021-12-15,1.8944,1.8944,1.33%,开放申购,开放赎回,
2021-12-14,1.8695,1.8695,-1.98%,开放申购,开放赎回,
2021-12-13,1.9072,1.9072,1.71%,开放申购,开放赎回,
2021-12-10,1.8751,1.8751,-1.51%,开放申购,开放赎回,
2021-12-09,1.9039,1.9039,-0.57%,开放申购,开放赎回,
2021-12-08,1.9148,1.9148,-0.45%,开放申购,开放赎回,
2021-12-07,1.9234,1.9234,0.96%,开放申购,开放赎回,
2021-12-06,1.9052,1.9052,-0.99%,开放申购,开放赎回,
2021-12-03,1.9243,1.9243,3.71%,开放申购,开放赎回,
2021-12-02,1.8554,1.8554,1.25%,开放申购,开放赎回,
2021-12-01,1.8325,1.8325,3.16%,开放申购,开放赎回,
2021-11-30,1.7763,1.7763,0.03%,开放申购,开放赎回,
2021-11-29,1.7757,1.7757,-0.94%,开放申购,开放赎回,
2021-11-26,1.7926,1.7926,-2.25%,开放申购,开放赎回,
2021-11-25,1.8339,1.8339,-1.37%,开放申购,开放赎回,
2021-11-24,1.8594,1.8594,2.26%,开放申购,开放赎回,
2021-11-23,1.8183,1.8183,1.47%,开放申购,开放赎回,
2021-11-22,1.792,1.792,0.70%,开放申购,开放赎回,
2021-11-19,1.7795,1.7795,2.39%,开放申购,开放赎回,
2021-11-18,1.738,1.738,1.15%,开放申购,开放赎回,
