FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.8690,2.1690,,,1,0.13,开放申购,开放赎回,,,,
2022-04-28,1.8666,2.1666,,,1,4.68,开放申购,开放赎回,,,,
2022-04-27,1.7831,2.0831,,,1,4.13,开放申购,开放赎回,,,,
2022-04-26,1.7123,2.0123,,,1,-4.20,开放申购,开放赎回,,,,
2022-04-25,1.7874,2.0874,,,1,-6.00,开放申购,开放赎回,,,,
2022-04-22,1.9014,2.2014,,,1,0.62,开放申购,开放赎回,,,,
2022-04-21,1.8896,2.1896,,,1,-1.62,开放申购,开放赎回,,,,
2022-04-20,1.9207,2.2207,,,1,-4.79,开放申购,开放赎回,,,,
2022-04-19,2.0173,2.3173,,,1,2.46,开放申购,开放赎回,,,,
2022-04-18,1.9689,2.2689,,,1,-3.47,开放申购,开放赎回,,,,
2022-04-15,2.0396,2.3396,,,1,-2.13,开放申购,开放赎回,,,,
2022-04-14,2.0839,2.3839,,,1,4.73,开放申购,开放赎回,,,,
2022-04-13,1.9897,2.2897,,,1,3.66,开放申购,开放赎回,,,,
2022-04-12,1.9194,2.2194,,,1,0.61,开放申购,开放赎回,,,,
2022-04-11,1.9078,2.2078,,,1,-1.78,开放申购,开放赎回,,,,
2022-04-08,1.9423,2.2423,,,1,1.30,开放申购,开放赎回,,,,
2022-04-07,1.9174,2.2174,,,1,0.33,开放申购,开放赎回,,,,
2022-04-06,1.9110,2.2110,,,1,-1.13,开放申购,开放赎回,,,,
2022-04-01,1.9329,2.2329,,,1,-0.32,开放申购,开放赎回,,,,
2022-03-31,1.9392,2.2392,,,1,1.80,开放申购,开放赎回,,,,
2022-03-30,1.9050,2.2050,,,1,-2.39,开放申购,开放赎回,,,,
2022-03-29,1.9516,2.2516,,,1,1.37,开放申购,开放赎回,,,,
2022-03-28,1.9252,2.2252,,,1,2.52,开放申购,开放赎回,,,,
2022-03-25,1.8778,2.1778,,,1,-0.62,开放申购,开放赎回,,,,
2022-03-24,1.8896,2.1896,,,1,0.90,开放申购,开放赎回,,,,
2022-03-23,1.8728,2.1728,,,1,-0.45,开放申购,开放赎回,,,,
2022-03-22,1.8812,2.1812,,,1,3.02,开放申购,开放赎回,,,,
2022-03-21,1.8261,2.1261,,,1,2.46,开放申购,开放赎回,,,,
2022-03-18,1.7823,2.0823,,,1,4.59,开放申购,开放赎回,,,,
2022-03-17,1.7041,2.0041,,,1,1.87,开放申购,开放赎回,,,,
2022-03-16,1.6728,1.9728,,,1,2.21,开放申购,开放赎回,,,,
2022-03-15,1.6367,1.9367,,,1,-7.32,开放申购,开放赎回,,,,
2022-03-14,1.7659,2.0659,,,1,-3.45,开放申购,开放赎回,,,,
2022-03-11,1.8290,2.1290,,,1,0.02,开放申购,开放赎回,,,,
2022-03-10,1.8286,2.1286,,,1,0.33,开放申购,开放赎回,,,,
2022-03-09,1.8225,2.1225,,,1,1.81,开放申购,开放赎回,,,,
2022-03-08,1.7901,2.0901,,,1,-5.10,开放申购,开放赎回,,,,
2022-03-07,1.8863,2.1863,,,1,0.04,开放申购,开放赎回,,,,
2022-03-04,1.8856,2.1856,,,1,0.31,开放申购,开放赎回,,,,
2022-03-03,1.8797,2.1797,,,1,2.41,开放申购,开放赎回,,,,
2022-03-02,1.8355,2.1355,,,1,2.11,开放申购,开放赎回,,,,
2022-03-01,1.7975,2.0975,,,1,2.33,开放申购,开放赎回,,,,
2022-02-28,1.7565,2.0565,,,1,2.13,开放申购,开放赎回,,,,
2022-02-25,1.7198,2.0198,,,1,-2.21,开放申购,开放赎回,,,,
2022-02-24,1.7587,2.0587,,,1,-1.29,开放申购,开放赎回,,,,
2022-02-23,1.7817,2.0817,,,1,-1.13,开放申购,开放赎回,,,,
2022-02-22,1.8021,2.1021,,,1,0.29,开放申购,开放赎回,,,,
2022-02-21,1.7968,2.0968,,,1,2.25,开放申购,开放赎回,,,,
