FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.8547,2.1547,,,1,0.12,开放申购,开放赎回,,,,
2022-04-28,1.8524,2.1524,,,1,4.68,开放申购,开放赎回,,,,
2022-04-27,1.7695,2.0695,,,1,4.13,开放申购,开放赎回,,,,
2022-04-26,1.6993,1.9993,,,1,-4.21,开放申购,开放赎回,,,,
2022-04-25,1.7739,2.0739,,,1,-5.99,开放申购,开放赎回,,,,
2022-04-22,1.8870,2.1870,,,1,0.62,开放申购,开放赎回,,,,
2022-04-21,1.8753,2.1753,,,1,-1.62,开放申购,开放赎回,,,,
2022-04-20,1.9062,2.2062,,,1,-4.79,开放申购,开放赎回,,,,
2022-04-19,2.0020,2.3020,,,1,2.46,开放申购,开放赎回,,,,
2022-04-18,1.9540,2.2540,,,1,-3.47,开放申购,开放赎回,,,,
2022-04-15,2.0243,2.3243,,,1,-2.12,开放申购,开放赎回,,,,
2022-04-14,2.0682,2.3682,,,1,4.73,开放申购,开放赎回,,,,
2022-04-13,1.9748,2.2748,,,1,3.66,开放申购,开放赎回,,,,
2022-04-12,1.9051,2.2051,,,1,0.61,开放申购,开放赎回,,,,
2022-04-11,1.8935,2.1935,,,1,-1.78,开放申购,开放赎回,,,,
2022-04-08,1.9278,2.2278,,,1,1.30,开放申购,开放赎回,,,,
2022-04-07,1.9031,2.2031,,,1,0.33,开放申购,开放赎回,,,,
2022-04-06,1.8968,2.1968,,,1,-1.14,开放申购,开放赎回,,,,
2022-04-01,1.9186,2.2186,,,1,-0.33,开放申购,开放赎回,,,,
2022-03-31,1.9249,2.2249,,,1,1.80,开放申购,开放赎回,,,,
2022-03-30,1.8909,2.1909,,,1,-2.39,开放申购,开放赎回,,,,
2022-03-29,1.9372,2.2372,,,1,1.37,开放申购,开放赎回,,,,
2022-03-28,1.9110,2.2110,,,1,2.52,开放申购,开放赎回,,,,
2022-03-25,1.8640,2.1640,,,1,-0.62,开放申购,开放赎回,,,,
2022-03-24,1.8757,2.1757,,,1,0.90,开放申购,开放赎回,,,,
2022-03-23,1.8590,2.1590,,,1,-0.45,开放申购,开放赎回,,,,
2022-03-22,1.8674,2.1674,,,1,3.02,开放申购,开放赎回,,,,
2022-03-21,1.8127,2.1127,,,1,2.45,开放申购,开放赎回,,,,
2022-03-18,1.7693,2.0693,,,1,4.59,开放申购,开放赎回,,,,
2022-03-17,1.6917,1.9917,,,1,1.87,开放申购,开放赎回,,,,
2022-03-16,1.6606,1.9606,,,1,2.20,开放申购,开放赎回,,,,
2022-03-15,1.6248,1.9248,,,1,-7.31,开放申购,开放赎回,,,,
2022-03-14,1.7530,2.0530,,,1,-3.45,开放申购,开放赎回,,,,
2022-03-11,1.8157,2.1157,,,1,0.02,开放申购,开放赎回,,,,
2022-03-10,1.8154,2.1154,,,1,0.33,开放申购,开放赎回,,,,
2022-03-09,1.8094,2.1094,,,1,1.81,开放申购,开放赎回,,,,
2022-03-08,1.7772,2.0772,,,1,-5.10,开放申购,开放赎回,,,,
2022-03-07,1.8728,2.1728,,,1,0.04,开放申购,开放赎回,,,,
2022-03-04,1.8721,2.1721,,,1,0.32,开放申购,开放赎回,,,,
2022-03-03,1.8662,2.1662,,,1,2.41,开放申购,开放赎回,,,,
2022-03-02,1.8223,2.1223,,,1,2.11,开放申购,开放赎回,,,,
2022-03-01,1.7846,2.0846,,,1,2.33,开放申购,开放赎回,,,,
2022-02-28,1.7439,2.0439,,,1,2.13,开放申购,开放赎回,,,,
2022-02-25,1.7075,2.0075,,,1,-2.21,开放申购,开放赎回,,,,
