FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.5922,1.9238,,,1,2.13,暂停申购,暂停赎回,,,,
2022-04-28,1.5590,1.8906,,,1,2.14,暂停申购,暂停赎回,,,,
2022-04-27,1.5263,1.8579,,,1,0.26,开放申购,开放赎回,,,,
2022-04-26,1.5223,1.8539,,,1,0.80,开放申购,开放赎回,,,,
2022-04-25,1.5102,1.8418,,,1,-3.83,开放申购,开放赎回,,,,
2022-04-22,1.5704,1.9020,,,1,1.78,开放申购,开放赎回,,,,
2022-04-21,1.5430,1.8746,,,1,-1.07,开放申购,开放赎回,,,,
2022-04-20,1.5597,1.8913,,,1,-3.04,开放申购,开放赎回,,,,
2022-04-19,1.6086,1.9402,,,1,-0.44,开放申购,开放赎回,,,,
2022-04-18,1.6157,1.9473,,,1,-1.60,暂停申购,暂停赎回,,,,
2022-04-15,1.6419,1.9735,,,1,0.35,暂停申购,暂停赎回,,,,
2022-04-14,1.6361,1.9677,,,1,2.17,开放申购,开放赎回,,,,
2022-04-13,1.6014,1.9330,,,1,0.65,开放申购,开放赎回,,,,
2022-04-12,1.5910,1.9226,,,1,-0.80,开放申购,开放赎回,,,,
2022-04-11,1.6039,1.9355,,,1,-1.82,开放申购,开放赎回,,,,
2022-04-08,1.6336,1.9652,,,1,2.04,开放申购,开放赎回,,,,
2022-04-07,1.6009,1.9325,,,1,-1.51,开放申购,开放赎回,,,,
2022-04-06,1.6254,1.9570,,,1,3.18,开放申购,开放赎回,,,,
2022-04-01,1.5753,1.9069,,,1,1.34,暂停申购,暂停赎回,,,,
2022-03-31,1.5544,1.8860,,,1,0.12,暂停申购,暂停赎回,,,,
2022-03-30,1.5525,1.8841,,,1,3.29,开放申购,开放赎回,,,,
2022-03-29,1.5030,1.8346,,,1,-0.62,开放申购,开放赎回,,,,
2022-03-28,1.5124,1.8440,,,1,0.70,开放申购,开放赎回,,,,
2022-03-25,1.5019,1.8335,,,1,-0.94,开放申购,开放赎回,,,,
2022-03-24,1.5161,1.8477,,,1,-0.59,开放申购,开放赎回,,,,
2022-03-23,1.5251,1.8567,,,1,0.45,开放申购,开放赎回,,,,
2022-03-22,1.5182,1.8498,,,1,2.11,开放申购,开放赎回,,,,
2022-03-21,1.4869,1.8185,,,1,-1.56,开放申购,开放赎回,,,,
2022-03-18,1.5104,1.8420,,,1,3.01,开放申购,开放赎回,,,,
2022-03-17,1.4663,1.7979,,,1,4.22,开放申购,开放赎回,,,,
2022-03-16,1.4069,1.7385,,,1,5.31,开放申购,开放赎回,,,,
2022-03-15,1.3359,1.6675,,,1,-7.33,开放申购,开放赎回,,,,
2022-03-14,1.4415,1.7731,,,1,-3.53,开放申购,开放赎回,,,,
2022-03-11,1.4942,1.8258,,,1,-0.57,开放申购,开放赎回,,,,
2022-03-10,1.5027,1.8343,,,1,0.33,开放申购,开放赎回,,,,
2022-03-09,1.4978,1.8294,,,1,-1.45,开放申购,开放赎回,,,,
2022-03-08,1.5199,1.8515,,,1,-2.55,开放申购,开放赎回,,,,
2022-03-07,1.5597,1.8913,,,1,-1.12,开放申购,开放赎回,,,,
2022-03-04,1.5774,1.9090,,,1,-0.80,开放申购,开放赎回,,,,
2022-03-03,1.5902,1.9218,,,1,1.52,开放申购,开放赎回,,,,
2022-03-02,1.5664,1.8980,,,1,-0.32,开放申购,开放赎回,,,,
2022-03-01,1.5715,1.9031,,,1,1.24,开放申购,开放赎回,,,,
2022-02-28,1.5522,1.8838,,,1,0.07,开放申购,开放赎回,,,,
2022-02-25,1.5511,1.8827,,,1,-0.61,开放申购,开放赎回,,,,
2022-02-24,1.5606,1.8922,,,1,-2.32,开放申购,开放赎回,,,,
2022-02-23,1.5976,1.9292,,,1,-0.70,开放申购,开放赎回,,,,
2022-02-22,1.6088,1.9404,,,1,-0.84,开放申购,开放赎回,,,,
2022-02-21,1.6225,1.9541,,,1,0.06,开放申购,开放赎回,,,,
2022-02-18,1.6215,1.9531,,,1,2.14,开放申购,开放赎回,,,,
2022-02-17,1.5875,1.9191,,,1,-0.69,开放申购,开放赎回,,,,
2022-02-16,1.5986,1.9302,,,1,1.16,开放申购,开放赎回,,,,
2022-02-15,1.5803,1.9119,,,1,-0.25,开放申购,开放赎回,,,,
2022-02-14,1.5843,1.9159,,,1,-2.58,开放申购,开放赎回,,,,
2022-02-11,1.6262,1.9578,,,1,0.36,开放申购,开放赎回,,,,
2022-02-10,1.6204,1.9520,,,1,1.28,开放申购,开放赎回,,,,
