FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.7970,1.2520,,,1,0.17,开放申购,开放赎回,,,,
2022-04-28,1.7940,1.2500,,,1,4.79,开放申购,开放赎回,,,,
2022-04-27,1.7120,1.1930,,,1,4.20,开放申购,开放赎回,,,,
2022-04-26,1.6430,1.1450,,,1,-4.37,开放申购,开放赎回,,,,
2022-04-25,1.7180,1.1970,,,1,-6.32,开放申购,开放赎回,,,,
2022-04-22,1.8340,1.2780,,,1,0.66,开放申购,开放赎回,,,,
2022-04-21,1.8220,1.2690,,,1,-1.73,开放申购,开放赎回,,,,
2022-04-20,1.8540,1.2920,,,1,-5.17,开放申购,开放赎回,,,,
2022-04-19,1.9550,1.3620,,,1,2.52,开放申购,开放赎回,,,,
2022-04-18,1.9070,1.3290,,,1,-3.54,开放申购,开放赎回,,,,
2022-04-15,1.9770,1.3770,,,1,-2.08,开放申购,开放赎回,,,,
2022-04-14,2.0190,1.4070,,,1,4.77,开放申购,开放赎回,,,,
2022-04-13,1.9270,1.3430,,,1,3.71,开放申购,开放赎回,,,,
2022-04-12,1.8580,1.2950,,,1,0.65,开放申购,开放赎回,,,,
2022-04-11,1.8460,1.2860,,,1,-1.86,开放申购,开放赎回,,,,
2022-04-08,1.8810,1.3110,,,1,1.35,开放申购,开放赎回,,,,
2022-04-07,1.8560,1.2930,,,1,0.38,开放申购,开放赎回,,,,
2022-04-06,1.8490,1.2880,,,1,-1.18,开放申购,开放赎回,,,,
2022-04-01,1.8710,1.3040,,,1,-0.37,开放申购,开放赎回,,,,
2022-03-31,1.8780,1.3080,,,1,1.84,开放申购,开放赎回,,,,
2022-03-30,1.8440,1.2850,,,1,-2.43,开放申购,开放赎回,,,,
2022-03-29,1.8900,1.3170,,,1,1.39,开放申购,开放赎回,,,,
2022-03-28,1.8640,1.2990,,,1,2.59,开放申购,开放赎回,,,,
2022-03-25,1.8170,1.2660,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-24,1.8290,1.2740,,,1,0.94,开放申购,开放赎回,,,,
2022-03-23,1.8120,1.2620,,,1,-0.44,开放申购,开放赎回,,,,
2022-03-22,1.8200,1.2680,,,1,3.06,开放申购,开放赎回,,,,
2022-03-21,1.7660,1.2300,,,1,2.44,开放申购,开放赎回,,,,
2022-03-18,1.7240,1.2010,,,1,4.42,开放申购,开放赎回,,,,
2022-03-17,1.6510,1.1500,,,1,1.85,开放申购,开放赎回,,,,
2022-03-16,1.6210,1.1290,,,1,2.27,开放申购,开放赎回,,,,
