FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,2.4470,2.4470,,,1,2.17,开放申购,开放赎回,,,,
2022-04-28,2.3950,2.3950,,,1,2.83,开放申购,开放赎回,,,,
2022-04-27,2.3290,2.3290,,,1,0.60,开放申购,开放赎回,,,,
2022-04-26,2.3150,2.3150,,,1,0.13,开放申购,开放赎回,,,,
2022-04-25,2.3120,2.3120,,,1,-4.38,开放申购,开放赎回,,,,
2022-04-22,2.4180,2.4180,,,1,2.03,开放申购,开放赎回,,,,
2022-04-21,2.3700,2.3700,,,1,-2.19,开放申购,开放赎回,,,,
2022-04-20,2.4230,2.4230,,,1,-4.68,开放申购,开放赎回,,,,
2022-04-19,2.5420,2.5420,,,1,0.91,开放申购,开放赎回,,,,
2022-04-18,2.5190,2.5190,,,1,-2.63,开放申购,开放赎回,,,,
2022-04-15,2.5870,2.5870,,,1,-0.54,开放申购,开放赎回,,,,
2022-04-14,2.6010,2.6010,,,1,2.68,开放申购,开放赎回,,,,
2022-04-13,2.5330,2.5330,,,1,2.05,开放申购,开放赎回,,,,
2022-04-12,2.4820,2.4820,,,1,-1.43,开放申购,开放赎回,,,,
2022-04-11,2.5180,2.5180,,,1,-2.10,开放申购,开放赎回,,,,
2022-04-08,2.5720,2.5720,,,1,2.43,开放申购,开放赎回,,,,
2022-04-07,2.5110,2.5110,,,1,-2.33,开放申购,开放赎回,,,,
2022-04-06,2.5710,2.5710,,,1,1.58,开放申购,开放赎回,,,,
2022-04-01,2.5310,2.5310,,,1,2.43,开放申购,开放赎回,,,,
2022-03-31,2.4710,2.4710,,,1,-0.80,开放申购,开放赎回,,,,
2022-03-30,2.4910,2.4910,,,1,2.98,开放申购,开放赎回,,,,
2022-03-29,2.4190,2.4190,,,1,-0.78,开放申购,开放赎回,,,,
2022-03-28,2.4380,2.4380,,,1,0.79,开放申购,开放赎回,,,,
2022-03-25,2.4190,2.4190,,,1,-0.53,开放申购,开放赎回,,,,
2022-03-24,2.4320,2.4320,,,1,0.66,开放申购,开放赎回,,,,
2022-03-23,2.4160,2.4160,,,1,0.92,开放申购,开放赎回,,,,
2022-03-22,2.3940,2.3940,,,1,2.79,开放申购,开放赎回,,,,
2022-03-21,2.3290,2.3290,,,1,-0.94,开放申购,开放赎回,,,,
2022-03-18,2.3510,2.3510,,,1,4.16,开放申购,开放赎回,,,,
2022-03-17,2.2570,2.2570,,,1,3.15,开放申购,开放赎回,,,,
2022-03-16,2.1880,2.1880,,,1,3.01,开放申购,开放赎回,,,,
2022-03-15,2.1240,2.1240,,,1,-8.17,开放申购,开放赎回,,,,
2022-03-14,2.3130,2.3130,,,1,-2.12,开放申购,开放赎回,,,,
2022-03-11,2.3630,2.3630,,,1,0.00,开放申购,开放赎回,,,,
2022-03-10,2.3630,2.3630,,,1,-0.46,开放申购,开放赎回,,,,
2022-03-09,2.3740,2.3740,,,1,-1.94,开放申购,开放赎回,,,,
2022-03-08,2.4210,2.4210,,,1,-2.58,开放申购,开放赎回,,,,
2022-03-07,2.4850,2.4850,,,1,1.18,开放申购,开放赎回,,,,
2022-03-04,2.4560,2.4560,,,1,-1.21,开放申购,开放赎回,,,,
2022-03-03,2.4860,2.4860,,,1,1.97,开放申购,开放赎回,,,,
2022-03-02,2.4380,2.4380,,,1,0.58,开放申购,开放赎回,,,,
2022-03-01,2.4240,2.4240,,,1,1.08,开放申购,开放赎回,,,,
2022-02-28,2.3980,2.3980,,,1,0.80,开放申购,开放赎回,,,,
2022-02-25,2.3790,2.3790,,,1,-0.88,开放申购,开放赎回,,,,
