净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,3.846,3.846,2.67%,限制大额申购,开放赎回,
2022-03-29,3.746,3.746,-0.66%,限制大额申购,开放赎回,
2022-03-28,3.771,3.771,0.27%,限制大额申购,开放赎回,
2022-03-25,3.761,3.761,-0.82%,限制大额申购,开放赎回,
2022-03-24,3.792,3.792,-0.60%,限制大额申购,开放赎回,
2022-03-23,3.815,3.815,0.16%,限制大额申购,开放赎回,
2022-03-22,3.809,3.809,1.84%,限制大额申购,开放赎回,
2022-03-21,3.74,3.74,-0.51%,限制大额申购,开放赎回,
2022-03-18,3.759,3.759,2.87%,限制大额申购,开放赎回,
2022-03-17,3.654,3.654,1.92%,限制大额申购,开放赎回,
2022-03-16,3.585,3.585,2.81%,限制大额申购,开放赎回,
2022-03-15,3.487,3.487,-5.30%,限制大额申购,开放赎回,
2022-03-14,3.682,3.682,-2.05%,限制大额申购,开放赎回,
2022-03-11,3.759,3.759,-0.13%,限制大额申购,开放赎回,
2022-03-10,3.764,3.764,0.59%,限制大额申购,开放赎回,
2022-03-09,3.742,3.742,-1.29%,限制大额申购,开放赎回,
2022-03-08,3.791,3.791,-2.24%,限制大额申购,开放赎回,
2022-03-07,3.878,3.878,-0.79%,限制大额申购,开放赎回,
2022-03-04,3.909,3.909,-0.79%,限制大额申购,开放赎回,
2022-03-03,3.94,3.94,0.72%,限制大额申购,开放赎回,
2021-12-28,3.88,3.88,-0.08%,限制大额申购,开放赎回,
2021-12-27,3.883,3.883,0.44%,限制大额申购,开放赎回,
2021-12-24,3.866,3.866,-0.39%,限制大额申购,开放赎回,
2021-12-23,3.881,3.881,0.36%,限制大额申购,开放赎回,
2021-12-22,3.867,3.867,0.47%,限制大额申购,开放赎回,
2021-12-21,3.849,3.849,1.96%,限制大额申购,开放赎回,
2021-12-20,3.775,3.775,-0.16%,限制大额申购,开放赎回,
2021-12-17,3.781,3.781,-0.87%,限制大额申购,开放赎回,
2021-12-16,3.814,3.814,0.90%,限制大额申购,开放赎回,
2021-12-15,3.78,3.78,0.13%,限制大额申购,开放赎回,
2021-12-14,3.775,3.775,-1.15%,限制大额申购,开放赎回,
2021-12-13,3.819,3.819,0.82%,限制大额申购,开放赎回,
2021-12-10,3.788,3.788,-0.60%,限制大额申购,开放赎回,
2021-12-09,3.811,3.811,1.28%,限制大额申购,开放赎回,
2021-12-08,3.763,3.763,0.37%,限制大额申购,开放赎回,
2021-12-07,3.749,3.749,1.49%,限制大额申购,开放赎回,
2021-12-06,3.694,3.694,0.54%,限制大额申购,开放赎回,
2021-12-03,3.674,3.674,1.27%,限制大额申购,开放赎回,
2021-12-02,3.628,3.628,0.30%,限制大额申购,开放赎回,
2021-12-01,3.617,3.617,0.89%,限制大额申购,开放赎回,
