FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,3.8920,3.8920,,,1,1.33,限制大额申购,开放赎回,,,,
2022-04-28,3.8410,3.8410,,,1,2.37,限制大额申购,开放赎回,,,,
2022-04-27,3.7520,3.7520,,,1,0.83,限制大额申购,开放赎回,,,,
2022-04-26,3.7210,3.7210,,,1,0.70,限制大额申购,开放赎回,,,,
2022-04-25,3.6950,3.6950,,,1,-3.52,限制大额申购,开放赎回,,,,
2022-04-22,3.8300,3.8300,,,1,1.59,限制大额申购,开放赎回,,,,
2022-04-21,3.7700,3.7700,,,1,-1.23,限制大额申购,开放赎回,,,,
2022-04-20,3.8170,3.8170,,,1,-2.48,限制大额申购,开放赎回,,,,
2022-04-19,3.9140,3.9140,,,1,0.15,限制大额申购,开放赎回,,,,
2022-04-18,3.9080,3.9080,,,1,-1.44,限制大额申购,开放赎回,,,,
2022-04-15,3.9650,3.9650,,,1,0.89,限制大额申购,开放赎回,,,,
2022-04-14,3.9300,3.9300,,,1,1.31,限制大额申购,开放赎回,,,,
2022-04-13,3.8790,3.8790,,,1,-0.36,限制大额申购,开放赎回,,,,
2022-04-12,3.8930,3.8930,,,1,-0.74,限制大额申购,开放赎回,,,,
2022-04-11,3.9220,3.9220,,,1,-1.63,限制大额申购,开放赎回,,,,
2022-04-08,3.9870,3.9870,,,1,1.63,限制大额申购,开放赎回,,,,
2022-04-07,3.9230,3.9230,,,1,-1.73,限制大额申购,开放赎回,,,,
2022-04-06,3.9920,3.9920,,,1,2.41,限制大额申购,开放赎回,,,,
2022-04-01,3.8980,3.8980,,,1,1.19,限制大额申购,开放赎回,,,,
2022-03-31,3.8520,3.8520,,,1,0.68,限制大额申购,开放赎回,,,,
2022-03-30,3.8260,3.8260,,,1,2.68,限制大额申购,开放赎回,,,,
2022-03-29,3.7260,3.7260,,,1,-0.67,限制大额申购,开放赎回,,,,
2022-03-28,3.7510,3.7510,,,1,0.27,限制大额申购,开放赎回,,,,
2022-03-25,3.7410,3.7410,,,1,-0.82,限制大额申购,开放赎回,,,,
2022-03-24,3.7720,3.7720,,,1,-0.61,限制大额申购,开放赎回,,,,
2022-03-23,3.7950,3.7950,,,1,0.16,限制大额申购,开放赎回,,,,
2022-03-22,3.7890,3.7890,,,1,1.85,限制大额申购,开放赎回,,,,
