FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8697,0.8697,,,1,1.83,开放申购,开放赎回,,,,
2022-04-28,0.8541,0.8541,,,1,2.12,开放申购,开放赎回,,,,
2022-04-27,0.8364,0.8364,,,1,3.55,开放申购,开放赎回,,,,
2022-04-26,0.8077,0.8077,,,1,1.53,开放申购,开放赎回,,,,
2022-04-25,0.7955,0.7955,,,1,-3.90,开放申购,开放赎回,,,,
2022-04-22,0.8278,0.8278,,,1,1.51,开放申购,开放赎回,,,,
2022-04-21,0.8155,0.8155,,,1,-3.03,开放申购,开放赎回,,,,
2022-04-20,0.8410,0.8410,,,1,-3.44,开放申购,开放赎回,,,,
2022-04-19,0.8710,0.8710,,,1,1.14,开放申购,开放赎回,,,,
2022-04-18,0.8612,0.8612,,,1,-1.59,开放申购,开放赎回,,,,
2022-04-15,0.8751,0.8751,,,1,-1.69,开放申购,开放赎回,,,,
2022-04-14,0.8901,0.8901,,,1,1.31,开放申购,开放赎回,,,,
2022-04-13,0.8786,0.8786,,,1,-2.52,开放申购,开放赎回,,,,
2022-04-12,0.9013,0.9013,,,1,-0.08,开放申购,开放赎回,,,,
2022-04-11,0.9020,0.9020,,,1,-0.47,开放申购,开放赎回,,,,
2022-04-08,0.9063,0.9063,,,1,3.87,开放申购,开放赎回,,,,
2022-04-07,0.8725,0.8725,,,1,-1.00,开放申购,开放赎回,,,,
2022-04-06,0.8813,0.8813,,,1,3.51,开放申购,开放赎回,,,,
2022-04-01,0.8514,0.8514,,,1,0.04,开放申购,开放赎回,,,,
2022-03-31,0.8511,0.8511,,,1,-0.30,开放申购,开放赎回,,,,
2022-03-30,0.8537,0.8537,,,1,2.65,开放申购,开放赎回,,,,
2022-03-29,0.8317,0.8317,,,1,-0.94,开放申购,开放赎回,,,,
2022-03-28,0.8396,0.8396,,,1,1.36,开放申购,开放赎回,,,,
2022-03-25,0.8283,0.8283,,,1,-0.97,开放申购,开放赎回,,,,
2022-03-24,0.8364,0.8364,,,1,-1.34,开放申购,开放赎回,,,,
2022-03-23,0.8478,0.8478,,,1,0.59,开放申购,开放赎回,,,,
2022-03-22,0.8428,0.8428,,,1,0.79,开放申购,开放赎回,,,,
2022-03-21,0.8362,0.8362,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-18,0.8368,0.8368,,,1,2.83,开放申购,开放赎回,,,,
2022-03-17,0.8138,0.8138,,,1,1.03,开放申购,开放赎回,,,,
2022-03-16,0.8055,0.8055,,,1,2.25,开放申购,开放赎回,,,,
2022-03-15,0.7878,0.7878,,,1,-6.26,开放申购,开放赎回,,,,
2022-03-14,0.8404,0.8404,,,1,-2.42,开放申购,开放赎回,,,,
2022-03-11,0.8612,0.8612,,,1,-1.57,开放申购,开放赎回,,,,
2022-03-10,0.8749,0.8749,,,1,0.86,开放申购,开放赎回,,,,
2022-03-09,0.8674,0.8674,,,1,-0.72,开放申购,开放赎回,,,,
2022-03-08,0.8737,0.8737,,,1,-2.06,开放申购,开放赎回,,,,
2022-03-07,0.8921,0.8921,,,1,0.41,开放申购,开放赎回,,,,
2022-03-04,0.8885,0.8885,,,1,-1.68,开放申购,开放赎回,,,,
2022-03-03,0.9037,0.9037,,,1,1.46,开放申购,开放赎回,,,,
2022-03-02,0.8907,0.8907,,,1,-0.25,开放申购,开放赎回,,,,
2022-03-01,0.8929,0.8929,,,1,1.34,开放申购,开放赎回,,,,
2022-02-28,0.8811,0.8811,,,1,-0.07,开放申购,开放赎回,,,,
2022-02-25,0.8817,0.8817,,,1,-0.38,开放申购,开放赎回,,,,
2022-02-24,0.8851,0.8851,,,1,-3.10,开放申购,开放赎回,,,,
2022-02-23,0.9134,0.9134,,,1,-0.34,开放申购,开放赎回,,,,
2022-02-22,0.9165,0.9165,,,1,-2.31,开放申购,开放赎回,,,,
2022-02-21,0.9382,0.9382,,,1,-0.78,开放申购,开放赎回,,,,
2022-02-18,0.9456,0.9456,,,1,1.79,开放申购,开放赎回,,,,
2022-02-17,0.9290,0.9290,,,1,-0.83,开放申购,开放赎回,,,,
2022-02-16,0.9368,0.9368,,,1,2.15,开放申购,开放赎回,,,,
2022-02-15,0.9171,0.9171,,,1,0.46,开放申购,开放赎回,,,,
2022-02-14,0.9129,0.9129,,,1,-1.75,开放申购,开放赎回,,,,
2022-02-11,0.9292,0.9292,,,1,-1.45,开放申购,开放赎回,,,,
2022-02-10,0.9429,0.9429,,,1,1.22,开放申购,开放赎回,,,,
2022-02-09,0.9315,0.9315,,,1,-0.47,开放申购,开放赎回,,,,
2022-02-08,0.9359,0.9359,,,1,1.47,开放申购,开放赎回,,,,
2022-02-07,0.9223,0.9223,,,1,5.82,开放申购,开放赎回,,,,
2022-01-28,0.8716,0.8716,,,1,-1.88,开放申购,开放赎回,,,,
2022-01-27,0.8883,0.8883,,,1,-0.70,开放申购,开放赎回,,,,
2022-01-26,0.8946,0.8946,,,1,1.53,开放申购,开放赎回,,,,
2022-01-25,0.8811,0.8811,,,1,-3.41,开放申购,开放赎回,,,,
2022-01-24,0.9122,0.9122,,,1,0.87,开放申购,开放赎回,,,,
2022-01-21,0.9043,0.9043,,,1,-2.22,开放申购,开放赎回,,,,
