FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8645,0.8645,,,1,1.83,开放申购,开放赎回,,,,
2022-04-28,0.8490,0.8490,,,1,2.12,开放申购,开放赎回,,,,
2022-04-27,0.8314,0.8314,,,1,3.55,开放申购,开放赎回,,,,
2022-04-26,0.8029,0.8029,,,1,1.53,开放申购,开放赎回,,,,
2022-04-25,0.7908,0.7908,,,1,-3.91,开放申购,开放赎回,,,,
2022-04-22,0.8230,0.8230,,,1,1.52,开放申购,开放赎回,,,,
2022-04-21,0.8107,0.8107,,,1,-3.03,开放申购,开放赎回,,,,
2022-04-20,0.8360,0.8360,,,1,-3.45,开放申购,开放赎回,,,,
2022-04-19,0.8659,0.8659,,,1,1.14,开放申购,开放赎回,,,,
2022-04-18,0.8561,0.8561,,,1,-1.60,开放申购,开放赎回,,,,
2022-04-15,0.8700,0.8700,,,1,-1.68,开放申购,开放赎回,,,,
2022-04-14,0.8849,0.8849,,,1,1.31,开放申购,开放赎回,,,,
2022-04-13,0.8735,0.8735,,,1,-2.51,开放申购,开放赎回,,,,
2022-04-12,0.8960,0.8960,,,1,-0.08,开放申购,开放赎回,,,,
2022-04-11,0.8967,0.8967,,,1,-0.48,开放申购,开放赎回,,,,
2022-04-08,0.9010,0.9010,,,1,3.86,开放申购,开放赎回,,,,
2022-04-07,0.8675,0.8675,,,1,-0.99,开放申购,开放赎回,,,,
2022-04-06,0.8762,0.8762,,,1,3.51,开放申购,开放赎回,,,,
2022-04-01,0.8465,0.8465,,,1,0.04,开放申购,开放赎回,,,,
2022-03-31,0.8462,0.8462,,,1,-0.31,开放申购,开放赎回,,,,
2022-03-30,0.8488,0.8488,,,1,2.65,开放申购,开放赎回,,,,
2022-03-29,0.8269,0.8269,,,1,-0.93,开放申购,开放赎回,,,,
2022-03-28,0.8347,0.8347,,,1,1.35,开放申购,开放赎回,,,,
2022-03-25,0.8236,0.8236,,,1,-0.96,开放申购,开放赎回,,,,
2022-03-24,0.8316,0.8316,,,1,-1.34,开放申购,开放赎回,,,,
2022-03-23,0.8429,0.8429,,,1,0.58,开放申购,开放赎回,,,,
2022-03-22,0.8380,0.8380,,,1,0.79,开放申购,开放赎回,,,,
2022-03-21,0.8314,0.8314,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-18,0.8320,0.8320,,,1,2.82,开放申购,开放赎回,,,,
2022-03-17,0.8092,0.8092,,,1,1.04,开放申购,开放赎回,,,,
2022-03-16,0.8009,0.8009,,,1,2.25,开放申购,开放赎回,,,,
2022-03-15,0.7833,0.7833,,,1,-6.26,开放申购,开放赎回,,,,
2022-03-14,0.8356,0.8356,,,1,-2.43,开放申购,开放赎回,,,,
2022-03-11,0.8564,0.8564,,,1,-1.56,开放申购,开放赎回,,,,
2022-03-10,0.8700,0.8700,,,1,0.87,开放申购,开放赎回,,,,
2022-03-09,0.8625,0.8625,,,1,-0.73,开放申购,开放赎回,,,,
2022-03-08,0.8688,0.8688,,,1,-2.06,开放申购,开放赎回,,,,
2022-03-07,0.8871,0.8871,,,1,0.41,开放申购,开放赎回,,,,
2022-03-04,0.8835,0.8835,,,1,-1.69,开放申购,开放赎回,,,,
2022-03-03,0.8987,0.8987,,,1,1.47,开放申购,开放赎回,,,,
2022-03-02,0.8857,0.8857,,,1,-0.25,开放申购,开放赎回,,,,
2022-03-01,0.8879,0.8879,,,1,1.34,开放申购,开放赎回,,,,
2022-02-28,0.8762,0.8762,,,1,-0.07,开放申购,开放赎回,,,,
2022-02-25,0.8768,0.8768,,,1,-0.39,开放申购,开放赎回,,,,
2022-02-24,0.8802,0.8802,,,1,-3.09,开放申购,开放赎回,,,,
2022-02-23,0.9083,0.9083,,,1,-0.34,开放申购,开放赎回,,,,
2022-02-22,0.9114,0.9114,,,1,-2.32,开放申购,开放赎回,,,,
2022-02-21,0.9330,0.9330,,,1,-0.78,开放申购,开放赎回,,,,
2022-02-18,0.9403,0.9403,,,1,1.79,开放申购,开放赎回,,,,
2022-02-17,0.9238,0.9238,,,1,-0.84,开放申购,开放赎回,,,,
2022-02-16,0.9316,0.9316,,,1,2.14,开放申购,开放赎回,,,,
2022-02-15,0.9121,0.9121,,,1,0.46,开放申购,开放赎回,,,,
2022-02-14,0.9079,0.9079,,,1,-1.75,开放申购,开放赎回,,,,
2022-02-11,0.9241,0.9241,,,1,-1.46,开放申购,开放赎回,,,,
2022-02-10,0.9378,0.9378,,,1,1.23,开放申购,开放赎回,,,,
2022-02-09,0.9264,0.9264,,,1,-0.47,开放申购,开放赎回,,,,
2022-02-08,0.9308,0.9308,,,1,1.47,开放申购,开放赎回,,,,
2022-02-07,0.9173,0.9173,,,1,5.81,开放申购,开放赎回,,,,
2022-01-28,0.8669,0.8669,,,1,-1.88,开放申购,开放赎回,,,,
2022-01-27,0.8835,0.8835,,,1,-0.70,开放申购,开放赎回,,,,
2022-01-26,0.8897,0.8897,,,1,1.52,开放申购,开放赎回,,,,
2022-01-25,0.8764,0.8764,,,1,-3.41,开放申购,开放赎回,,,,
2022-01-24,0.9073,0.9073,,,1,0.88,开放申购,开放赎回,,,,
2022-01-21,0.8994,0.8994,,,1,-2.22,开放申购,开放赎回,,,,
2022-01-20,0.9198,0.9198,,,1,0.69,开放申购,开放赎回,,,,
2022-01-19,0.9135,0.9135,,,1,0.64,开放申购,开放赎回,,,,
2022-01-18,0.9077,0.9077,,,1,4.01,开放申购,开放赎回,,,,
2022-01-17,0.8727,0.8727,,,1,0.47,开放申购,开放赎回,,,,
2022-01-14,0.8686,0.8686,,,1,-2.22,开放申购,开放赎回,,,,
2022-01-13,0.8883,0.8883,,,1,-1.50,开放申购,开放赎回,,,,
2022-01-12,0.9018,0.9018,,,1,-0.74,开放申购,开放赎回,,,,
2022-01-11,0.9085,0.9085,,,1,-1.14,开放申购,开放赎回,,,,
2022-01-10,0.9190,0.9190,,,1,0.37,开放申购,开放赎回,,,,
2022-01-07,0.9156,0.9156,,,1,1.29,开放申购,开放赎回,,,,
2022-01-06,0.9039,0.9039,,,1,4.00,开放申购,开放赎回,,,,
2022-01-05,0.8691,0.8691,,,1,-1.43,开放申购,开放赎回,,,,
2022-01-04,0.8817,0.8817,,,1,-0.01,开放申购,开放赎回,,,,
2021-12-31,0.8818,0.8818,,,1,1.00,开放申购,开放赎回,,,,
