FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.6876,1.6876,,,1,0.41,开放申购,开放赎回,,,,
2022-04-28,1.6807,1.6807,,,1,3.38,开放申购,开放赎回,,,,
2022-04-27,1.6258,1.6258,,,1,4.00,开放申购,开放赎回,,,,
2022-04-26,1.5632,1.5632,,,1,-5.48,开放申购,开放赎回,,,,
2022-04-25,1.6539,1.6539,,,1,-6.92,开放申购,开放赎回,,,,
2022-04-22,1.7769,1.7769,,,1,0.43,开放申购,开放赎回,,,,
2022-04-21,1.7693,1.7693,,,1,-1.61,开放申购,开放赎回,,,,
2022-04-20,1.7982,1.7982,,,1,-4.50,开放申购,开放赎回,,,,
2022-04-19,1.8829,1.8829,,,1,2.67,开放申购,开放赎回,,,,
2022-04-18,1.8340,1.8340,,,1,-3.59,开放申购,开放赎回,,,,
2022-04-15,1.9022,1.9022,,,1,-1.66,开放申购,开放赎回,,,,
2022-04-14,1.9344,1.9344,,,1,5.64,开放申购,开放赎回,,,,
2022-04-13,1.8311,1.8311,,,1,4.16,开放申购,开放赎回,,,,
2022-04-12,1.7580,1.7580,,,1,0.95,开放申购,开放赎回,,,,
2022-04-11,1.7414,1.7414,,,1,-2.34,开放申购,开放赎回,,,,
2022-04-08,1.7831,1.7831,,,1,0.91,开放申购,开放赎回,,,,
2022-04-07,1.7671,1.7671,,,1,0.28,开放申购,开放赎回,,,,
2022-04-06,1.7621,1.7621,,,1,-1.02,开放申购,开放赎回,,,,
2022-04-01,1.7802,1.7802,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-31,1.7816,1.7816,,,1,2.09,开放申购,开放赎回,,,,
2022-03-30,1.7452,1.7452,,,1,-2.17,开放申购,开放赎回,,,,
2022-03-29,1.7840,1.7840,,,1,1.22,开放申购,开放赎回,,,,
2022-03-28,1.7625,1.7625,,,1,1.80,开放申购,开放赎回,,,,
2022-03-25,1.7314,1.7314,,,1,-0.43,开放申购,开放赎回,,,,
2022-03-24,1.7389,1.7389,,,1,0.50,开放申购,开放赎回,,,,
2022-03-23,1.7302,1.7302,,,1,-0.53,开放申购,开放赎回,,,,
2022-03-22,1.7394,1.7394,,,1,2.68,开放申购,开放赎回,,,,
2022-03-21,1.6940,1.6940,,,1,2.01,开放申购,开放赎回,,,,
2022-03-18,1.6607,1.6607,,,1,5.17,开放申购,开放赎回,,,,
2022-03-17,1.5791,1.5791,,,1,2.36,开放申购,开放赎回,,,,
2022-03-16,1.5427,1.5427,,,1,1.93,开放申购,开放赎回,,,,
2022-03-15,1.5135,1.5135,,,1,-7.87,开放申购,开放赎回,,,,
2022-03-14,1.6428,1.6428,,,1,-3.72,开放申购,开放赎回,,,,
2022-03-11,1.7063,1.7063,,,1,-0.33,开放申购,开放赎回,,,,
2022-03-10,1.7119,1.7119,,,1,0.94,开放申购,开放赎回,,,,
2022-03-09,1.6960,1.6960,,,1,2.00,开放申购,开放赎回,,,,
2022-03-08,1.6627,1.6627,,,1,-4.81,开放申购,开放赎回,,,,
