FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.7831,1.4233,,,1,3.04,开放申购,开放赎回,,,,
2022-04-28,0.7600,1.4088,,,1,3.29,开放申购,开放赎回,,,,
2022-04-27,0.7358,1.3937,,,1,-2.92,开放申购,开放赎回,,,,
2022-04-26,0.7579,1.4075,,,1,0.12,开放申购,开放赎回,,,,
2022-04-25,0.7570,1.4069,,,1,-4.56,开放申购,开放赎回,,,,
2022-04-22,0.7932,1.4296,,,1,2.01,开放申购,开放赎回,,,,
2022-04-21,0.7776,1.4198,,,1,-1.02,开放申购,开放赎回,,,,
2022-04-20,0.7856,1.4248,,,1,-5.19,开放申购,开放赎回,,,,
2022-04-19,0.8286,1.4517,,,1,0.02,开放申购,开放赎回,,,,
2022-04-18,0.8284,1.4516,,,1,-4.13,开放申购,开放赎回,,,,
2022-04-15,0.8641,1.4740,,,1,1.33,开放申购,开放赎回,,,,
2022-04-14,0.8528,1.4669,,,1,3.78,开放申购,开放赎回,,,,
2022-04-13,0.8217,1.4474,,,1,0.64,开放申购,开放赎回,,,,
2022-04-12,0.8165,1.4442,,,1,-2.86,开放申购,开放赎回,,,,
2022-04-11,0.8405,1.4592,,,1,-2.69,开放申购,开放赎回,,,,
2022-04-08,0.8637,1.4737,,,1,2.19,开放申购,开放赎回,,,,
2022-04-07,0.8452,1.4621,,,1,-3.64,开放申购,开放赎回,,,,
2022-04-06,0.8771,1.4821,,,1,2.57,开放申购,开放赎回,,,,
2022-04-01,0.8551,1.4683,,,1,3.47,开放申购,开放赎回,,,,
2022-03-31,0.8264,1.4504,,,1,1.03,开放申购,开放赎回,,,,
2022-03-30,0.8180,1.4451,,,1,6.33,开放申购,开放赎回,,,,
2022-03-29,0.7693,1.4146,,,1,-1.67,开放申购,开放赎回,,,,
2022-03-28,0.7824,1.4228,,,1,2.07,开放申购,开放赎回,,,,
2022-03-25,0.7665,1.4129,,,1,-0.74,开放申购,开放赎回,,,,
2022-03-24,0.7722,1.4164,,,1,-0.92,开放申购,开放赎回,,,,
2022-03-23,0.7794,1.4209,,,1,2.71,开放申购,开放赎回,,,,
2022-03-22,0.7588,1.4081,,,1,3.52,开放申购,开放赎回,,,,
2022-03-21,0.7330,1.3919,,,1,-1.62,开放申购,开放赎回,,,,
2022-03-18,0.7451,1.3995,,,1,5.55,开放申购,开放赎回,,,,
2022-03-17,0.7059,1.3750,,,1,3.66,开放申购,开放赎回,,,,
2022-03-16,0.6810,1.3594,,,1,2.56,开放申购,开放赎回,,,,
2022-03-15,0.6640,1.3487,,,1,-8.19,开放申购,开放赎回,,,,
2022-03-14,0.7232,1.3858,,,1,-1.83,开放申购,开放赎回,,,,
2022-03-11,0.7367,1.3942,,,1,0.22,开放申购,开放赎回,,,,
2022-03-10,0.7351,1.3932,,,1,0.26,开放申购,开放赎回,,,,
2022-03-09,0.7332,1.3920,,,1,-3.73,开放申购,开放赎回,,,,
2022-03-08,0.7616,1.4098,,,1,-3.14,开放申购,开放赎回,,,,
2022-03-07,0.7863,1.4253,,,1,-0.32,开放申购,开放赎回,,,,
2022-03-04,0.7888,1.4268,,,1,-0.50,开放申购,开放赎回,,,,
2022-03-03,0.7928,1.4293,,,1,2.28,开放申购,开放赎回,,,,
2022-03-02,0.7751,1.4183,,,1,0.36,开放申购,开放赎回,,,,
2022-03-01,0.7723,1.4165,,,1,1.46,开放申购,开放赎回,,,,
2022-02-28,0.7612,1.4096,,,1,-0.73,开放申购,开放赎回,,,,
2022-02-25,0.7668,1.4131,,,1,-0.96,开放申购,开放赎回,,,,
2022-02-24,0.7742,1.4177,,,1,-1.46,开放申购,开放赎回,,,,
2022-02-23,0.7857,1.4249,,,1,-2.35,开放申购,开放赎回,,,,
2022-02-22,0.8046,1.4367,,,1,-0.47,开放申购,开放赎回,,,,
2022-02-21,0.8084,1.4391,,,1,0.81,开放申购,开放赎回,,,,
2022-02-18,0.8019,1.4350,,,1,3.99,开放申购,开放赎回,,,,
2022-02-17,0.7711,1.4158,,,1,-1.82,开放申购,开放赎回,,,,
2022-02-16,0.7854,1.4247,,,1,1.36,开放申购,开放赎回,,,,
2022-02-15,0.7749,1.4181,,,1,-1.03,开放申购,开放赎回,,,,
2022-02-14,0.7830,1.4232,,,1,-3.39,开放申购,开放赎回,,,,
2022-02-11,0.8105,1.4404,,,1,-0.15,开放申购,开放赎回,,,,
2022-02-10,0.8117,1.4412,,,1,2.14,开放申购,开放赎回,,,,
2022-02-09,0.7947,1.4305,,,1,-0.93,开放申购,开放赎回,,,,
2022-02-08,0.8022,1.4352,,,1,0.25,开放申购,开放赎回,,,,
2022-02-07,0.8002,1.4340,,,1,1.64,开放申购,开放赎回,,,,
2022-01-28,0.7873,1.4259,,,1,-0.51,开放申购,开放赎回,,,,
2022-01-27,0.7913,1.4284,,,1,-0.25,开放申购,开放赎回,,,,
2022-01-26,0.7933,1.4296,,,1,0.05,开放申购,开放赎回,,,,
2022-01-25,0.7929,1.4294,,,1,-2.93,开放申购,开放赎回,,,,
2022-01-24,0.8168,1.4444,,,1,0.42,开放申购,开放赎回,,,,
2022-01-21,0.8134,1.4422,,,1,-0.43,开放申购,开放赎回,,,,
2022-01-20,0.8169,1.4444,,,1,0.07,开放申购,开放赎回,,,,
2022-01-19,0.8163,1.4440,,,1,0.85,开放申购,开放赎回,,,,
2022-01-18,0.8094,1.4397,,,1,3.41,开放申购,开放赎回,,,,
2022-01-17,0.7827,1.4230,,,1,1.72,开放申购,开放赎回,,,,
2022-01-14,0.7695,1.4148,,,1,-3.12,开放申购,开放赎回,,,,
2022-01-13,0.7943,1.4303,,,1,-2.31,开放申购,开放赎回,,,,
2022-01-12,0.8131,1.4420,,,1,-0.83,开放申购,开放赎回,,,,
2022-01-11,0.8199,1.4463,,,1,0.10,开放申购,开放赎回,,,,
2022-01-10,0.8191,1.4458,,,1,1.29,开放申购,开放赎回,,,,
2022-01-07,0.8087,1.4393,,,1,3.12,开放申购,开放赎回,,,,
2022-01-06,0.7842,1.4240,,,1,-1.28,开放申购,开放赎回,,,,
2022-01-05,0.7944,1.4303,,,1,1.92,开放申购,开放赎回,,,,
2022-01-04,0.7794,1.4209,,,1,1.88,开放申购,开放赎回,,,,
2021-12-31,0.7650,1.4119,,,1,2.07,开放申购,开放赎回,,,,
2021-12-30,0.7495,1.4022,,,1,-0.49,开放申购,开放赎回,,,,
2021-12-29,0.7532,1.4046,,,1,-0.32,开放申购,开放赎回,,,,
2021-12-28,0.7556,1.4061,,,1,-0.09,开放申购,开放赎回,,,,
2021-12-27,0.7563,1.4065,,,1,1.68,开放申购,开放赎回,,,,
2021-12-24,0.7438,1.3987,,,1,0.32,开放申购,开放赎回,,,,
2021-12-23,0.7414,1.3972,,,1,-0.99,开放申购,开放赎回,,,,
2021-12-22,0.7488,1.4018,,,1,-0.89,开放申购,开放赎回,,,,
2021-12-21,0.7555,1.4060,,,1,4.22,开放申购,开放赎回,,,,
2021-12-20,0.7249,1.3868,,,1,0.35,开放申购,开放赎回,,,,
2021-12-17,0.7224,1.3853,,,1,-0.30,开放申购,开放赎回,,,,
2021-12-16,0.7246,1.3867,,,1,0.88,开放申购,开放赎回,,,,
2021-12-15,0.7183,1.3827,,,1,0.46,开放申购,开放赎回,,,,
2021-12-14,0.7150,1.3806,,,1,-1.92,开放申购,开放赎回,,,,
2021-12-13,0.7290,1.3894,,,1,-1.30,开放申购,开放赎回,,,,
2021-12-10,0.7386,1.3954,,,1,-1.70,开放申购,开放赎回,,,,
2021-12-09,0.7514,1.4034,,,1,1.84,开放申购,开放赎回,,,,
2021-12-08,0.7378,1.3949,,,1,-0.62,开放申购,开放赎回,,,,
2021-12-07,0.7424,1.3978,,,1,1.77,开放申购,开放赎回,,,,
2021-12-06,0.7295,1.3897,,,1,0.90,开放申购,开放赎回,,,,
2021-12-03,0.7230,1.3857,,,1,1.37,开放申购,开放赎回,,,,
2021-12-02,0.7132,1.3795,,,1,1.08,开放申购,开放赎回,,,,
2021-12-01,0.7056,1.3748,,,1,1.91,开放申购,开放赎回,,,,
2021-11-30,0.6924,1.3665,,,1,-0.82,开放申购,开放赎回,,,,
2021-11-29,0.6981,1.3701,,,1,-1.55,开放申购,开放赎回,,,,
2021-11-26,0.7091,1.3770,,,1,-1.01,开放申购,开放赎回,,,,
2021-11-25,0.7163,1.3815,,,1,-0.71,开放申购,开放赎回,,,,
2021-11-24,0.7214,1.3847,,,1,1.18,开放申购,开放赎回,,,,
2021-11-23,0.7130,1.3794,,,1,0.88,开放申购,开放赎回,,,,
2021-11-22,0.7068,1.3755,,,1,-3.39,开放申购,开放赎回,,,,
2021-11-19,0.7316,1.3910,,,1,3.89,开放申购,开放赎回,,,,
2021-11-18,0.7042,1.3739,,,1,-2.02,开放申购,开放赎回,,,,
2021-11-17,0.7187,1.3830,,,1,-0.19,开放申购,开放赎回,,,,
2021-11-16,0.7201,1.3838,,,1,-0.74,开放申购,开放赎回,,,,
2021-11-15,0.7255,1.3872,,,1,-0.78,开放申购,开放赎回,,,,
2021-11-12,0.7312,1.3908,,,1,-1.72,开放申购,开放赎回,,,,
2021-11-11,0.7440,1.3988,,,1,7.31,开放申购,开放赎回,,,,
2021-11-10,0.6933,1.3671,,,1,4.02,开放申购,开放赎回,,,,
2021-11-09,0.6665,1.3503,,,1,-0.07,开放申购,开放赎回,,,,
2021-11-08,0.6670,1.3506,,,1,0.57,开放申购,开放赎回,,,,
2021-11-05,0.6632,1.3482,,,1,-1.85,开放申购,开放赎回,,,,
2021-11-04,0.6757,1.3561,,,1,-1.03,开放申购,开放赎回,,,,
2021-11-03,0.6827,1.3604,,,1,1.74,开放申购,开放赎回,,,,
2021-11-02,0.6710,1.3531,,,1,-2.47,开放申购,开放赎回,,,,
2021-11-01,0.6880,1.3637,,,1,-1.59,开放申购,开放赎回,,,,
2021-10-29,0.6991,1.3707,,,1,-2.11,开放申购,开放赎回,,,,
2021-10-28,0.7142,1.3801,,,1,-2.39,开放申购,开放赎回,,,,
2021-10-27,0.7317,1.3911,,,1,-1.45,开放申购,开放赎回,,,,
2021-10-26,0.7425,1.3979,,,1,-1.90,开放申购,开放赎回,,,,
2021-10-25,0.7569,1.4069,,,1,-2.37,开放申购,开放赎回,,,,
2021-10-22,0.7753,1.4184,,,1,1.99,开放申购,开放赎回,,,,
2021-10-21,0.7602,1.4089,,,1,2.81,开放申购,开放赎回,,,,
2021-10-20,0.7394,1.3959,,,1,-1.15,开放申购,开放赎回,,,,
2021-10-19,0.7480,1.4013,,,1,-0.86,开放申购,开放赎回,,,,
2021-10-18,0.7545,1.4054,,,1,-1.35,开放申购,开放赎回,,,,
2021-10-15,0.7648,1.4118,,,1,-0.55,开放申购,开放赎回,,,,
2021-10-14,0.7690,1.4144,,,1,-3.11,开放申购,开放赎回,,,,
2021-10-13,0.7937,1.4299,,,1,-0.64,开放申购,开放赎回,,,,
2021-10-12,0.7988,1.4331,,,1,1.15,开放申购,开放赎回,,,,
2021-10-11,0.7897,1.4274,,,1,0.75,开放申购,开放赎回,,,,
2021-10-08,0.7838,1.4237,,,1,-0.63,开放申购,开放赎回,,,,
2021-09-30,0.7888,1.4268,,,1,1.14,开放申购,开放赎回,,,,
2021-09-29,0.7799,1.4213,,,1,-0.20,开放申购,开放赎回,,,,
