净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,0.818,1.4451,6.33%,开放申购,开放赎回,
2022-03-29,0.7693,1.4146,-1.67%,开放申购,开放赎回,
2022-03-28,0.7824,1.4228,2.07%,开放申购,开放赎回,
2022-03-25,0.7665,1.4129,-0.74%,开放申购,开放赎回,
2022-03-24,0.7722,1.4164,-0.92%,开放申购,开放赎回,
2022-03-23,0.7794,1.4209,2.71%,开放申购,开放赎回,
2022-03-22,0.7588,1.4081,3.52%,开放申购,开放赎回,
2022-03-21,0.733,1.3919,-1.62%,开放申购,开放赎回,
2022-03-18,0.7451,1.3995,5.55%,开放申购,开放赎回,
2022-03-17,0.7059,1.375,3.66%,开放申购,开放赎回,
2022-03-16,0.681,1.3594,2.56%,开放申购,开放赎回,
2022-03-15,0.664,1.3487,-8.19%,开放申购,开放赎回,
2022-03-14,0.7232,1.3858,-1.83%,开放申购,开放赎回,
2022-03-11,0.7367,1.3942,0.22%,开放申购,开放赎回,
2022-03-10,0.7351,1.3932,0.26%,开放申购,开放赎回,
2022-03-09,0.7332,1.392,-3.73%,开放申购,开放赎回,
2022-03-08,0.7616,1.4098,-3.14%,开放申购,开放赎回,
2022-03-07,0.7863,1.4253,-0.32%,开放申购,开放赎回,
2022-03-04,0.7888,1.4268,-0.50%,开放申购,开放赎回,
2022-03-03,0.7928,1.4293,2.28%,开放申购,开放赎回,
2021-12-28,0.7556,1.4061,-0.09%,开放申购,开放赎回,
2021-12-27,0.7563,1.4065,1.68%,开放申购,开放赎回,
2021-12-24,0.7438,1.3987,0.32%,开放申购,开放赎回,
2021-12-23,0.7414,1.3972,-0.99%,开放申购,开放赎回,
2021-12-22,0.7488,1.4018,-0.89%,开放申购,开放赎回,
2021-12-21,0.7555,1.406,4.22%,开放申购,开放赎回,
2021-12-20,0.7249,1.3868,0.35%,开放申购,开放赎回,
2021-12-17,0.7224,1.3853,-0.30%,开放申购,开放赎回,
2021-12-16,0.7246,1.3867,0.88%,开放申购,开放赎回,
2021-12-15,0.7183,1.3827,0.46%,开放申购,开放赎回,
2021-12-14,0.715,1.3806,-1.92%,开放申购,开放赎回,
2021-12-13,0.729,1.3894,-1.30%,开放申购,开放赎回,
2021-12-10,0.7386,1.3954,-1.70%,开放申购,开放赎回,
2021-12-09,0.7514,1.4034,1.84%,开放申购,开放赎回,
2021-12-08,0.7378,1.3949,-0.62%,开放申购,开放赎回,
2021-12-07,0.7424,1.3978,1.77%,开放申购,开放赎回,
2021-12-06,0.7295,1.3897,0.90%,开放申购,开放赎回,
2021-12-03,0.723,1.3857,1.37%,开放申购,开放赎回,
2021-12-02,0.7132,1.3795,1.08%,开放申购,开放赎回,
