FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.0747,1.1300,,,1,1.71,暂停申购,暂停赎回,,,,
2022-04-28,1.0566,1.1119,,,1,2.03,暂停申购,暂停赎回,,,,
2022-04-27,1.0356,1.0909,,,1,0.83,开放申购,开放赎回,,,,
2022-04-26,1.0271,1.0824,,,1,-0.06,开放申购,开放赎回,,,,
2022-04-25,1.0277,1.0830,,,1,-2.96,开放申购,开放赎回,,,,
2022-04-22,1.0590,1.1143,,,1,1.13,开放申购,开放赎回,,,,
2022-04-21,1.0472,1.1025,,,1,-1.38,开放申购,开放赎回,,,,
2022-04-20,1.0619,1.1172,,,1,-1.54,开放申购,开放赎回,,,,
2022-04-19,1.0785,1.1338,,,1,0.15,开放申购,开放赎回,,,,
2022-04-18,1.0769,1.1322,,,1,-0.70,暂停申购,暂停赎回,,,,
2022-04-15,1.0845,1.1398,,,1,-0.02,暂停申购,暂停赎回,,,,
2022-04-14,1.0847,1.1400,,,1,0.77,开放申购,开放赎回,,,,
2022-04-13,1.0764,1.1317,,,1,-0.63,开放申购,开放赎回,,,,
2022-04-12,1.0832,1.1385,,,1,0.19,开放申购,开放赎回,,,,
2022-04-11,1.0811,1.1364,,,1,-1.52,限制大额申购,开放赎回,0.0163,0,,每份派现金0.0163元
2022-04-08,1.1143,1.1533,,,1,1.01,限制大额申购,开放赎回,,,,
2022-04-07,1.1032,1.1422,,,1,-1.68,开放申购,开放赎回,,,,
2022-04-06,1.1220,1.1610,,,1,1.74,开放申购,开放赎回,,,,
2022-04-01,1.1028,1.1418,,,1,1.31,暂停申购,暂停赎回,,,,
2022-03-31,1.0885,1.1275,,,1,0.35,暂停申购,暂停赎回,,,,
2022-03-30,1.0847,1.1237,,,1,1.50,开放申购,开放赎回,,,,
2022-03-29,1.0687,1.1077,,,1,-0.07,开放申购,开放赎回,,,,
2022-03-28,1.0695,1.1085,,,1,0.47,开放申购,开放赎回,,,,
2022-03-25,1.0645,1.1035,,,1,-0.20,开放申购,开放赎回,,,,
2022-03-24,1.0666,1.1056,,,1,-0.04,开放申购,开放赎回,,,,
2022-03-23,1.0670,1.1060,,,1,-0.12,开放申购,开放赎回,,,,
2022-03-22,1.0683,1.1073,,,1,0.70,开放申购,开放赎回,,,,
2022-03-21,1.0609,1.0999,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-18,1.0647,1.1037,,,1,1.51,开放申购,开放赎回,,,,
2022-03-17,1.0489,1.0879,,,1,2.81,开放申购,开放赎回,,,,
2022-03-16,1.0202,1.0592,,,1,2.39,开放申购,开放赎回,,,,
2022-03-15,0.9964,1.0354,,,1,-4.69,开放申购,开放赎回,,,,
2022-03-14,1.0454,1.0844,,,1,-1.70,开放申购,开放赎回,,,,
2022-03-11,1.0635,1.1025,,,1,0.15,开放申购,开放赎回,,,,
2022-03-10,1.0619,1.1009,,,1,1.54,开放申购,开放赎回,,,,
2022-03-09,1.0458,1.0848,,,1,-0.84,开放申购,开放赎回,,,,
2022-03-08,1.0547,1.0937,,,1,-2.21,开放申购,开放赎回,,,,
2022-03-07,1.0785,1.1175,,,1,-1.35,开放申购,开放赎回,,,,
2022-03-04,1.0933,1.1323,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-03,1.1007,1.1397,,,1,1.20,开放申购,开放赎回,,,,
2022-03-02,1.0877,1.1267,,,1,-0.17,开放申购,开放赎回,,,,
2022-03-01,1.0895,1.1285,,,1,0.45,开放申购,开放赎回,,,,
2022-02-28,1.0846,1.1236,,,1,0.03,开放申购,开放赎回,,,,
2022-02-25,1.0843,1.1233,,,1,-0.19,开放申购,开放赎回,,,,
2022-02-24,1.0864,1.1254,,,1,-2.26,开放申购,开放赎回,,,,
2022-02-23,1.1115,1.1505,,,1,-0.30,开放申购,开放赎回,,,,
2022-02-22,1.1149,1.1539,,,1,-0.99,开放申购,开放赎回,,,,
2022-02-21,1.1261,1.1651,,,1,0.24,开放申购,开放赎回,,,,
2022-02-18,1.1234,1.1624,,,1,1.26,开放申购,开放赎回,,,,
2022-02-17,1.1094,1.1484,,,1,-0.63,开放申购,开放赎回,,,,
2022-02-16,1.1164,1.1554,,,1,1.05,开放申购,开放赎回,,,,
2022-02-15,1.1048,1.1438,,,1,-0.99,开放申购,开放赎回,,,,
2022-02-14,1.1158,1.1548,,,1,-1.20,开放申购,开放赎回,,,,
2022-02-11,1.1294,1.1684,,,1,-1.31,开放申购,开放赎回,,,,
2022-02-10,1.1444,1.1834,,,1,0.64,开放申购,开放赎回,,,,
2022-02-09,1.1371,1.1761,,,1,0.59,开放申购,开放赎回,,,,
2022-02-08,1.1304,1.1694,,,1,1.33,开放申购,开放赎回,,,,
2022-02-07,1.1156,1.1546,,,1,2.70,开放申购,开放赎回,,,,
2022-01-28,1.0863,1.1253,,,1,-0.03,暂停申购,暂停赎回,,,,
2022-01-27,1.0866,1.1256,,,1,-0.85,暂停申购,暂停赎回,,,,
2022-01-26,1.0959,1.1349,,,1,0.30,开放申购,开放赎回,,,,
2022-01-25,1.0926,1.1316,,,1,-2.16,开放申购,开放赎回,,,,
2022-01-24,1.1167,1.1557,,,1,-0.02,开放申购,开放赎回,,,,
2022-01-21,1.1169,1.1559,,,1,-0.56,开放申购,开放赎回,,,,
2022-01-20,1.1232,1.1622,,,1,-0.18,开放申购,开放赎回,,,,
2022-01-19,1.1252,1.1642,,,1,0.79,开放申购,开放赎回,,,,
2022-01-18,1.1164,1.1554,,,1,0.18,开放申购,开放赎回,,,,
2022-01-17,1.1144,1.1534,,,1,-0.04,开放申购,开放赎回,,,,
2022-01-14,1.1149,1.1539,,,1,-0.69,开放申购,开放赎回,,,,
2022-01-13,1.1227,1.1617,,,1,-0.08,开放申购,开放赎回,,,,
2022-01-12,1.1236,1.1626,,,1,-0.04,开放申购,开放赎回,,,,
2022-01-11,1.1240,1.1630,,,1,0.53,开放申购,开放赎回,,,,
