FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8672,0.8672,,,1,1.30,暂停申购,暂停赎回,,,,
2022-04-28,0.8561,0.8561,,,1,2.58,暂停申购,暂停赎回,,,,
2022-04-27,0.8346,0.8346,,,1,1.13,开放申购,开放赎回,,,,
2022-04-26,0.8253,0.8253,,,1,0.18,开放申购,开放赎回,,,,
2022-04-25,0.8238,0.8238,,,1,-3.18,开放申购,开放赎回,,,,
2022-04-22,0.8509,0.8509,,,1,1.62,开放申购,开放赎回,,,,
2022-04-21,0.8373,0.8373,,,1,-1.12,开放申购,开放赎回,,,,
2022-04-20,0.8468,0.8468,,,1,-1.90,开放申购,开放赎回,,,,
2022-04-19,0.8632,0.8632,,,1,-1.47,开放申购,开放赎回,,,,
2022-04-18,0.8761,0.8761,,,1,-0.19,暂停申购,暂停赎回,,,,
2022-04-15,0.8778,0.8778,,,1,0.46,暂停申购,暂停赎回,,,,
2022-04-14,0.8738,0.8738,,,1,1.03,开放申购,开放赎回,,,,
2022-04-13,0.8649,0.8649,,,1,1.49,开放申购,开放赎回,,,,
2022-04-12,0.8522,0.8522,,,1,-0.32,开放申购,开放赎回,,,,
2022-04-11,0.8549,0.8549,,,1,-2.41,开放申购,开放赎回,,,,
2022-04-08,0.8760,0.8760,,,1,1.17,开放申购,开放赎回,,,,
2022-04-07,0.8659,0.8659,,,1,-1.65,开放申购,开放赎回,,,,
2022-04-06,0.8804,0.8804,,,1,1.46,开放申购,开放赎回,,,,
2022-04-01,0.8677,0.8677,,,1,1.31,暂停申购,暂停赎回,,,,
2022-03-31,0.8565,0.8565,,,1,-1.06,暂停申购,暂停赎回,,,,
2022-03-30,0.8657,0.8657,,,1,1.54,开放申购,开放赎回,,,,
2022-03-29,0.8526,0.8526,,,1,0.12,开放申购,开放赎回,,,,
2022-03-28,0.8516,0.8516,,,1,0.70,开放申购,开放赎回,,,,
2022-03-25,0.8457,0.8457,,,1,-0.67,开放申购,开放赎回,,,,
2022-03-24,0.8514,0.8514,,,1,0.38,开放申购,开放赎回,,,,
2022-03-23,0.8482,0.8482,,,1,-0.28,开放申购,开放赎回,,,,
2022-03-22,0.8506,0.8506,,,1,2.85,开放申购,开放赎回,,,,
2022-03-21,0.8270,0.8270,,,1,-0.74,开放申购,开放赎回,,,,
2022-03-18,0.8332,0.8332,,,1,0.96,开放申购,开放赎回,,,,
2022-03-17,0.8253,0.8253,,,1,7.90,开放申购,开放赎回,,,,
2022-03-16,0.7649,0.7649,,,1,5.46,开放申购,开放赎回,,,,
2022-03-15,0.7253,0.7253,,,1,-6.86,开放申购,开放赎回,,,,
2022-03-14,0.7787,0.7787,,,1,-5.55,开放申购,开放赎回,,,,
2022-03-11,0.8245,0.8245,,,1,-1.15,开放申购,开放赎回,,,,
2022-03-10,0.8341,0.8341,,,1,1.16,开放申购,开放赎回,,,,
2022-03-09,0.8245,0.8245,,,1,-0.79,开放申购,开放赎回,,,,
2022-03-08,0.8311,0.8311,,,1,-3.54,开放申购,开放赎回,,,,
2022-03-07,0.8616,0.8616,,,1,-1.24,开放申购,开放赎回,,,,
2022-03-04,0.8724,0.8724,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-03,0.8782,0.8782,,,1,1.57,开放申购,开放赎回,,,,
2022-03-02,0.8646,0.8646,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-01,0.8687,0.8687,,,1,0.73,开放申购,开放赎回,,,,
2022-02-28,0.8624,0.8624,,,1,0.13,开放申购,开放赎回,,,,
2022-02-25,0.8613,0.8613,,,1,-0.84,开放申购,开放赎回,,,,
2022-02-24,0.8686,0.8686,,,1,-2.33,开放申购,开放赎回,,,,
2022-02-23,0.8893,0.8893,,,1,-1.43,开放申购,开放赎回,,,,
2022-02-22,0.9022,0.9022,,,1,-0.57,开放申购,开放赎回,,,,
2022-02-21,0.9074,0.9074,,,1,-0.18,开放申购,开放赎回,,,,
2022-02-18,0.9090,0.9090,,,1,0.71,开放申购,开放赎回,,,,
2022-02-17,0.9026,0.9026,,,1,0.06,开放申购,开放赎回,,,,
2022-02-16,0.9021,0.9021,,,1,0.52,开放申购,开放赎回,,,,
2022-02-15,0.8974,0.8974,,,1,-0.96,开放申购,开放赎回,,,,
2022-02-14,0.9061,0.9061,,,1,-2.08,开放申购,开放赎回,,,,
2022-02-11,0.9253,0.9253,,,1,1.04,开放申购,开放赎回,,,,
2022-02-10,0.9158,0.9158,,,1,2.14,开放申购,开放赎回,,,,
2022-02-09,0.8966,0.8966,,,1,1.22,开放申购,开放赎回,,,,
2022-02-08,0.8858,0.8858,,,1,0.59,开放申购,开放赎回,,,,
2022-02-07,0.8806,0.8806,,,1,3.87,开放申购,开放赎回,,,,
2022-01-28,0.8478,0.8478,,,1,-0.73,暂停申购,暂停赎回,,,,
2022-01-27,0.8540,0.8540,,,1,-1.27,暂停申购,暂停赎回,,,,
2022-01-26,0.8650,0.8650,,,1,0.27,开放申购,开放赎回,,,,
2022-01-25,0.8627,0.8627,,,1,-1.93,开放申购,开放赎回,,,,
2022-01-24,0.8797,0.8797,,,1,-1.28,开放申购,开放赎回,,,,
2022-01-21,0.8911,0.8911,,,1,0.68,开放申购,开放赎回,,,,
2022-01-20,0.8851,0.8851,,,1,0.52,开放申购,开放赎回,,,,
2022-01-19,0.8805,0.8805,,,1,1.41,开放申购,开放赎回,,,,
2022-01-18,0.8683,0.8683,,,1,0.92,开放申购,开放赎回,,,,
2022-01-17,0.8604,0.8604,,,1,-1.10,开放申购,开放赎回,,,,
2022-01-14,0.8700,0.8700,,,1,-0.39,开放申购,开放赎回,,,,
2022-01-13,0.8734,0.8734,,,1,0.54,开放申购,开放赎回,,,,
2022-01-12,0.8687,0.8687,,,1,0.60,开放申购,开放赎回,,,,
2022-01-11,0.8635,0.8635,,,1,0.52,开放申购,开放赎回,,,,
2022-01-10,0.8590,0.8590,,,1,1.62,开放申购,开放赎回,,,,
2022-01-07,0.8453,0.8453,,,1,1.15,开放申购,开放赎回,,,,
2022-01-06,0.8357,0.8357,,,1,-0.68,开放申购,开放赎回,,,,
2022-01-05,0.8414,0.8414,,,1,0.07,开放申购,开放赎回,,,,
2022-01-04,0.8408,0.8408,,,1,1.37,开放申购,开放赎回,,,,
2021-12-31,0.8294,0.8294,,,1,0.44,暂停申购,暂停赎回,,,,
2021-12-30,0.8258,0.8258,,,1,-0.94,暂停申购,暂停赎回,,,,
2021-12-29,0.8336,0.8336,,,1,-1.14,暂停申购,暂停赎回,,,,
2021-12-28,0.8432,0.8432,,,1,-0.17,开放申购,开放赎回,,,,
2021-12-27,0.8446,0.8446,,,1,-0.02,暂停申购,暂停赎回,,,,
2021-12-24,0.8448,0.8448,,,1,-0.02,暂停申购,暂停赎回,,,,
2021-12-23,0.8450,0.8450,,,1,1.92,开放申购,开放赎回,,,,
2021-12-22,0.8291,0.8291,,,1,-0.20,开放申购,开放赎回,,,,
2021-12-21,0.8308,0.8308,,,1,0.83,开放申购,开放赎回,,,,
2021-12-20,0.8240,0.8240,,,1,-2.13,开放申购,开放赎回,,,,
2021-12-17,0.8419,0.8419,,,1,-0.87,开放申购,开放赎回,,,,
2021-12-16,0.8493,0.8493,,,1,2.67,开放申购,开放赎回,,,,
2021-12-15,0.8272,0.8272,,,1,1.22,开放申购,开放赎回,,,,
2021-12-14,0.8172,0.8172,,,1,-1.92,开放申购,开放赎回,,,,
2021-12-13,0.8332,0.8332,,,1,-1.02,开放申购,开放赎回,,,,
2021-12-10,0.8418,0.8418,,,1,-1.17,开放申购,开放赎回,,,,
2021-12-09,0.8518,0.8518,,,1,0.65,开放申购,开放赎回,,,,
2021-12-08,0.8463,0.8463,,,1,-0.17,开放申购,开放赎回,,,,
2021-12-07,0.8477,0.8477,,,1,1.11,开放申购,开放赎回,,,,
2021-12-06,0.8384,0.8384,,,1,-1.39,开放申购,开放赎回,,,,
2021-12-03,0.8502,0.8502,,,1,2.02,开放申购,开放赎回,,,,
2021-12-02,0.8334,0.8334,,,1,1.34,开放申购,开放赎回,,,,
2021-12-01,0.8224,0.8224,,,1,1.78,开放申购,开放赎回,,,,
2021-11-30,0.8080,0.8080,,,1,-0.88,开放申购,开放赎回,,,,
2021-11-29,0.8152,0.8152,,,1,-0.33,开放申购,开放赎回,,,,
2021-11-26,0.8179,0.8179,,,1,-2.77,开放申购,开放赎回,,,,
2021-11-25,0.8412,0.8412,,,1,0.29,开放申购,开放赎回,,,,
2021-11-24,0.8388,0.8388,,,1,0.72,开放申购,开放赎回,,,,
2021-11-23,0.8328,0.8328,,,1,1.57,开放申购,开放赎回,,,,
2021-11-22,0.8199,0.8199,,,1,-1.12,开放申购,开放赎回,,,,
2021-11-19,0.8292,0.8292,,,1,1.43,开放申购,开放赎回,,,,
2021-11-18,0.8175,0.8175,,,1,-1.17,开放申购,开放赎回,,,,
2021-11-17,0.8272,0.8272,,,1,-0.21,开放申购,开放赎回,,,,
2021-11-16,0.8289,0.8289,,,1,0.66,开放申购,开放赎回,,,,
2021-11-15,0.8235,0.8235,,,1,-1.75,开放申购,开放赎回,,,,
2021-11-12,0.8382,0.8382,,,1,0.25,开放申购,开放赎回,,,,
2021-11-11,0.8361,0.8361,,,1,2.77,开放申购,开放赎回,,,,
2021-11-10,0.8136,0.8136,,,1,0.91,开放申购,开放赎回,,,,
2021-11-09,0.8063,0.8063,,,1,-0.38,开放申购,开放赎回,,,,
2021-11-08,0.8094,0.8094,,,1,0.63,开放申购,开放赎回,,,,
2021-11-05,0.8043,0.8043,,,1,-2.63,开放申购,开放赎回,,,,
2021-11-04,0.8260,0.8260,,,1,-0.95,开放申购,开放赎回,,,,
2021-11-03,0.8339,0.8339,,,1,1.20,开放申购,开放赎回,,,,
2021-11-02,0.8240,0.8240,,,1,-1.94,开放申购,开放赎回,,,,
2021-11-01,0.8403,0.8403,,,1,0.54,开放申购,开放赎回,,,,
2021-10-29,0.8358,0.8358,,,1,-0.35,开放申购,开放赎回,,,,
2021-10-28,0.8387,0.8387,,,1,-0.84,开放申购,开放赎回,,,,
2021-10-27,0.8458,0.8458,,,1,-1.06,开放申购,开放赎回,,,,
2021-10-26,0.8549,0.8549,,,1,-2.21,开放申购,开放赎回,,,,
2021-10-25,0.8742,0.8742,,,1,-0.76,开放申购,开放赎回,,,,
