FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.8524,0.8524,,,1,1.30,暂停申购,暂停赎回,,,,
2022-04-28,0.8415,0.8415,,,1,2.57,暂停申购,暂停赎回,,,,
2022-04-27,0.8204,0.8204,,,1,1.13,开放申购,开放赎回,,,,
2022-04-26,0.8112,0.8112,,,1,0.17,开放申购,开放赎回,,,,
2022-04-25,0.8098,0.8098,,,1,-3.19,开放申购,开放赎回,,,,
2022-04-22,0.8365,0.8365,,,1,1.63,开放申购,开放赎回,,,,
2022-04-21,0.8231,0.8231,,,1,-1.12,开放申购,开放赎回,,,,
2022-04-20,0.8324,0.8324,,,1,-1.90,开放申购,开放赎回,,,,
2022-04-19,0.8485,0.8485,,,1,-1.47,开放申购,开放赎回,,,,
2022-04-18,0.8612,0.8612,,,1,-0.20,暂停申购,暂停赎回,,,,
2022-04-15,0.8629,0.8629,,,1,0.45,暂停申购,暂停赎回,,,,
2022-04-14,0.8590,0.8590,,,1,1.02,开放申购,开放赎回,,,,
2022-04-13,0.8503,0.8503,,,1,1.49,开放申购,开放赎回,,,,
2022-04-12,0.8378,0.8378,,,1,-0.32,开放申购,开放赎回,,,,
2022-04-11,0.8405,0.8405,,,1,-2.41,开放申购,开放赎回,,,,
2022-04-08,0.8613,0.8613,,,1,1.17,开放申购,开放赎回,,,,
2022-04-07,0.8513,0.8513,,,1,-1.65,开放申购,开放赎回,,,,
2022-04-06,0.8656,0.8656,,,1,1.47,开放申购,开放赎回,,,,
2022-04-01,0.8531,0.8531,,,1,1.31,暂停申购,暂停赎回,,,,
2022-03-31,0.8421,0.8421,,,1,-1.07,暂停申购,暂停赎回,,,,
2022-03-30,0.8512,0.8512,,,1,1.54,开放申购,开放赎回,,,,
2022-03-29,0.8383,0.8383,,,1,0.11,开放申购,开放赎回,,,,
2022-03-28,0.8374,0.8374,,,1,0.71,开放申购,开放赎回,,,,
2022-03-25,0.8315,0.8315,,,1,-0.68,开放申购,开放赎回,,,,
2022-03-24,0.8372,0.8372,,,1,0.38,开放申购,开放赎回,,,,
2022-03-23,0.8340,0.8340,,,1,-0.29,开放申购,开放赎回,,,,
2022-03-22,0.8364,0.8364,,,1,2.85,开放申购,开放赎回,,,,
2022-03-21,0.8132,0.8132,,,1,-0.76,开放申购,开放赎回,,,,
2022-03-18,0.8194,0.8194,,,1,0.96,开放申购,开放赎回,,,,
2022-03-17,0.8116,0.8116,,,1,7.90,开放申购,开放赎回,,,,
2022-03-16,0.7522,0.7522,,,1,5.45,开放申购,开放赎回,,,,
2022-03-15,0.7133,0.7133,,,1,-6.84,开放申购,开放赎回,,,,
2022-03-14,0.7657,0.7657,,,1,-5.57,开放申购,开放赎回,,,,
2022-03-11,0.8109,0.8109,,,1,-1.15,开放申购,开放赎回,,,,
2022-03-10,0.8203,0.8203,,,1,1.16,开放申购,开放赎回,,,,
2022-03-09,0.8109,0.8109,,,1,-0.80,开放申购,开放赎回,,,,
2022-03-08,0.8174,0.8174,,,1,-3.54,开放申购,开放赎回,,,,
2022-03-07,0.8474,0.8474,,,1,-1.24,开放申购,开放赎回,,,,
2022-03-04,0.8580,0.8580,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-03,0.8637,0.8637,,,1,1.56,开放申购,开放赎回,,,,
2022-03-02,0.8504,0.8504,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-01,0.8544,0.8544,,,1,0.73,开放申购,开放赎回,,,,
2022-02-28,0.8482,0.8482,,,1,0.12,开放申购,开放赎回,,,,
2022-02-25,0.8472,0.8472,,,1,-0.84,开放申购,开放赎回,,,,
2022-02-24,0.8544,0.8544,,,1,-2.32,开放申购,开放赎回,,,,
2022-02-23,0.8747,0.8747,,,1,-1.44,开放申购,开放赎回,,,,
2022-02-22,0.8875,0.8875,,,1,-0.56,开放申购,开放赎回,,,,
2022-02-21,0.8925,0.8925,,,1,-0.18,开放申购,开放赎回,,,,
2022-02-18,0.8941,0.8941,,,1,0.71,开放申购,开放赎回,,,,
2022-02-17,0.8878,0.8878,,,1,0.05,开放申购,开放赎回,,,,
2022-02-16,0.8874,0.8874,,,1,0.53,开放申购,开放赎回,,,,
2022-02-15,0.8827,0.8827,,,1,-0.96,开放申购,开放赎回,,,,
2022-02-14,0.8913,0.8913,,,1,-2.09,开放申购,开放赎回,,,,
2022-02-11,0.9103,0.9103,,,1,1.04,开放申购,开放赎回,,,,
2022-02-10,0.9009,0.9009,,,1,2.14,开放申购,开放赎回,,,,
2022-02-09,0.8820,0.8820,,,1,1.20,开放申购,开放赎回,,,,
2022-02-08,0.8715,0.8715,,,1,0.60,开放申购,开放赎回,,,,
2022-02-07,0.8663,0.8663,,,1,3.86,开放申购,开放赎回,,,,
2022-01-28,0.8341,0.8341,,,1,-0.73,暂停申购,暂停赎回,,,,
2022-01-27,0.8402,0.8402,,,1,-1.28,暂停申购,暂停赎回,,,,
2022-01-26,0.8511,0.8511,,,1,0.27,开放申购,开放赎回,,,,
2022-01-25,0.8488,0.8488,,,1,-1.94,开放申购,开放赎回,,,,
2022-01-24,0.8656,0.8656,,,1,-1.28,开放申购,开放赎回,,,,
2022-01-21,0.8768,0.8768,,,1,0.68,开放申购,开放赎回,,,,
2022-01-20,0.8709,0.8709,,,1,0.52,开放申购,开放赎回,,,,
2022-01-19,0.8664,0.8664,,,1,1.40,开放申购,开放赎回,,,,
2022-01-18,0.8544,0.8544,,,1,0.91,开放申购,开放赎回,,,,
2022-01-17,0.8467,0.8467,,,1,-1.10,开放申购,开放赎回,,,,
2022-01-14,0.8561,0.8561,,,1,-0.40,开放申购,开放赎回,,,,
2022-01-13,0.8595,0.8595,,,1,0.54,开放申购,开放赎回,,,,
2022-01-12,0.8549,0.8549,,,1,0.60,开放申购,开放赎回,,,,
2022-01-11,0.8498,0.8498,,,1,0.52,开放申购,开放赎回,,,,
2022-01-10,0.8454,0.8454,,,1,1.62,开放申购,开放赎回,,,,
