FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9091,0.9091,,,1,0.55,暂停申购,暂停赎回,,,,
2022-04-28,0.9041,0.9041,,,1,2.35,暂停申购,暂停赎回,,,,
2022-04-27,0.8833,0.8833,,,1,-0.83,开放申购,开放赎回,,,,
2022-04-26,0.8907,0.8907,,,1,-1.13,开放申购,开放赎回,,,,
2022-04-25,0.9009,0.9009,,,1,-2.61,开放申购,开放赎回,,,,
2022-04-22,0.9250,0.9250,,,1,0.57,开放申购,开放赎回,,,,
2022-04-21,0.9198,0.9198,,,1,0.69,开放申购,开放赎回,,,,
2022-04-20,0.9135,0.9135,,,1,-0.08,开放申购,开放赎回,,,,
2022-04-19,0.9142,0.9142,,,1,-1.65,开放申购,开放赎回,,,,
2022-04-18,0.9295,0.9295,,,1,-0.20,暂停申购,暂停赎回,,,,
2022-04-15,0.9314,0.9314,,,1,0.47,暂停申购,暂停赎回,,,,
2022-04-14,0.9270,0.9270,,,1,-0.24,开放申购,开放赎回,,,,
2022-04-13,0.9292,0.9292,,,1,0.05,开放申购,开放赎回,,,,
2022-04-12,0.9287,0.9287,,,1,-0.26,开放申购,开放赎回,,,,
2022-04-11,0.9311,0.9311,,,1,-0.75,开放申购,开放赎回,,,,
2022-04-08,0.9381,0.9381,,,1,0.22,开放申购,开放赎回,,,,
2022-04-07,0.9360,0.9360,,,1,-0.52,开放申购,开放赎回,,,,
2022-04-06,0.9409,0.9409,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-01,0.9410,0.9410,,,1,0.52,暂停申购,暂停赎回,,,,
2022-03-31,0.9361,0.9361,,,1,0.63,暂停申购,暂停赎回,,,,
2022-03-30,0.9302,0.9302,,,1,1.19,开放申购,开放赎回,,,,
2022-03-29,0.9193,0.9193,,,1,-0.02,开放申购,开放赎回,,,,
2022-03-28,0.9195,0.9195,,,1,0.37,开放申购,开放赎回,,,,
2022-03-25,0.9161,0.9161,,,1,0.37,开放申购,开放赎回,,,,
2022-03-24,0.9127,0.9127,,,1,0.23,开放申购,开放赎回,,,,
2022-03-23,0.9106,0.9106,,,1,0.21,开放申购,开放赎回,,,,
2022-03-22,0.9087,0.9087,,,1,1.16,开放申购,开放赎回,,,,
2022-03-21,0.8983,0.8983,,,1,-0.65,开放申购,开放赎回,,,,
2022-03-18,0.9042,0.9042,,,1,0.62,开放申购,开放赎回,,,,
2022-03-17,0.8986,0.8986,,,1,3.98,开放申购,开放赎回,,,,
2022-03-16,0.8642,0.8642,,,1,0.91,开放申购,开放赎回,,,,
2022-03-15,0.8564,0.8564,,,1,-2.73,开放申购,开放赎回,,,,
2022-03-14,0.8804,0.8804,,,1,-0.15,开放申购,开放赎回,,,,
2022-03-11,0.8817,0.8817,,,1,-0.10,开放申购,开放赎回,,,,
2022-03-10,0.8826,0.8826,,,1,1.65,开放申购,开放赎回,,,,
2022-03-09,0.8683,0.8683,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-08,0.8714,0.8714,,,1,-1.08,开放申购,开放赎回,,,,
2022-03-07,0.8809,0.8809,,,1,-2.91,开放申购,开放赎回,,,,
2022-03-04,0.9073,0.9073,,,1,-0.66,开放申购,开放赎回,,,,
2022-03-03,0.9133,0.9133,,,1,0.96,开放申购,开放赎回,,,,
2022-03-02,0.9046,0.9046,,,1,-1.58,开放申购,开放赎回,,,,
2022-03-01,0.9191,0.9191,,,1,-0.54,开放申购,开放赎回,,,,
2022-02-28,0.9241,0.9241,,,1,0.41,开放申购,开放赎回,,,,
2022-02-25,0.9203,0.9203,,,1,-1.47,开放申购,开放赎回,,,,
2022-02-24,0.9340,0.9340,,,1,-2.38,开放申购,开放赎回,,,,
2022-02-23,0.9568,0.9568,,,1,0.00,开放申购,开放赎回,,,,
2022-02-22,0.9568,0.9568,,,1,-2.36,开放申购,开放赎回,,,,
2022-02-21,0.9799,0.9799,,,1,0.68,开放申购,开放赎回,,,,
2022-02-18,0.9733,0.9733,,,1,0.07,开放申购,开放赎回,,,,
2022-02-17,0.9726,0.9726,,,1,-0.26,开放申购,开放赎回,,,,
2022-02-16,0.9751,0.9751,,,1,1.22,开放申购,开放赎回,,,,
2022-02-15,0.9633,0.9633,,,1,-2.51,开放申购,开放赎回,,,,
2022-02-14,0.9881,0.9881,,,1,-0.91,开放申购,开放赎回,,,,
2022-02-11,0.9972,0.9972,,,1,0.91,开放申购,开放赎回,,,,
2022-02-10,0.9882,0.9882,,,1,0.00,开放申购,开放赎回,,,,
2022-02-09,0.9882,0.9882,,,1,0.75,开放申购,开放赎回,,,,
2022-02-08,0.9808,0.9808,,,1,0.41,开放申购,开放赎回,,,,
2022-02-07,0.9768,0.9768,,,1,3.19,开放申购,开放赎回,,,,
2022-01-28,0.9466,0.9466,,,1,0.08,暂停申购,暂停赎回,,,,
2022-01-27,0.9458,0.9458,,,1,0.35,暂停申购,暂停赎回,,,,
2022-01-26,0.9425,0.9425,,,1,0.31,开放申购,开放赎回,,,,
2022-01-25,0.9396,0.9396,,,1,-0.49,开放申购,开放赎回,,,,
2022-01-24,0.9442,0.9442,,,1,0.01,开放申购,开放赎回,,,,
2022-01-21,0.9441,0.9441,,,1,0.19,开放申购,开放赎回,,,,
